,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,T1,T1,Jimmy Walker,74,68.83,826,12
1,T1,T1,Tiger Woods,64,68.83,2891,42
2,3,3,John Mallinger,90,69.45,1528,22
3,4,4,Jason Day,61,69.5,1668,24
4,5,5,Brian Davis,103,69.57,2087,30
5,6,6,Chris Riley,77,69.71,1464,21
6,7,7,Stephen Ames,77,69.74,1883,27
7,8,8,Ryan Moore,89,69.76,2023,29
8,9,9,Tag Ridings,50,69.77,907,13
9,10,10,Brian Gay,96,69.79,1954,28
10,11,11,Jerry Kelly,90,69.81,1885,27
11,T12,T12,Steve Stricker,81,69.82,3072,44
12,T12,T12,David Toms,98,69.82,3072,44
13,14,14,Phil Mickelson,66,69.86,1956,28
14,15,15,Zach Johnson,94,69.87,3214,46
15,T16,T16,Jim Furyk,86,69.88,2865,41
16,T16,T16,Hunter Mahan,94,69.88,2795,40
17,18,18,Jason Dufner,90,69.92,1748,25
18,19,19,Heath Slocum,95,69.93,1958,28
19,20,20,Tom Lehman,55,69.94,1189,17
20,21,21,Justin Leonard,95,69.95,3008,43
21,22,22,Michael Allen,73,69.96,1749,25
22,23,23,Jeff Klauk,97,69.97,2169,31
23,24,24,Tim Clark,81,70.0,1960,28
24,25,25,Tom Pernice Jr.,82,70.04,1961,28
25,26,26,Harrison Frazar,93,70.06,2172,31
26,27,27,Michael Letzig,96,70.07,1892,27
27,T28,T28,Luke Donald,79,70.13,1683,24
28,T28,T28,Matt Kuchar,82,70.13,2244,32
29,30,30,Bill Haas,91,70.15,2315,33
30,31,31,Bryce Molder,69,70.17,1684,24
31,T32,T32,Kenny Perry,92,70.18,3158,45
32,T32,T32,Dean Wilson,81,70.18,1193,17
33,T34,T34,Chad Campbell,90,70.2,1755,25
34,T34,T34,Kevin Streelman,97,70.2,2106,30
35,T36,T36,Paul Goydos,79,70.21,1334,19
36,T36,T36,Freddie Jacobson,83,70.21,1685,24
37,T36,T36,Webb Simpson,94,70.21,2317,33
38,T36,T36,D.J. Trahan,96,70.21,1966,28
39,40,40,Padraig Harrington,66,70.23,2177,31
40,41,41,Glen Day,79,70.24,1475,21
41,T42,T42,George McNeill,82,70.28,2038,29
42,T42,T42,John Merrick,91,70.28,2249,32
43,44,44,John Senden,100,70.31,2250,32
44,45,45,Charlie Wi,92,70.32,1969,28
45,46,46,Greg Chalmers,85,70.34,2040,29
46,47,47,Lee Janzen,74,70.35,1618,23
47,48,48,Kirk Triplett,60,70.36,985,14
48,T49,T49,Briny Baird,89,70.37,2885,41
49,T49,T49,Kevin Na,91,70.37,2463,35
50,51,51,Scott Verplank,88,70.38,2252,32
51,52,52,Scott Sterling,51,70.41,1197,17
52,T53,T53,Bob Estes,78,70.42,1338,19
53,T53,T53,Martin Laird,72,70.42,1831,26
54,55,55,Steve Marino,98,70.43,2606,37
55,56,56,Davis Love III,89,70.44,1761,25
56,57,57,Joe Ogilvie,85,70.46,1832,26
57,58,58,Corey Pavin,73,70.47,1339,19
58,59,59,Sean O'Hair,80,70.48,2185,31
59,60,60,Lucas Glover,93,70.49,2890,41
60,T61,T61,Jason Gore,74,70.5,987,14
61,T61,T61,Nick O'Hern,90,70.5,1833,26
62,T61,T61,Y.E. Yang,83,70.5,1833,26
63,64,64,Rory Sabbatini,81,70.52,2327,33
64,65,65,Bo Van Pelt,100,70.54,1975,28
65,66,66,Sergio Garcia,59,70.57,1976,28
66,T67,T67,Brandt Snedeker,81,70.58,1835,26
67,T67,T67,Mark Wilson,99,70.58,2329,33
68,69,69,Jeff Quinney,78,70.63,1342,19
69,70,70,Anthony Kim,76,70.65,2402,34
70,T71,T71,Jason Bohn,88,70.67,1272,18
71,T71,T71,Matt Weibring,65,70.67,1272,18
72,T73,T73,Robert Garrigus,83,70.69,2050,29
73,T73,T73,Nick Watney,86,70.69,2545,36
74,T75,T75,Dustin Johnson,85,70.7,2616,37
75,T75,T75,Jeff Overton,92,70.7,2616,37
76,T75,T75,Greg Owen,97,70.7,2333,33
77,78,78,Marc Turnesa,77,70.71,990,14
78,T79,T79,Steve Elkington,70,70.74,1344,19
79,T79,T79,Ted Purdy,101,70.74,2193,31
80,T79,T79,Chris Stroud,88,70.74,2405,34
81,82,82,Charles Howell III,99,70.75,1981,28
82,T83,T83,Tim Petrovic,97,70.77,2477,35
83,T83,T83,D.A. Points,99,70.77,2194,31
84,T85,T85,Steve Flesch,77,70.78,1274,18
85,T85,T85,Brian Vranesh,51,70.78,637,9
86,87,87,Ian Poulter,59,70.79,2053,29
87,T88,T88,Woody Austin,84,70.8,1416,20
88,T88,T88,Rich Beem,77,70.8,1416,20
89,T88,T88,Cliff Kresge,78,70.8,1770,25
90,T88,T88,Kevin Sutherland,96,70.8,1770,25
91,92,92,Ángel Cabrera,55,70.81,1133,16
92,93,93,Patrick Sheehan,51,70.83,850,12
93,94,94,Ernie Els,70,70.84,2196,31
94,95,95,Scott McCarron,91,70.87,1630,23
95,T96,T96,Mathew Goggin,76,70.88,1701,24
96,T96,T96,Carl Pettersson,86,70.88,1134,16
97,T96,T96,Camilo Villegas,76,70.88,2268,32
98,99,99,Jeff Maggert,79,70.89,1985,28
99,100,100,Retief Goosen,74,70.9,2198,31
100,T101,T101,J.J. Henry,97,70.91,2340,33
101,T101,T101,Kevin Stadler,65,70.91,1560,22
102,T103,T103,Mark Calcavecchia,72,70.93,993,14
103,T103,T103,Vijay Singh,71,70.93,1986,28
104,T105,T105,Chris DiMarco,97,70.94,1206,17
105,T105,T105,Bob Heintz,59,70.94,1135,16
106,107,107,Tim Herron,87,70.96,1774,25
107,108,108,Mike Weir,85,70.97,2058,29
108,T109,T109,Mark Brooks,55,71.0,639,9
109,T109,T109,Ben Curtis,63,71.0,1278,18
110,T109,T109,Marc Leishman,91,71.0,1917,27
111,T112,T112,Ben Crane,93,71.03,2131,30
112,T112,T112,Boo Weekley,79,71.03,2273,32
113,114,114,Alex Cejka,82,71.07,1919,27
114,115,115,Ryan Palmer,78,71.1,1493,21
115,116,116,Tommy Armour III,58,71.13,1067,15
116,117,117,Fred Couples,54,71.14,1494,21
117,T118,T118,Peter Lonard,86,71.15,1423,20
118,T118,T118,Chez Reavie,81,71.15,1423,20
119,T118,T118,John Rollins,92,71.15,1850,26
120,121,121,Jarrod Lyle,65,71.16,1352,19
121,T122,T122,Nathan Green,104,71.17,2064,29
122,T122,T122,Bill Lunde,83,71.17,1281,18
