,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,T1,T1,Luke Donald,71,-1.000
1,T1,T1,Bryce Molder,84,-1.000
2,3,3,J.P. Hayes,79,-.875
3,4,4,Ricky Barnes,103,-.800
4,5,5,Alex Prugh,88,-.778
5,T6,T6,Robert Garrigus,71,-.750
6,T6,T6,Dustin Johnson,83,-.750
7,T6,T6,Chris Riley,73,-.750
8,T6,T6,Mike Weir,59,-.750
9,10,10,Boo Weekley,88,-.714
10,11,11,John Merrick,109,-.696
11,T12,T12,Jason Day,82,-.692
12,T12,T12,Brian Stuard,81,-.692
13,14,14,Martin Laird,91,-.684
14,T15,T15,Jason Bohn,84,-.667
15,T15,T15,Padraig Harrington,57,-.667
16,T15,T15,Tim Herron,79,-.667
17,T15,T15,Sean O'Hair,84,-.667
18,19,19,Tom Gillis,97,-.652
19,20,20,Brett Quigley,96,-.650
20,21,21,Nathan Green,86,-.647
21,T22,T22,Bob Estes,79,-.643
22,T22,T22,John Mallinger,78,-.643
23,T24,T24,Blake Adams,84,-.636
24,T24,T24,Lucas Glover,75,-.636
25,T24,T24,J.B. Holmes,100,-.636
26,27,27,Mark Wilson,87,-.632
27,T28,T28,Ernie Els,72,-.625
28,T28,T28,Jeff Overton,89,-.625
29,T30,T30,Jonathan Byrd,85,-.615
30,T30,T30,Rocco Mediate,71,-.615
31,T32,T32,Chad Campbell,94,-.611
32,T32,T32,Steve Flesch,78,-.611
33,T34,T34,Stephen Ames,75,-.600
34,T34,T34,Steve Elkington,74,-.600
35,T34,T34,Andrew McLardy,52,-.600
36,T34,T34,Joe Ogilvie,99,-.600
37,38,38,Chris Tidland,77,-.588
38,T39,T39,Craig Bowden,56,-.583
39,T39,T39,Daniel Chopra,74,-.583
40,T39,T39,Marc Leishman,87,-.583
41,42,42,Garth Mulroy,53,-.579
42,T43,T43,John Daly,63,-.571
43,T43,T43,Jason Dufner,87,-.571
44,T43,T43,Pat Perez,90,-.571
45,T43,T43,Jeff Quinney,91,-.571
46,T43,T43,D.J. Trahan,92,-.571
47,48,48,Davis Love III,79,-.556
48,T49,T49,Cameron Beckman,68,-.545
49,T49,T49,Brian Gay,101,-.545
50,T49,T49,Matt Jones,89,-.545
51,T49,T49,Matt Kuchar,97,-.545
52,53,53,Kevin Stadler,86,-.542
53,T54,T54,James Nitties,92,-.538
54,T54,T54,Chris Stroud,90,-.538
55,T56,T56,Brian Davis,101,-.529
56,T56,T56,Kevin Streelman,90,-.529
57,T58,T58,Michael Bradley,77,-.500
58,T58,T58,Greg Chalmers,93,-.500
59,T58,T58,K.J. Choi,82,-.500
60,T58,T58,Stewart Cink,84,-.500
61,T58,T58,Ben Curtis,78,-.500
62,T58,T58,Chris DiMarco,88,-.500
63,T58,T58,Sergio Garcia,58,-.500
64,T58,T58,Retief Goosen,75,-.500
65,T58,T58,Jerry Kelly,99,-.500
66,T58,T58,Greg Kraft,52,-.500
67,T58,T58,Cliff Kresge,50,-.500
68,T58,T58,Greg Owen,69,-.500
69,T58,T58,Tom Pernice Jr.,74,-.500
70,T58,T58,John Senden,103,-.500
71,T58,T58,Roland Thatcher,72,-.500
72,T58,T58,Scott Verplank,74,-.500
73,T58,T58,Charles Warren,64,-.500
74,T58,T58,Jay Williamson,76,-.500
75,76,76,Stuart Appleby,101,-.474
76,T77,T77,Brendon de Jonge,114,-.471
77,T77,T77,Bubba Watson,77,-.471
78,79,79,Scott Piercy,88,-.467
79,T80,T80,Matt Bettencourt,91,-.462
80,T80,T80,Charles Howell III,103,-.462
81,T80,T80,Brandt Snedeker,89,-.462
82,83,83,Charley Hoffman,85,-.458
83,T84,T84,James Driscoll,78,-.455
84,T84,T84,Spencer Levin,110,-.455
85,T84,T84,Jarrod Lyle,54,-.455
86,T84,T84,Carl Pettersson,99,-.455
87,T84,T84,D.A. Points,90,-.455
