,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,54,-.129
1,2,2,Bubba Watson,77,-.102
2,3,3,Luke Donald,71,-.089
3,4,4,J.B. Holmes,100,-.041
4,5,5,Jonathan Byrd,85,-.034
5,6,6,Aaron Baddeley,94,-.033
6,7,7,Greg Chalmers,93,-.032
7,8,8,Sergio Garcia,58,-.031
8,9,9,Vijay Singh,75,-.022
9,10,10,Charles Howell III,103,-.020
10,11,11,Chris DiMarco,88,-.019
11,12,12,Will MacKenzie,72,-.018
12,13,13,Graham DeLaet,88,-.015
13,T14,T14,Ernie Els,72,-.010
14,T14,T14,Cameron Percy,73,-.010
15,16,16,J.J. Henry,92,-.007
16,T17,T17,Paul Casey,64,E
17,T17,T17,Stewart Cink,84,E
18,T17,T17,Jimmy Walker,82,E
19,20,20,Hunter Mahan,85,+.010
20,21,21,Brandt Snedeker,89,+.025
21,22,22,Bo Van Pelt,104,+.029
22,T23,T23,Tim Clark,88,+.034
23,T23,T23,Ben Crane,85,+.034
24,25,25,Davis Love III,79,+.037
25,T26,T26,Chris Couch,66,+.038
26,T26,T26,Lucas Glover,75,+.038
27,28,28,Garth Mulroy,53,+.040
28,29,29,Steve Stricker,73,+.042
29,30,30,Scott McCarron,90,+.046
30,31,31,Webb Simpson,98,+.047
31,32,32,Retief Goosen,75,+.051
32,33,33,Adam Scott,70,+.053
33,34,34,Justin Rose,78,+.054
34,35,35,Dustin Johnson,83,+.060
35,T36,T36,Chris Stroud,90,+.061
36,T36,T36,Dean Wilson,54,+.061
37,38,38,Michael Bradley,77,+.062
38,39,39,Padraig Harrington,57,+.063
39,40,40,Matt Jones,89,+.064
40,41,41,Geoff Ogilvy,62,+.067
41,42,42,Brett Wetterich,54,+.069
42,43,43,Troy Matteson,84,+.070
43,T44,T44,Bill Haas,87,+.071
44,T44,T44,George McNeill,79,+.071
45,T44,T44,Jeev Milkha Singh,59,+.071
46,T44,T44,Charlie Wi,95,+.071
47,48,48,Woody Austin,93,+.072
48,T49,T49,James Driscoll,78,+.075
49,T49,T49,Phil Mickelson,76,+.075
50,T51,T51,Brian Gay,101,+.077
51,T51,T51,Carl Pettersson,99,+.077
52,T53,T53,Ryan Palmer,84,+.078
53,T53,T53,Heath Slocum,97,+.078
54,55,55,Ángel Cabrera,64,+.079
55,56,56,Ricky Barnes,103,+.080
56,57,57,Bryce Molder,84,+.081
57,T58,T58,Martin Flores,75,+.083
58,T58,T58,Jerry Kelly,99,+.083
59,T58,T58,Kevin Sutherland,86,+.083
60,61,61,John Senden,103,+.084
61,62,62,Rickie Fowler,98,+.086
62,T63,T63,Charley Hoffman,85,+.087
63,T63,T63,Michael Letzig,84,+.087
64,65,65,Nick Watney,91,+.090
65,66,66,D.J. Trahan,92,+.091
66,67,67,Robert Garrigus,71,+.093
67,T68,T68,Freddie Jacobson,83,+.094
68,T68,T68,Marc Leishman,87,+.094
69,T68,T68,Jeff Quinney,91,+.094
70,T71,T71,K.J. Choi,82,+.097
71,T71,T71,Jeff Overton,89,+.097
72,T71,T71,Michael Sim,64,+.097
73,74,74,Jason Bohn,84,+.098
74,T75,T75,Michael Connell,89,+.100
75,T75,T75,Y.E. Yang,72,+.100
76,77,77,Jarrod Lyle,54,+.103
77,T78,T78,Steve Elkington,74,+.105
78,T78,T78,Nathan Green,86,+.105
79,80,80,Pat Perez,90,+.107
80,T81,T81,Chad Collins,87,+.108
81,T81,T81,Ryuji Imada,90,+.108
82,T81,T81,Kevin Na,94,+.108
83,84,84,Rod Pampling,77,+.109
84,85,85,Cameron Tringale,55,+.110
85,T86,T86,Tim Herron,79,+.111
86,T86,T86,John Rollins,81,+.111
87,T88,T88,Jason Day,82,+.113
88,T88,T88,Rory Sabbatini,79,+.113
89,T88,T88,Jay Williamson,76,+.113
90,T91,T91,Daniel Chopra,74,+.114
91,T91,T91,Tom Pernice Jr.,74,+.114
92,93,93,Sean O'Hair,84,+.115
