,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Ernie Els,72,31.68,64,202
1,2,2,Dean Wilson,54,31.03,54,174
2,3,3,Ben Crane,85,30.51,83,272
3,4,4,Chris Riley,73,29.64,75,253
4,5,5,Justin Leonard,89,29.55,86,291
5,6,6,Jim Furyk,76,29.47,61,207
6,7,7,Brad Faxon,58,29.1,55,189
7,8,8,Brian Gay,101,28.78,99,344
8,9,9,Paul Goydos,78,28.52,79,277
9,10,10,David Toms,86,28.32,81,286
10,11,11,Steve Stricker,73,28.22,57,202
11,12,12,Scott Piercy,88,28.06,101,360
12,13,13,Vijay Singh,75,27.95,71,254
13,14,14,Tim Clark,88,27.53,79,287
14,15,15,Scott Verplank,74,27.36,58,212
15,16,16,Webb Simpson,98,27.15,104,383
16,17,17,Jerry Kelly,99,27.12,80,295
17,18,18,Phil Mickelson,76,27.04,63,233
18,19,19,Greg Chalmers,93,26.98,92,341
19,20,20,Matt Kuchar,97,26.95,83,308
20,21,21,Jason Bohn,84,26.91,74,275
21,22,22,Nick Watney,91,26.87,79,294
22,T23,T23,Bryce Molder,84,26.86,76,283
23,T23,T23,Brandt Snedeker,89,26.86,76,283
24,25,25,Tom Pernice Jr.,74,26.48,58,219
25,26,26,Freddie Jacobson,83,26.42,84,318
26,27,27,Jeff Overton,89,26.41,89,337
27,T28,T28,David Duval,71,26.39,57,216
28,T28,T28,Charlie Wi,95,26.39,90,341
29,30,30,Ben Curtis,78,26.34,69,262
30,31,31,Paul Stankowski,62,26.26,52,198
31,32,32,Spencer Levin,110,26.17,106,405
32,33,33,Brendon de Jonge,114,26.13,98,375
33,34,34,Ryuji Imada,90,26.02,83,319
34,35,35,Aaron Baddeley,94,26.01,97,373
35,36,36,George McNeill,79,26.0,65,250
36,37,37,Ricky Barnes,103,25.9,79,305
37,38,38,Matt Every,60,25.88,59,228
38,39,39,John Rollins,81,25.86,83,321
39,40,40,J.J. Henry,92,25.71,72,280
40,41,41,Justin Rose,78,25.64,70,273
41,42,42,Zach Johnson,93,25.46,69,271
42,43,43,Aron Price,70,25.45,56,220
43,44,44,Bill Haas,87,25.44,73,287
44,T45,T45,Mark Calcavecchia,50,25.38,33,130
45,T45,T45,Steve Flesch,78,25.38,66,260
46,47,47,Stewart Cink,84,25.31,62,245
47,T48,T48,J.P. Hayes,79,25.27,71,281
48,T48,T48,Will MacKenzie,72,25.27,69,273
49,50,50,Ryan Moore,80,25.22,57,226
50,51,51,James Nitties,92,25.16,79,314
51,52,52,Robert Allenby,76,25.12,54,215
52,T53,T53,Ryan Palmer,84,25.09,71,283
53,T53,T53,D.A. Points,90,25.09,68,271
54,T55,T55,Chad Collins,87,25.0,61,244
55,T55,T55,Billy Mayfair,78,25.0,63,252
56,57,57,Rory Sabbatini,79,24.91,68,273
57,58,58,Garrett Willis,82,24.9,63,253
58,59,59,Sergio Garcia,58,24.84,40,161
59,60,60,John Mallinger,78,24.81,66,266
60,61,61,Tim Petrovic,105,24.78,83,335
61,62,62,Luke Donald,71,24.75,50,202
62,63,63,Alex Cejka,81,24.71,65,263
63,64,64,Geoff Ogilvy,62,24.65,53,215
64,T65,T65,Bob Estes,79,24.64,68,276
65,T65,T65,Steve Marino,81,24.64,68,276
66,67,67,Jimmy Walker,82,24.62,64,260
67,68,68,Bubba Watson,77,24.57,71,289
68,69,69,Adam Scott,70,24.51,50,204
69,70,70,Jeff Maggert,76,24.5,61,249
70,71,71,Dustin Johnson,83,24.44,65,266
71,72,72,Chris DiMarco,88,24.38,78,320
72,73,73,Brent Delahoussaye,57,24.37,48,197
73,74,74,Jay Williamson,76,24.33,64,263
74,75,75,Mark Wilson,87,24.32,80,329
75,76,76,Jonathan Byrd,85,24.28,84,346
76,77,77,Bo Van Pelt,104,24.22,85,351
77,78,78,Padraig Harrington,57,24.2,38,157
78,79,79,Cliff Kresge,50,24.18,44,182
79,80,80,Charles Warren,64,24.11,61,253
80,81,81,Davis Love III,79,24.08,59,245
81,T82,T82,Chad Campbell,95,24.03,74,308
82,T82,T82,Paul Casey,64,24.03,37,154
83,84,84,Richard Johnson,90,24.02,61,254
84,85,85,Heath Slocum,97,23.92,72,301
85,86,86,Blake Adams,84,23.89,75,314
86,T87,T87,Tom Gillis,97,23.75,90,379
87,T87,T87,Troy Merritt,86,23.75,71,299
88,T87,T87,Carl Pettersson,99,23.75,81,341
89,90,90,Y.E. Yang,72,23.74,52,219
90,91,91,Mike Weir,59,23.72,37,156
91,92,92,Jeff Quinney,91,23.69,77,325
92,93,93,Rickie Fowler,98,23.68,85,359
93,94,94,Chris Stroud,90,23.66,75,317
94,95,95,Justin Bolli,55,23.6,42,178
95,96,96,Kevin Streelman,90,23.51,75,319
96,T97,T97,Woody Austin,93,23.48,77,328
97,T97,T97,Vaughn Taylor,87,23.48,77,328
98,T99,T99,Stuart Appleby,101,23.43,82,350
99,T99,T99,K.J. Choi,82,23.43,56,239
100,101,101,Lee Janzen,77,23.41,59,252
101,102,102,Joe Ogilvie,99,23.37,86,368
102,103,103,Michael Bradley,77,23.21,68,293
103,104,104,Kevin Johnson,62,23.08,42,182
104,105,105,Michael Connell,89,23.03,70,304
105,106,106,Brian Davis,101,22.99,77,335
106,107,107,Charley Hoffman,85,22.95,67,292
107,108,108,Sean O'Hair,84,22.93,61,266
108,T109,T109,Lucas Glover,75,22.71,47,207
109,T109,T109,Omar Uresti,74,22.71,62,273
110,111,111,Mathew Goggin,85,22.69,59,260
111,112,112,Shaun Micheel,70,22.68,44,194
112,113,113,Roland Thatcher,72,22.54,64,284
113,114,114,Jarrod Lyle,54,22.51,43,191
114,115,115,Joe Durant,67,22.49,56,249
115,116,116,Marc Leishman,87,22.44,68,303
116,117,117,Robert Garrigus,71,22.42,63,281
117,118,118,Jeff Gove,57,22.4,41,183
118,119,119,Matt Jones,89,22.36,70,313
119,120,120,J.B. Holmes,100,22.28,86,386
120,T121,T121,Kris Blanks,91,22.22,64,288
121,T121,T121,Kevin Sutherland,86,22.22,64,288
122,123,123,Nicholas Thompson,88,22.19,67,302
123,124,124,Chris Couch,66,22.02,48,218
124,125,125,Henrik Bjornstad,72,22.01,46,209
125,126,126,Pat Perez,90,21.99,75,341
126,127,127,Tim Herron,79,21.96,65,296
127,128,128,Skip Kendall,58,21.9,46,210
128,129,129,Charles Howell III,103,21.83,81,371
129,130,130,Jeev Milkha Singh,59,21.8,46,211
130,131,131,Jason Dufner,87,21.72,53,244
131,T132,T132,Brenden Pappas,66,21.65,50,231
132,T132,T132,Chris Tidland,77,21.65,63,291
133,134,134,John Senden,103,21.64,74,342
134,T135,T135,Kenny Perry,69,21.63,53,245
135,T135,T135,Kevin Stadler,86,21.63,61,282
136,T135,T135,Johnson Wagner,85,21.63,53,245
137,138,138,D.J. Trahan,92,21.59,76,352
