,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Cliff Kresge,50,33.87,21,62,-24,24 Under
1,2,2,Graham DeLaet,88,32.96,59,179,-53,53 Under
2,3,3,Bubba Watson,77,32.34,54,167,-55,55 Under
3,4,4,Steve Stricker,73,32.14,27,84,-29,29 Under
4,5,5,Davis Love III,79,31.58,42,133,-43,43 Under
5,6,6,Paul Casey,64,31.25,25,80,-30,30 Under
6,7,7,Robert Garrigus,71,30.87,46,149,-41,41 Under
7,8,8,Tim Clark,88,30.65,19,62,-17,17 Under
8,9,9,Sean O'Hair,84,30.53,40,131,-42,42 Under
9,10,10,Trevor Immelman,55,30.36,17,56,-18,18 Under
10,11,11,Jonathan Byrd,85,30.34,44,145,-40,40 Under
11,12,12,Kevin Sutherland,86,30.15,41,136,-48,48 Under
12,13,13,Phil Mickelson,76,30.14,44,146,-48,48 Under
13,14,14,Troy Matteson,84,29.65,51,172,-50,50 Under
14,15,15,Sergio Garcia,58,29.17,21,72,-19,19 Under
15,16,16,Jason Dufner,87,29.03,36,124,-39,39 Under
16,17,17,Brett Wetterich,54,28.69,35,122,-35,35 Under
17,18,18,Bob Estes,79,28.57,28,98,-29,29 Under
18,19,19,Dustin Johnson,83,28.25,50,177,-54,54 Under
19,20,20,Charles Warren,64,28.03,37,132,-42,42 Under
20,T21,T21,Henrik Bjornstad,72,27.78,35,126,-35,35 Under
21,T21,T21,Billy Mayfair,78,27.78,30,108,-27,27 Under
22,T21,T21,Nick Watney,91,27.78,45,162,-43,43 Under
23,24,24,Matt Every,60,27.72,28,101,-27,27 Under
24,25,25,Joe Durant,67,27.59,24,87,-25,25 Under
25,26,26,J.B. Holmes,100,27.4,60,219,-65,65 Under
26,27,27,Derek Lamely,81,27.19,31,114,-35,35 Under
27,28,28,Rich Barcelo,70,27.06,23,85,-28,28 Under
28,29,29,Bill Lunde,79,27.05,33,122,-36,36 Under
29,30,30,John Rollins,81,26.99,44,163,-42,42 Under
30,31,31,Martin Laird,91,26.98,51,189,-56,56 Under
31,32,32,Charley Hoffman,85,26.84,51,190,-55,55 Under
32,33,33,Ryan Palmer,84,26.81,37,138,-35,35 Under
33,34,34,Kevin Stadler,86,26.71,43,161,-46,46 Under
34,35,35,Marc Leishman,87,26.57,38,143,-35,35 Under
35,36,36,Will MacKenzie,72,26.52,35,132,-32,32 Under
36,37,37,Vaughn Taylor,87,26.47,36,136,-34,34 Under
37,38,38,Jarrod Lyle,54,26.44,23,87,-21,21 Under
38,39,39,Alex Prugh,88,26.38,43,163,-51,51 Under
39,40,40,Cameron Tringale,55,26.09,24,92,-19,19 Under
40,41,41,Adam Scott,70,25.89,29,112,-30,30 Under
41,42,42,Alex Cejka,81,25.77,25,97,-28,28 Under
42,43,43,Mathias Grönberg,61,25.74,26,101,-25,25 Under
43,44,44,John Senden,103,25.71,45,175,-41,41 Under
44,45,45,Matt Bettencourt,91,25.69,37,144,-47,47 Under
45,46,46,Stewart Cink,84,25.58,33,129,-31,31 Under
46,47,47,Tom Gillis,97,25.56,46,180,-48,48 Under
47,T48,T48,Troy Merritt,86,25.52,37,145,-37,37 Under
