,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Dean Wilson,54,70.83,34,48
1,2,2,Jarrod Lyle,54,68.97,60,87
2,3,3,Jim Furyk,76,67.35,66,98
3,4,4,Boo Weekley,88,67.27,74,110
4,5,5,Omar Uresti,74,66.36,71,107
5,6,6,Jonathan Byrd,85,66.21,96,145
6,7,7,Steve Flesch,78,66.14,84,127
7,8,8,Scott Verplank,74,66.09,76,115
8,9,9,Skip Kendall,58,66.06,72,109
9,10,10,Charles Howell III,103,66.04,105,159
10,11,11,Steve Stricker,73,65.63,42,64
11,12,12,Y.E. Yang,72,65.38,51,78
12,T13,T13,Steve Elkington,74,65.22,60,92
13,T13,T13,Richard Johnson,90,65.22,75,115
14,15,15,Michael Sim,64,65.14,71,109
15,16,16,Chris DiMarco,88,65.0,104,160
16,17,17,Craig Bowden,56,64.71,55,85
17,18,18,Charlie Wi,95,64.63,106,164
18,T19,T19,Joe Durant,67,64.36,65,101
19,T19,T19,Cameron Percy,73,64.36,65,101
20,21,21,J.B. Holmes,100,64.15,102,159
21,22,22,Heath Slocum,97,64.06,82,128
22,23,23,Graham DeLaet,88,63.96,71,111
23,24,24,Matt Kuchar,97,63.89,69,108
24,25,25,Spencer Levin,110,63.27,124,196
25,26,26,Paul Casey,64,63.24,43,68
26,27,27,Bob Estes,79,63.16,84,133
27,28,28,Sean O'Hair,84,63.1,53,84
28,29,29,Greg Chalmers,93,62.94,90,143
29,T30,T30,Ángel Cabrera,64,62.9,39,62
30,T30,T30,Kevin Sutherland,86,62.9,78,124
31,32,32,Ryuji Imada,90,62.64,114,182
32,T33,T33,Matt Bettencourt,91,62.31,81,130
33,T33,T33,John Rollins,81,62.31,81,130
34,35,35,Andres Romero,73,62.16,69,111
35,36,36,Freddie Jacobson,83,61.76,84,136
36,37,37,Chris Riley,73,61.72,79,128
37,38,38,Rocco Mediate,71,61.62,61,99
38,39,39,Michael Connell,89,61.44,94,153
39,40,40,Matt Jones,89,61.43,86,140
40,41,41,Tim Herron,79,61.42,78,127
41,42,42,Aron Price,70,61.26,68,111
42,43,43,Daniel Chopra,74,61.16,74,121
43,T44,T44,K.J. Choi,82,61.11,55,90
44,T44,T44,Ernie Els,72,61.11,44,72
45,46,46,Steve Marino,81,60.98,75,123
46,47,47,Bryce Molder,84,60.94,78,128
47,48,48,Retief Goosen,75,60.92,53,87
48,49,49,Chad Collins,87,60.85,115,189
49,50,50,Mike Weir,59,60.58,63,104
50,51,51,Kevin Na,94,60.53,69,114
51,52,52,Jason Dufner,87,60.42,58,96
52,53,53,Jason Day,82,60.36,67,111
53,54,54,Jay Williamson,76,60.22,56,93
54,55,55,Vaughn Taylor,87,60.19,65,108
55,56,56,Pat Perez,90,60.14,89,148
56,T57,T57,Lucas Glover,75,60.0,48,80
57,T57,T57,Josh Teater,101,60.0,102,170
58,59,59,Derek Lamely,81,59.86,88,147
59,60,60,Robert Garrigus,71,59.79,58,97
60,61,61,John Merrick,109,59.78,107,179
61,T62,T62,Ben Crane,85,59.57,56,94
62,T62,T62,Ryan Moore,80,59.57,56,94
63,T64,T64,Briny Baird,87,59.54,78,131
64,T64,T64,James Nitties,92,59.54,103,173
65,T66,T66,Padraig Harrington,57,59.46,44,74
66,T66,T66,Joe Ogilvie,99,59.46,88,148
67,T66,T66,Justin Rose,78,59.46,66,111
68,69,69,Bill Haas,87,59.38,57,96
69,70,70,Brian Gay,101,59.35,92,155
70,71,71,Paul Stankowski,62,59.34,54,91
71,72,72,Mark Wilson,87,59.32,70,118
72,73,73,Stuart Appleby,101,59.3,102,172
73,74,74,Blake Adams,84,59.06,75,127
74,75,75,J.J. Henry,92,59.01,95,161
75,76,76,Adam Scott,70,58.97,46,78
76,77,77,Kevin Stadler,86,58.96,79,134
77,78,78,Jeff Maggert,76,58.93,66,112
78,79,79,Shaun Micheel,70,58.91,76,129
79,80,80,Lee Janzen,77,58.87,73,124
80,81,81,Tim Petrovic,105,58.85,113,192
81,82,82,Rod Pampling,77,58.82,80,136
82,83,83,Scott Piercy,88,58.74,84,143
83,T84,T84,Chris Couch,66,58.65,61,104
84,T84,T84,James Driscoll,78,58.65,78,133
85,86,86,John Mallinger,78,58.59,58,99
86,87,87,Brian Davis,101,58.43,97,166
87,88,88,Nathan Green,86,58.33,91,156
