,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
0,1,1,Lee Westwood,11,3399954,3564954
1,2,2,Martin Kaymer,10,1762793,2356459
2,3,3,Louis Oosthuizen,5,1305593,1431426
3,4,4,Robert Karlsson,11,853170,1030920
4,5,5,Grégory Havret,2,810000,810000
5,6,6,Charl Schwartzel,11,676845,1710845
6,7,7,Edoardo Molinari,8,636518,770018
7,8,8,Francesco Molinari,8,358196,568696
8,9,9,Bob Heintz,3,355047,355047
9,10,10,WC Liang,4,245436,315436
10,11,11,Alvaro Quiros,9,232464,549764
11,12,12,Ken Duke,5,220777,220777
12,13,13,Miguel Angel Jiménez,7,213000,371250
13,14,14,Robert Rock,1,186239,186239
14,15,15,Peter Hanson,7,179075,479575
15,16,16,Simon Dyson,8,171071,304321
16,17,17,Tim Wilkinson,15,160706,160706
17,18,18,Søren Kjeldsen,7,158989,246989
18,19,19,Stephen Gallacher,2,149245,149245
19,20,20,Ryo Ishikawa,10,149180,336430
20,21,21,Thongchai Jaidee,8,98685,414185
21,22,22,Yuta Ikeda,11,98463,263713
22,23,23,Gary Woodland,8,95815,95815
23,24,24,Sam Saunders,7,95226,95226
24,25,25,Oliver Wilson,9,90722,464472
25,26,26,Ignacio Garrido,1,87840,87840
26,27,27,Seung-Yul Noh,5,81422,81422
27,28,28,Simon Khan,4,77646,114021
28,29,29,Erik Compton,7,77245,77245
29,30,30,Mike Small,8,69665,69665
30,31,31,Ross Fisher,10,66582,217796
31,32,32,Alejandro Cañizares,2,55956,55956
32,33,33,Chris Kirk,1,54480,54480
33,34,34,Ross McGowan,6,48722,259722
34,T35,T35,Bradley Dredge,1,48000,48000
35,T35,T35,Marcel Siem,1,48000,48000
36,37,37,David Horsey,2,46700,84450
37,38,38,Jamie Lovemark,4,45400,45400
38,T39,T39,Kevin Chappell,2,44000,44000
39,T39,T39,John Ellis,1,44000,44000
40,41,41,Darren Clarke,2,43275,43275
41,42,42,Kyle Stanley,3,43090,43090
42,43,43,Steve Allan,2,42000,42000
43,44,44,K.T. Kim,2,38102,38102
44,45,45,Gonzalo Fernandez-Castaño,3,37133,99633
45,46,46,Brandt Jobe,1,35317,35317
46,47,47,Bobby Gates,2,34722,34722
47,48,48,Toru Taniguchi,2,34720,34720
48,T49,T49,Shane Lowry,2,33792,33792
49,T49,T49,Colm Moriarty,1,33792,33792
50,51,51,Benjamin Fox,3,33540,33540
51,52,52,Fredrik Andersson Hed,2,31843,31843
52,53,53,Todd Fischer,1,31200,31200
53,54,54,Colin Montgomerie,3,30978,30978
54,55,55,Rhys Davies,4,28762,66512
55,56,56,Tag Ridings,1,28594,28594
56,57,57,Jhonattan Vegas,1,26483,26483
57,58,58,Michael Putnam,1,23850,23850
58,T59,T59,Jason Allred,1,23385,23385
59,T59,T59,Rafa Cabrera Bello,1,23385,23385
60,T59,T59,Jim Herman,1,23385,23385
61,T62,T62,Rob Grube,1,19890,19890
62,T62,T62,Adam Hadwin,1,19890,19890
63,T62,T62,Brock Mackenzie,1,19890,19890
64,T65,T65,Danny Chia,1,19046,19046
65,T65,T65,Zane Scotland,1,19046,19046
66,67,67,Michael O'Neal,2,18424,18424
67,68,68,Hiroyuki Fujita,4,18368,18368
68,69,69,Peter Senior,1,18048,18048
69,70,70,Drew Weaver,2,17366,17366
70,T71,T71,Hirofumi Miyase,1,17126,17126
71,T71,T71,Steven Tiley,1,17126,17126
72,73,73,Andrew Coltart,1,16742,16742
73,74,74,Gareth Maybin,2,16672,16672
74,75,75,Thomas Aiken,1,16358,16358
75,76,76,Erick Justesen,2,15651,15651
76,77,77,Grégory Bourdy,2,15225,54475
77,78,78,Danny Wax,1,14450,14450
78,79,79,Rob Labritz,1,14150,14150
79,80,80,Jason Schultz,1,13845,13845
80,81,81,Jeff Burns,1,13237,13237
81,82,82,Matthew Richardson,1,13023,13023
82,T83,T83,Thomas Levet,2,12960,12960
83,T83,T83,Santiago Luna,1,12960,12960
84,85,85,Jon Mills,1,12818,12818
85,86,86,"Jerry Richardson, Jr.",1,12725,12725
86,87,87,Phil Schmitt,2,12544,12544
87,88,88,Ty Tryon,1,12293,12293
88,89,89,Brad Adamonis,4,12060,12060
89,90,90,Alexandre Rocha,1,12040,12040
90,T91,T91,Pablo Martin Benavides,2,11707,11707
91,T91,T91,Jason Preeo,1,11707,11707
92,93,93,Chris Rogers,2,11704,11704
93,94,94,Casey Wittenberg,1,11200,11200
94,95,95,Ryuichi Oda,2,11165,11165
95,96,96,Alex Hamilton,2,10836,10836
96,97,97,Seungsu Han,1,10812,10812
97,98,98,Aaron Goldberg,3,10615,10615
98,99,99,Andrew Svoboda,1,10556,10556
99,100,100,Mark Anderson,1,10203,10203
100,101,101,Kevin Hayashi,1,9900,9900
101,102,102,Blake Trimble,1,9752,9752
102,T103,T103,Daniel Barbetti,1,9481,9481
103,T103,T103,Peter Gustafsson,1,9481,9481
104,T103,T103,Manuel Villegas,2,9481,9481
105,106,106,Billy Hurley III,1,8560,8560
106,107,107,Warren Schutte,1,8471,8471
107,108,108,Matt Hill,5,7305,7305
