,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Grégory Havret,2,5.59,"$810,000","$14,500,000"
1,2,2,Lee Westwood,11,4.43,"$3,564,954","$80,500,000"
2,3,3,Louis Oosthuizen,5,3.77,"$1,431,426","$38,000,000"
3,4,4,Jim Furyk,21,3.26,"$4,809,620","$147,600,000"
4,5,5,Ernie Els,20,3.23,"$4,558,860","$141,200,000"
5,6,6,Steve Stricker,19,3.21,"$4,190,234","$130,500,000"
6,7,7,Martin Kaymer,10,3.09,"$2,356,459","$76,300,000"
7,8,8,Paul Casey,17,2.94,"$3,613,192","$122,700,000"
8,9,9,Matt Kuchar,26,2.81,"$4,910,473","$174,500,000"
9,10,10,Dustin Johnson,23,2.79,"$4,473,121","$160,100,000"
10,11,11,Phil Mickelson,20,2.72,"$3,821,732","$140,400,000"
11,12,12,Robert Rock,1,2.66,"$186,239","$7,000,000"
12,13,13,Bob Heintz,3,2.63,"$355,047","$13,500,000"
13,T14,T14,Luke Donald,20,2.62,"$3,665,233","$139,900,000"
14,T14,T14,Anthony Kim,14,2.62,"$2,574,921","$98,400,000"
15,16,16,Alistair Presnell,1,2.52,"$214,300","$8,500,000"
16,17,17,Justin Rose,22,2.5,"$3,603,330","$144,300,000"
17,18,18,Retief Goosen,19,2.47,"$3,218,088","$130,400,000"
18,19,19,Graeme McDowell,10,2.43,"$1,848,636","$76,100,000"
19,20,20,Bubba Watson,22,2.24,"$3,198,995","$142,800,000"
20,21,21,Rory McIlroy,16,2.19,"$2,554,278","$116,500,000"
21,22,22,Tim Clark,24,2.18,"$3,530,000","$161,600,000"
22,23,23,Camilo Villegas,20,2.15,"$3,035,522","$141,000,000"
23,T24,T24,Arjun Atwal,13,2.09,"$1,507,142","$72,100,000"
24,T24,T24,Hunter Mahan,25,2.09,"$3,574,547","$170,800,000"
25,T24,T24,Charl Schwartzel,11,2.09,"$1,710,844","$81,900,000"
26,27,27,Jeff Overton,26,2.07,"$3,456,355","$167,000,000"
27,28,28,Robert Allenby,22,2.02,"$2,974,996","$147,300,000"
28,29,29,Ian Poulter,15,1.89,"$2,079,663","$110,200,000"
29,T30,T30,Jason Day,24,1.86,"$2,904,324","$156,200,000"
30,T30,T30,Bo Van Pelt,28,1.86,"$3,336,257","$179,200,000"
31,32,32,Bill Haas,25,1.83,"$2,905,135","$158,400,000"
32,33,33,Charley Hoffman,24,1.77,"$2,559,643","$145,000,000"
33,T34,T34,Geoff Ogilvy,19,1.76,"$2,393,044","$136,000,000"
34,T34,T34,Ryan Palmer,27,1.76,"$2,985,295","$169,200,000"
35,T36,T36,Zach Johnson,25,1.74,"$2,916,992","$167,500,000"
36,T36,T36,Adam Scott,20,1.74,"$2,489,400","$142,900,000"
37,38,38,Ben Crane,24,1.71,"$2,841,498","$165,900,000"
38,39,39,Corey Pavin,8,1.69,"$839,193","$49,700,000"
39,40,40,Rickie Fowler,28,1.64,"$2,857,106","$173,700,000"
40,41,41,Nick Watney,24,1.54,"$2,536,711","$164,600,000"
41,42,42,K.J. Choi,22,1.52,"$2,199,960","$144,600,000"
42,43,43,Heath Slocum,25,1.5,"$2,387,682","$159,100,000"
43,44,44,Ryan Moore,24,1.47,"$2,374,823","$161,700,000"
44,45,45,Tiger Woods,12,1.46,"$1,294,763","$88,700,000"
45,46,46,J.B. Holmes,26,1.43,"$2,386,246","$166,700,000"
46,47,47,Robert Garrigus,22,1.41,"$1,583,274","$112,100,000"
47,48,48,Chris Kirk,1,1.36,"$54,480","$4,000,000"
48,49,49,Martin Laird,26,1.28,"$2,137,926","$166,500,000"
49,50,50,Robert Karlsson,11,1.27,"$1,030,919","$81,200,000"
50,51,51,Edoardo Molinari,8,1.26,"$770,017","$61,000,000"
51,52,52,Ignacio Garrido,1,1.25,"$87,839","$7,000,000"
52,53,53,Jason Bohn,25,1.24,"$1,904,760","$154,000,000"
53,54,54,Vaughn Taylor,26,1.21,"$1,838,859","$152,400,000"
54,55,55,Kevin Na,26,1.18,"$2,021,812","$171,000,000"
55,56,56,Carl Pettersson,29,1.17,"$1,934,462","$165,500,000"
56,T57,T57,Brendon de Jonge,32,1.16,"$2,167,976","$186,200,000"
57,T57,T57,Freddie Jacobson,24,1.16,"$1,666,252","$144,200,000"
58,59,59,WC Liang,4,1.15,"$315,435","$27,500,000"
59,60,60,Sean O'Hair,25,1.12,"$1,859,039","$166,500,000"
60,61,61,Padraig Harrington,18,1.09,"$1,381,451","$127,000,000"
61,62,62,Scott Verplank,22,1.08,"$1,653,189","$152,500,000"
62,63,63,Stuart Appleby,31,1.06,"$1,965,824","$184,700,000"
63,T64,T64,Ricky Barnes,28,1.04,"$1,835,192","$176,600,000"
64,T64,T64,Jonathan Byrd,26,1.04,"$1,534,978","$146,900,000"
65,T64,T64,Todd Fischer,1,1.04,"$31,200","$3,000,000"
66,T64,T64,Michael Sim,20,1.04,"$1,338,925","$128,500,000"
67,68,68,Stephen Gallacher,2,1.03,"$149,244","$14,500,000"
68,69,69,D.J. Trahan,27,1.01,"$1,619,690","$160,800,000"
69,T70,T70,Stewart Cink,23,1.0,"$1,573,634","$157,500,000"
