,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Dustin Johnson,83,300.3,265451,884
1,2,2,Robert Garrigus,71,299.6,255589,853
2,3,3,John Daly,63,298.7,194423,651
3,4,4,J.B. Holmes,100,298.2,366243,1228
4,5,5,Bubba Watson,77,298.1,277809,932
5,6,6,Ángel Cabrera,64,295.6,212255,718
6,7,7,Phil Mickelson,76,295.0,235438,798
7,8,8,Brett Wetterich,54,293.7,217372,740
8,9,9,Rory McIlroy,54,293.3,164264,560
9,10,10,Graham DeLaet,88,293.1,310652,1060
10,T11,T11,D.J. Trahan,92,292.5,335170,1146
11,T11,T11,Charles Warren,64,292.5,224651,768
12,13,13,Martin Flores,75,292.4,260789,892
13,14,14,Charley Hoffman,85,291.5,312773,1073
14,15,15,Nick Watney,91,291.1,281238,966
15,16,16,Troy Matteson,84,290.9,318279,1094
16,17,17,Martin Laird,91,290.7,321264,1105
17,18,18,Alex Prugh,88,290.4,323512,1114
18,19,19,Scott Piercy,88,289.9,327925,1131
19,T20,T20,Jeff Overton,89,289.8,287216,991
20,T20,T20,Ryan Palmer,84,289.8,286312,988
21,22,22,Aaron Baddeley,94,289.1,354197,1225
22,23,23,Cameron Tringale,55,288.9,181450,628
23,T24,T24,Jason Day,82,288.7,285844,990
24,T24,T24,Andres Romero,73,288.7,290170,1005
25,26,26,Garth Mulroy,53,288.6,168824,585
26,T27,T27,Daniel Chopra,74,288.3,267842,929
27,T27,T27,John Rollins,81,288.3,303037,1051
28,29,29,Marc Leishman,87,287.4,289695,1008
29,30,30,Josh Teater,101,287.2,367642,1280
30,31,31,Vijay Singh,75,287.0,228987,798
31,32,32,Bo Van Pelt,104,286.9,348903,1216
32,33,33,Hunter Mahan,85,286.8,267882,934
33,T34,T34,Matt Bettencourt,91,286.6,278586,972
34,T34,T34,Cameron Percy,73,286.6,235900,823
35,36,36,Jarrod Lyle,54,286.4,183876,642
36,T37,T37,Matt Every,60,286.3,202427,707
37,T37,T37,Boo Weekley,88,286.3,295698,1033
38,39,39,Lucas Glover,75,286.2,236361,826
39,T40,T40,Retief Goosen,75,286.1,211146,738
40,T40,T40,Charles Howell III,103,286.1,357687,1250
41,T40,T40,Kenny Perry,69,286.1,224277,784
42,T43,T43,James Driscoll,78,286.0,294551,1030
43,T43,T43,Mathias Grönberg,61,286.0,199645,698
44,T45,T45,Sean O'Hair,84,285.9,260145,910
45,T45,T45,Rory Sabbatini,79,285.9,268745,940
46,T47,T47,Chris Couch,66,285.8,235176,823
47,T47,T47,Rickie Fowler,98,285.8,330652,1157
48,T47,T47,Davis Love III,79,285.8,264095,924
49,T50,T50,Stewart Cink,84,285.7,260517,912
50,T50,T50,Adam Scott,70,285.7,206820,724
51,52,52,Derek Lamely,81,285.6,254222,890
52,53,53,Paul Casey,64,285.2,176231,618
53,54,54,Chris Wilson,65,285.1,206400,724
54,55,55,Kevin Stadler,86,284.6,285733,1004
55,T56,T56,Ryan Moore,80,284.5,242677,853
56,T56,T56,Kevin Streelman,90,284.5,317517,1116
57,58,58,Steve Marino,81,284.4,250856,882
58,T59,T59,Tim Herron,79,284.3,273471,962
59,T59,T59,Camilo Villegas,78,284.3,221717,780
60,T61,T61,Jonathan Byrd,85,284.2,324567,1142
61,T61,T61,Bill Haas,87,284.2,296136,1042
62,T61,T61,Bill Lunde,79,284.2,264296,930
63,T61,T61,Ted Purdy,86,284.2,296412,1043
64,T61,T61,Nicholas Thompson,88,284.2,304426,1071
65,66,66,Roger Tambellini,77,284.1,244913,862
66,67,67,Stuart Appleby,101,283.7,347796,1226
67,T68,T68,J.J. Henry,92,283.6,311652,1099
68,T68,T68,Joe Ogilvie,99,283.6,339129,1196
69,70,70,David Lutterus,69,283.5,221420,781
