,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Omar Uresti,74,18.79,159,846,+1.07
1,2,2,Joe Durant,67,18.88,149,789,+1.41
2,3,3,Brian Gay,101,20.02,229,1144,+0.66
3,4,4,Craig Bowden,56,20.6,137,665,+1.68
4,5,5,Skip Kendall,58,21.09,143,678,+1.82
5,6,6,Tim Clark,88,21.27,201,945,+1.14
6,7,7,Heath Slocum,97,21.3,217,1019,+0.32
7,8,8,David Toms,86,21.98,213,969,+1.08
8,9,9,Scott Verplank,74,22.06,171,775,+0.94
9,10,10,John Mallinger,78,22.1,198,896,+1.46
10,11,11,Alex Cejka,81,22.13,206,931,+1.65
11,12,12,Garrett Willis,82,22.15,218,984,+0.73
12,13,13,Zach Johnson,93,22.47,235,1046,+1.11
13,14,14,Jim Furyk,76,22.69,189,833,+0.58
14,15,15,Paul Goydos,78,22.76,208,914,+1.15
15,16,16,Richard Johnson,90,22.83,231,1012,+1.86
16,17,17,Jerry Kelly,99,23.08,264,1144,+1.14
17,18,18,Rocco Mediate,71,23.1,194,840,+2.01
18,19,19,Billy Mayfair,78,23.15,209,903,+0.96
19,20,20,Ben Curtis,78,23.36,214,916,+1.26
20,21,21,Ben Crane,85,23.69,217,916,+0.60
21,22,22,Chris DiMarco,88,23.72,254,1071,+0.51
22,23,23,Tom Gillis,97,23.84,298,1250,+0.74
23,24,24,Jeff Quinney,91,24.0,265,1104,+1.13
24,25,25,Mark Wilson,87,24.09,265,1100,+1.06
25,26,26,Chad Campbell,94,24.11,271,1124,+1.37
26,27,27,Justin Bolli,55,24.13,139,576,+1.73
27,28,28,Jason Dufner,87,24.24,232,957,+1.16
28,29,29,Kris Blanks,91,24.32,249,1024,+1.45
29,30,30,Brendon de Jonge,114,24.46,306,1251,+0.98
30,T31,T31,John Merrick,109,24.47,312,1275,+1.41
31,T31,T31,Vaughn Taylor,87,24.47,267,1091,+0.97
32,33,33,Aron Price,70,24.51,211,861,+1.42
33,34,34,Brian Davis,101,24.53,303,1235,+1.29
34,35,35,Brent Delahoussaye,57,24.57,159,647,+1.19
35,36,36,Stephen Ames,75,24.58,235,956,+1.23
36,37,37,Chris Riley,73,24.74,216,873,+1.25
37,38,38,Cliff Kresge,50,24.8,154,621,+0.58
38,39,39,Pat Perez,90,24.93,287,1151,+1.32
39,40,40,James Nitties,92,24.96,278,1114,+1.08
40,41,41,Charles Warren,64,24.97,189,757,+1.59
41,42,42,Ryan Moore,80,25.06,212,846,+0.61
42,43,43,Justin Leonard,89,25.17,252,1001,+1.07
43,44,44,Kevin Sutherland,86,25.19,271,1076,+0.26
44,45,45,Rod Pampling,77,25.21,244,968,+0.98
45,46,46,Matt Kuchar,97,25.22,262,1039,E
46,47,47,Boo Weekley,88,25.27,260,1029,+1.38
47,48,48,K.J. Choi,82,25.3,213,842,+0.80
48,49,49,Tim Petrovic,105,25.31,329,1300,+1.49
49,50,50,Will MacKenzie,72,25.37,239,942,+0.88
50,51,51,Henrik Bjornstad,72,25.4,206,811,+1.31
51,52,52,Scott McCarron,90,25.57,292,1142,+0.55
52,53,53,Steve Flesch,78,25.65,228,889,+0.66
53,54,54,Hunter Mahan,85,25.67,238,927,+0.38
54,T55,T55,Chris Couch,66,25.7,210,817,+0.57
55,T55,T55,Kenny Perry,69,25.7,201,782,+1.24
56,57,57,Jeff Maggert,76,25.77,225,873,+1.56
57,58,58,Woody Austin,93,26.05,298,1144,+0.67
58,59,59,Kevin Johnson,62,26.08,175,671,+1.94
59,60,60,Mathew Goggin,85,26.17,274,1047,+1.86
60,61,61,Paul Stankowski,62,26.19,192,733,+0.42
61,62,62,Davis Love III,79,26.23,239,911,+0.59
62,63,63,Jay Williamson,76,26.27,222,845,+1.26
63,T64,T64,Steve Elkington,74,26.3,213,810,+0.56
64,T64,T64,Steve Wheatcroft,74,26.3,208,791,+1.39
65,66,66,Steve Stricker,73,26.32,205,779,-0.24
66,67,67,Blake Adams,84,26.4,273,1034,+0.92
67,68,68,Michael Letzig,84,26.5,292,1102,+0.82
68,69,69,Jarrod Lyle,54,26.58,168,632,+0.18
69,70,70,Josh Teater,101,26.59,335,1260,+1.79
70,T71,T71,John Senden,103,26.6,320,1203,+0.72
71,T71,T71,Brandt Snedeker,89,26.6,274,1030,+0.88
72,T73,T73,Spencer Levin,110,26.7,362,1356,+0.91
73,T73,T73,Kevin Streelman,90,26.7,295,1105,+1.29
74,75,75,Rickie Fowler,98,26.72,306,1145,+0.42
75,76,76,Tom Pernice Jr.,74,26.75,214,800,+1.59
76,77,77,Charlie Wi,95,26.77,329,1229,+0.64
77,78,78,Nicholas Thompson,88,26.94,285,1058,+1.26
78,79,79,Jason Bohn,84,26.95,273,1013,+1.39
79,80,80,Justin Rose,78,27.0,260,963,+0.04
80,81,81,Y.E. Yang,72,27.07,219,809,+0.23
81,T82,T82,Retief Goosen,75,27.12,198,730,-0.05
82,T82,T82,Bill Haas,87,27.12,281,1036,E
83,84,84,Graham DeLaet,88,27.13,283,1043,+0.04
84,85,85,Carl Pettersson,99,27.17,310,1141,+0.68
85,T86,T86,John Rollins,81,27.21,283,1040,+0.32
86,T86,T86,Johnson Wagner,85,27.21,277,1018,+1.23
87,88,88,Jerod Turner,54,27.24,149,547,+2.01
88,89,89,J.J. Henry,92,27.37,297,1085,+0.30
89,90,90,Greg Owen,69,27.39,232,847,+1.68
90,91,91,Kevin Stadler,86,27.45,272,991,+0.96
91,92,92,Mathias Grönberg,61,27.5,190,691,+1.11
92,93,93,Trevor Immelman,55,27.57,161,584,+0.12
93,T94,T94,Freddie Jacobson,83,27.58,294,1066,+1.02
94,T94,T94,Chris Stroud,90,27.58,273,990,+0.40
95,96,96,Bo Van Pelt,104,27.59,333,1207,+0.42
96,97,97,Dean Wilson,54,27.69,180,650,-0.22
97,98,98,Jeff Gove,57,27.7,169,610,+2.31
98,99,99,J.P. Hayes,79,27.74,261,941,+1.00
99,100,100,Ted Purdy,86,27.84,282,1013,+1.45
100,101,101,Charley Hoffman,85,27.86,295,1059,+0.58
101,102,102,Kevin Na,94,27.87,291,1044,+0.55
102,103,103,Michael Sim,64,27.91,204,731,+0.34
103,T104,T104,Robert Allenby,76,27.93,236,845,+0.42
104,T104,T104,D.A. Points,90,27.93,305,1092,+0.89
105,106,106,Briny Baird,87,27.99,304,1086,+1.02
106,107,107,Chris Tidland,77,28.09,264,940,+0.68
107,108,108,Lucas Glover,75,28.19,230,816,+0.57
108,109,109,Matt Every,60,28.22,197,698,+1.22
109,110,110,Sergio Garcia,58,28.25,139,492,-0.22
110,111,111,Cameron Beckman,68,28.31,231,816,+1.43
111,112,112,Michael Connell,89,28.36,302,1065,+1.09
112,113,113,Steve Lowery,67,28.38,216,761,+1.20
113,114,114,Brian Stuard,81,28.47,277,973,+1.23
114,115,115,Bryce Molder,84,28.59,287,1004,+0.56
115,116,116,Mark Calcavecchia,50,28.6,131,458,+1.22
116,117,117,Chad Collins,87,28.65,296,1033,+1.22
117,118,118,Shaun Micheel,70,28.79,211,733,+1.04
118,119,119,Bill Lunde,79,28.8,265,920,+1.02
119,120,120,Roger Tambellini,77,28.94,246,850,+1.42
120,121,121,Greg Kraft,52,28.97,155,535,+2.32
121,122,122,Ryuji Imada,90,29.03,335,1154,+0.93
122,123,123,Bob Estes,79,29.07,282,970,+0.04
123,124,124,Garth Mulroy,53,29.12,168,577,+1.01
124,125,125,Jonathan Byrd,85,29.14,329,1129,+0.24
125,126,126,Andrew McLardy,52,29.16,177,607,+0.85
126,127,127,Rory Sabbatini,79,29.17,271,929,+0.22
127,128,128,Brett Quigley,96,29.26,352,1203,+0.60
128,129,129,Michael Bradley,77,29.41,275,935,+0.80
129,130,130,Stewart Cink,84,29.46,264,896,+0.15
130,131,131,Steve Marino,81,29.51,257,871,+0.70
131,132,132,Sean O'Hair,84,29.68,268,903,+0.49
132,133,133,Paul Casey,64,29.8,183,614,-0.05
133,134,134,Ian Poulter,55,29.89,139,465,+1.37
134,135,135,Stuart Appleby,101,29.97,362,1208,+0.41
135,136,136,Chris Wilson,65,30.0,213,710,+0.99
136,137,137,Cameron Tringale,55,30.06,187,622,+0.80
137,138,138,Nathan Green,86,30.08,336,1117,+1.43
138,139,139,Roland Thatcher,72,30.29,282,931,+0.92
139,140,140,Nick Watney,91,30.42,292,960,-0.07
140,141,141,Rory McIlroy,54,30.56,169,553,+0.24
141,142,142,Brad Faxon,58,30.61,202,660,+2.62
142,143,143,Cameron Percy,73,30.63,249,813,+0.16
143,144,144,Vijay Singh,75,30.7,241,785,+0.41
144,145,145,Troy Merritt,86,30.71,324,1055,+0.99
145,T146,T146,Greg Chalmers,93,30.72,368,1198,+0.60
146,T146,T146,Webb Simpson,98,30.72,388,1263,+0.44
147,148,148,Adam Scott,70,30.78,221,718,-0.05
148,149,149,Jeev Milkha Singh,59,30.81,220,714,+0.68
149,150,150,Joe Ogilvie,99,30.87,364,1179,+0.74
150,151,151,Matt Jones,89,31.06,341,1098,+0.41
151,152,152,D.J. Trahan,92,31.12,351,1128,+0.11
152,153,153,Troy Matteson,84,31.22,339,1086,+0.53
153,154,154,James Driscoll,78,31.24,318,1018,+0.22
154,155,155,Camilo Villegas,78,31.27,242,774,+0.62
155,156,156,Ricky Barnes,103,31.3,354,1131,+0.42
156,157,157,Luke Donald,71,31.31,227,725,-0.40
157,158,158,Jason Day,82,31.49,307,975,+0.75
158,159,159,Lee Janzen,77,31.6,303,959,+0.92
159,160,160,Brett Wetterich,54,31.65,232,733,-0.22
160,161,161,Martin Laird,91,31.99,348,1088,+0.60
161,162,162,David Duval,71,32.01,241,753,+1.00
162,163,163,Vance Veazey,58,32.06,210,655,+1.62
163,164,164,Scott Piercy,88,32.16,355,1104,+0.90
164,165,165,Matt Bettencourt,91,32.39,309,954,+0.97
165,166,166,Aaron Baddeley,94,32.61,390,1196,-0.18
166,167,167,Marc Leishman,87,32.62,322,987,+0.53
167,168,168,Alex Prugh,88,32.76,359,1096,+0.72
168,169,169,Ryan Palmer,84,32.79,319,973,+0.50
169,170,170,Ernie Els,72,32.81,250,762,-0.20
170,171,171,David Lutterus,69,32.99,253,767,+1.11
171,172,172,Brenden Pappas,66,33.33,250,750,+1.28
172,173,173,Geoff Ogilvy,62,33.38,230,689,+0.17
