,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Joe Durant,67,3359.3,131013,39,6801,2479
1,2,2,Chris Couch,66,3307.4,82686,25,3892,2412
2,3,3,Geoff Ogilvy,62,3157.1,164169,52,5792,2080
3,4,4,James Driscoll,78,3128.3,168930,54,3800,2241
4,5,5,Tom Gillis,97,3098.9,226220,73,3918,2423
5,6,6,Michael Bradley,77,3075.2,132235,43,3702,2131
6,7,7,Mathew Goggin,85,3073.3,141372,46,9025,2011
7,8,8,Pat Perez,90,3067.4,205518,67,3740,2016
8,9,9,Luke Donald,71,3056.2,134471,44,3930,1970
9,10,10,Sergio Garcia,58,3040.2,91205,30,4000,2351
10,11,11,Andrew McLardy,52,3036.8,88066,29,3886,1876
11,12,12,John Senden,103,3031.8,209192,69,3637,2119
12,13,13,Adam Scott,70,3029.1,157513,52,3874,2179
13,14,14,Bill Haas,87,3015.7,199036,66,4514,1877
14,15,15,Boo Weekley,88,3012.4,180745,60,5464,1876
15,16,16,Nathan Green,86,3000.9,180053,60,3578,2003
16,17,17,Michael Sim,64,2997.8,137900,46,3953,1813
17,18,18,Kevin Na,94,2990.8,188421,63,3880,1939
18,19,19,Woody Austin,93,2989.5,185347,62,3743,1606
19,T20,T20,Aaron Baddeley,94,2988.3,206194,69,3873,2232
20,T20,T20,Trevor Immelman,55,2988.3,80684,27,4662,1757
21,22,22,Scott McCarron,90,2975.2,196361,66,3992,1973
22,23,23,Ricky Barnes,103,2969.5,190050,64,5762,2122
23,24,24,Jonathan Byrd,85,2960.7,195404,66,3913,1880
24,25,25,James Nitties,92,2944.9,144299,49,3577,2103
25,26,26,Omar Uresti,74,2940.4,158780,54,3683,2263
26,27,27,Kevin Streelman,90,2938.8,188081,64,3684,2161
27,28,28,Ted Purdy,86,2929.2,140601,48,3669,2136
28,29,29,Tom Pernice Jr.,74,2920.0,108041,37,3776,1692
29,30,30,Charles Warren,64,2918.3,119652,41,3736,2085
30,31,31,Jimmy Walker,82,2909.7,142575,49,5361,2020
31,32,32,Tim Petrovic,105,2901.8,208933,72,3834,2115
32,33,33,Stuart Appleby,101,2900.5,205935,71,6173,1573
33,34,34,Chris Tidland,77,2898.6,162320,56,3771,1884
34,35,35,Jarrod Lyle,54,2895.1,98434,34,3739,1981
35,36,36,Paul Stankowski,62,2889.1,98228,34,5172,1900
36,37,37,Greg Chalmers,93,2885.7,230857,80,3644,2104
37,T38,T38,Michael Connell,89,2883.6,181667,63,3718,1917
38,T38,T38,Ryuji Imada,90,2883.6,207617,72,3954,2002
39,40,40,J.J. Henry,92,2883.1,178750,62,4608,2080
40,41,41,Greg Owen,69,2871.5,134961,47,3704,2078
41,42,42,Rich Barcelo,70,2871.1,123457,43,3645,2035
42,43,43,Freddie Jacobson,83,2864.2,166121,58,7277,1812
43,44,44,Mark Calcavecchia,50,2856.8,102844,36,3691,1996
44,45,45,George McNeill,79,2848.5,159518,56,3745,1906
45,46,46,Matt Jones,89,2839.8,187429,66,4163,2035
46,47,47,Skip Kendall,58,2839.6,99387,35,3704,1950
47,T48,T48,Chad Campbell,94,2833.6,184187,65,3857,1836
48,T48,T48,Troy Merritt,86,2833.6,164346,58,3559,1997
49,50,50,Blake Adams,84,2832.0,164257,58,3764,1868
50,51,51,Charlie Wi,95,2830.7,178334,63,3673,1893
51,52,52,Rickie Fowler,98,2829.8,209404,74,3691,1734
52,53,53,Nick Watney,91,2827.4,172471,61,4230,1561
53,54,54,Charles Howell III,103,2825.7,226053,80,3834,1627
54,55,55,Brendon de Jonge,114,2825.1,242960,86,3922,1705
55,56,56,Dean Wilson,54,2822.7,79036,28,3828,1864
56,57,57,Steve Marino,81,2817.7,163428,58,3729,1734
57,58,58,Garth Mulroy,53,2811.2,75903,27,3405,2343
58,59,59,Charley Hoffman,85,2809.9,168594,60,3834,1647
59,60,60,Richard Johnson,90,2809.3,148893,53,3629,1984
60,61,61,Johnson Wagner,85,2807.5,162835,58,3511,2249
61,62,62,Ben Crane,85,2803.1,187805,67,3626,2141
62,63,63,Graham DeLaet,88,2802.0,126091,45,3813,1788
63,64,64,Justin Rose,78,2801.0,176460,63,3927,1795
64,65,65,Vance Veazey,58,2800.7,95225,34,3657,1823
65,66,66,Chris DiMarco,88,2796.2,164976,59,3971,1575
66,67,67,Chris Wilson,65,2795.0,97825,35,7070,1904
67,68,68,Rod Pampling,77,2793.2,145248,52,4645,1664
68,69,69,Marc Leishman,87,2792.0,164727,59,3960,1953
69,70,70,Jason Dufner,87,2791.8,161924,58,3602,1882
70,71,71,Bryce Molder,84,2788.4,175670,63,3539,1661
71,72,72,Stephen Ames,75,2787.7,139383,50,3725,1961
72,73,73,Chad Collins,87,2783.2,180906,65,3741,1852
73,74,74,Brian Gay,101,2783.1,242126,87,3388,1904
74,75,75,Davis Love III,79,2782.0,150229,54,4732,1918
75,76,76,Ben Curtis,78,2781.3,166875,60,3551,2136
76,77,77,Retief Goosen,75,2780.9,136265,49,3976,1913
77,78,78,Y.E. Yang,72,2777.5,133321,48,3723,1886
78,79,79,Chris Riley,73,2775.9,147123,53,5452,2077
