,3-Putt_Avoidance_-_20-25_RANK THIS WEEK,3-Putt_Avoidance_-_20-25_RANK LAST WEEK,3-Putt_Avoidance_-_20-25_PLAYER NAME,3-Putt_Avoidance_-_20-25_ROUNDS,3-Putt_Avoidance_-_20-25_%,3-Putt_Avoidance_-_20-25_TOTAL 3 PUTTS,3-Putt_Avoidance_-_20-25_ATTEMPTS,3-Putt_Avoidance_-_20-25_2 PUTT OR BETTER %
0,T1,T1,Aaron Baddeley,94,0.0,,118,100.0
1,T1,T1,Rich Barcelo,70,0.0,,80,100.0
2,T1,T1,Henrik Bjornstad,72,0.0,,95,100.0
3,T1,T1,Daniel Chopra,74,0.0,,93,100.0
4,T1,T1,Tim Clark,88,0.0,,82,100.0
5,T1,T1,Ben Curtis,78,0.0,,105,100.0
6,T1,T1,Brent Delahoussaye,57,0.0,,78,100.0
7,T1,T1,Luke Donald,71,0.0,,62,100.0
8,T1,T1,Rickie Fowler,98,0.0,,132,100.0
9,T1,T1,Jim Furyk,76,0.0,,98,100.0
10,T1,T1,Brian Gay,101,0.0,,94,100.0
11,T1,T1,Tim Herron,79,0.0,,88,100.0
12,T1,T1,Andrew McLardy,52,0.0,,56,100.0
13,T1,T1,Rod Pampling,77,0.0,,101,100.0
14,T1,T1,Michael Sim,64,0.0,,81,100.0
15,T1,T1,Paul Stankowski,62,0.0,,99,100.0
16,T1,T1,Roger Tambellini,77,0.0,,102,100.0
17,T1,T1,Chris Tidland,77,0.0,,121,100.0
18,T1,T1,Dean Wilson,54,0.0,,73,100.0
19,20,20,Kevin Sutherland,86,0.71,1.0,141,99.2
20,21,21,Charles Howell III,103,0.73,1.0,137,99.2
21,T22,T22,Ryuji Imada,90,0.74,1.0,135,99.2
22,T22,T22,Vaughn Taylor,87,0.74,1.0,135,99.2
23,24,24,Joe Ogilvie,99,0.75,1.0,134,99.2
24,25,25,Josh Teater,101,0.76,1.0,132,99.2
25,26,26,James Nitties,92,0.77,1.0,130,99.2
26,27,27,Charley Hoffman,85,0.79,1.0,127,99.2
27,28,28,Chris Stroud,90,0.83,1.0,121,99.1
28,29,29,Jerry Kelly,99,0.87,1.0,115,99.1
29,30,30,Will MacKenzie,72,0.88,1.0,113,99.1
30,31,31,Marc Leishman,87,0.89,1.0,112,99.1
31,T32,T32,Michael Bradley,77,0.91,1.0,110,99.0
32,T32,T32,Chris DiMarco,88,0.91,1.0,110,99.0
33,T32,T32,Alex Prugh,88,0.91,1.0,110,99.0
34,35,35,Chad Collins,87,0.92,1.0,109,99.0
35,T36,T36,Jason Bohn,84,0.93,1.0,108,99.0
36,T36,T36,James Driscoll,78,0.93,1.0,108,99.0
37,T36,T36,Garrett Willis,82,0.93,1.0,108,99.0
38,39,39,Matt Kuchar,97,0.97,1.0,103,99.0
39,40,40,K.J. Choi,82,1.0,1.0,100,99.0
40,T41,T41,Derek Lamely,81,1.01,1.0,99,98.9
41,T41,T41,Davis Love III,79,1.01,1.0,99,98.9
42,43,43,Andres Romero,73,1.03,1.0,97,98.9
