,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Ian Poulter,55,31.03,58,18
1,2,2,Matt Kuchar,97,28.1,153,43
2,3,3,Ben Crane,85,26.72,116,31
3,4,4,Rickie Fowler,98,26.71,161,43
4,5,5,Tim Clark,88,26.09,138,36
5,6,6,Charlie Wi,95,25.75,167,43
6,7,7,Shaun Micheel,70,25.47,106,27
7,8,8,Ernie Els,72,25.27,91,23
8,9,9,Retief Goosen,75,24.56,114,28
9,10,10,Geoff Ogilvy,62,24.51,102,25
10,11,11,Lee Janzen,77,24.5,151,37
11,12,12,Greg Chalmers,93,23.87,155,37
12,13,13,Justin Rose,78,23.77,122,29
13,14,14,Nathan Green,86,23.26,172,40
14,15,15,Aron Price,70,23.21,112,26
15,T16,T16,Matt Bettencourt,91,23.08,130,30
16,T16,T16,Greg Kraft,52,23.08,78,18
17,18,18,Adam Scott,70,23.0,100,23
18,19,19,Paul Goydos,78,22.7,141,32
19,20,20,Scott McCarron,90,22.29,157,35
20,T21,T21,Mathias Grönberg,61,22.22,90,20
21,T21,T21,Vance Veazey,58,22.22,99,22
22,23,23,Ryan Moore,80,22.14,140,31
23,24,24,Brenden Pappas,66,22.12,104,23
24,25,25,Garth Mulroy,53,21.79,78,17
25,26,26,Jarrod Lyle,54,21.74,92,20
26,27,27,Aaron Baddeley,94,21.69,166,36
27,28,28,Steve Marino,81,21.58,139,30
28,29,29,Nick Watney,91,21.38,145,31
29,30,30,Brendon de Jonge,114,21.35,192,41
30,31,31,Derek Lamely,81,21.26,127,27
31,32,32,Troy Merritt,86,21.05,133,28
32,33,33,Jay Williamson,76,21.01,138,29
33,34,34,Scott Verplank,74,21.0,100,21
34,35,35,Steve Flesch,78,20.9,134,28
35,36,36,Martin Flores,75,20.86,139,29
36,37,37,Cameron Beckman,68,20.83,120,25
37,38,38,Skip Kendall,58,20.69,116,24
38,T39,T39,Ángel Cabrera,64,20.65,92,19
