,Putting_from_15-25_RANK THIS WEEK,Putting_from_15-25_RANK LAST WEEK,Putting_from_15-25_PLAYER NAME,Putting_from_15-25_ROUNDS,Putting_from_15-25_% MADE,Putting_from_15-25_ATTEMPTS,Putting_from_15-25_PUTTS MADE
0,1,1,Ben Crane,85,22.48,218,49
1,2,2,Ernie Els,72,21.76,170,37
2,3,3,Justin Rose,78,21.62,222,48
3,4,4,Tim Clark,88,21.36,220,47
4,5,5,Matt Bettencourt,91,21.03,233,49
5,6,6,Ian Poulter,55,20.75,106,22
6,7,7,Stephen Ames,75,20.24,247,50
7,8,8,Adam Scott,70,20.22,178,36
8,9,9,Charlie Wi,95,20.13,303,61
9,10,10,Bryce Molder,84,20.0,245,49
10,11,11,Matt Kuchar,97,19.92,256,51
11,12,12,Robert Allenby,76,19.51,205,40
12,13,13,Jason Day,82,19.38,258,50
13,14,14,Aaron Baddeley,94,19.37,284,55
14,15,15,Shaun Micheel,70,19.31,202,39
15,16,16,Michael Connell,89,19.19,271,52
16,17,17,Michael Sim,64,19.14,162,31
17,18,18,Matt Every,60,19.1,178,34
18,19,19,Tim Herron,79,19.02,205,39
19,20,20,Nathan Green,86,18.97,290,55
20,21,21,Chris Couch,66,18.87,212,40
21,22,22,Retief Goosen,75,18.85,191,36
22,23,23,Nick Watney,91,18.78,245,46
23,24,24,Brandt Snedeker,89,18.59,269,50
24,25,25,Derek Lamely,81,18.58,226,42
25,26,26,Scott McCarron,90,18.55,275,51
26,27,27,David Duval,71,18.5,227,42
27,28,28,Brad Faxon,58,18.45,168,31
28,T29,T29,Hunter Mahan,85,18.39,223,41
29,T29,T29,Vance Veazey,58,18.39,174,32
30,31,31,Greg Kraft,52,18.38,136,25
31,32,32,Rickie Fowler,98,18.37,294,54
32,33,33,Jonathan Byrd,85,18.35,278,51
33,34,34,Cameron Beckman,68,18.3,224,41
34,T35,T35,Zach Johnson,93,18.18,242,44
35,T35,T35,Chris Tidland,77,18.18,275,50
36,37,37,Aron Price,70,18.14,204,37
37,38,38,Rory Sabbatini,79,17.96,245,44
38,39,39,Kevin Na,94,17.9,257,46
39,40,40,Kevin Streelman,90,17.84,269,48
40,41,41,Greg Chalmers,93,17.69,294,52
41,42,42,Ryan Palmer,84,17.67,249,44
42,43,43,Brian Stuard,81,17.65,289,51
43,44,44,Joe Durant,67,17.57,222,39
44,T45,T45,Jason Bohn,84,17.56,262,46
45,T45,T45,Rory McIlroy,54,17.56,131,23
46,47,47,Tom Gillis,97,17.53,308,54
47,48,48,Geoff Ogilvy,62,17.51,177,31
48,49,49,Lee Janzen,77,17.49,263,46
49,50,50,Jeff Overton,89,17.43,241,42
50,51,51,Paul Goydos,78,17.39,230,40
51,52,52,Bo Van Pelt,104,17.33,277,48
52,53,53,Y.E. Yang,72,17.22,209,36
53,54,54,Chad Collins,87,17.2,250,43
54,55,55,Paul Casey,64,17.16,169,29
55,56,56,Garrett Willis,82,17.12,257,44
56,57,57,Matt Jones,89,17.11,263,45
57,58,58,Dean Wilson,54,16.98,159,27
58,59,59,Camilo Villegas,78,16.93,189,32
59,60,60,Robert Garrigus,71,16.9,213,36
60,61,61,David Toms,86,16.88,237,40
61,62,62,John Rollins,81,16.8,250,42
62,63,63,Cameron Tringale,55,16.77,155,26
63,64,64,Skip Kendall,58,16.76,185,31
64,65,65,Charles Warren,64,16.75,197,33
65,66,66,Graham DeLaet,88,16.67,276,46
66,67,67,Brendon de Jonge,114,16.62,337,56
67,68,68,Carl Pettersson,99,16.55,296,49
68,69,69,Steve Flesch,78,16.53,236,39
69,70,70,Ryuji Imada,90,16.49,291,48
70,71,71,James Driscoll,78,16.48,261,43
71,T72,T72,Ángel Cabrera,64,16.46,164,27
72,T72,T72,Trevor Immelman,55,16.46,164,27
73,74,74,Troy Merritt,86,16.41,256,42
74,75,75,Lucas Glover,75,16.36,220,36
75,76,76,Michael Letzig,84,16.33,294,48
76,77,77,Scott Verplank,74,16.3,184,30
77,78,78,Mark Wilson,87,16.2,284,46
78,79,79,Andres Romero,73,16.19,247,40
79,T80,T80,K.J. Choi,82,16.18,204,33
80,T80,T80,Davis Love III,79,16.18,241,39
81,82,82,Chris Stroud,90,16.17,266,43
82,83,83,Martin Flores,75,16.16,229,37
83,84,84,Jeff Quinney,91,16.03,312,50
84,85,85,Joe Ogilvie,99,16.0,300,48
