,Total_1_Putts_-_10-15_RANK THIS WEEK,Total_1_Putts_-_10-15_RANK LAST WEEK,Total_1_Putts_-_10-15_PLAYER NAME,Total_1_Putts_-_10-15_ROUNDS,Total_1_Putts_-_10-15_TOTAL,Total_1_Putts_-_10-15_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_10-15_PCT OF ALL 1-PUTTS
0,1,1,Tom Gillis,97,91,659,13.8
1,2,2,Webb Simpson,98,89,662,13.4
2,3,3,Bo Van Pelt,104,86,618,13.9
3,4,4,Charlie Wi,95,85,687,12.4
4,T5,T5,Woody Austin,93,83,573,14.5
5,T5,T5,Brian Davis,101,83,656,12.7
6,T7,T7,Greg Chalmers,93,80,661,12.1
7,T7,T7,Brian Gay,101,80,655,12.2
8,9,9,Charles Howell III,103,79,626,12.6
9,T10,T10,John Merrick,109,78,588,13.3
10,T10,T10,Carl Pettersson,99,78,628,12.4
11,T12,T12,Zach Johnson,93,77,567,13.6
12,T12,T12,Kevin Na,94,77,571,13.5
13,T12,T12,Ryan Palmer,84,77,522,14.8
14,15,15,Ryuji Imada,90,76,647,11.7
15,T16,T16,Tim Petrovic,105,75,636,11.8
16,T16,T16,Scott Piercy,88,75,559,13.4
17,18,18,Rickie Fowler,98,74,586,12.6
18,T19,T19,J.B. Holmes,100,73,648,11.3
19,T19,T19,James Nitties,92,73,578,12.6
20,T19,T19,Jimmy Walker,82,73,493,14.8
21,T22,T22,Stuart Appleby,101,72,627,11.5
22,T22,T22,Ricky Barnes,103,72,577,12.5
23,T22,T22,Joe Ogilvie,99,72,599,12.0
24,T25,T25,Aaron Baddeley,94,71,645,11.0
25,T25,T25,Justin Leonard,89,71,515,13.8
26,27,27,Brendon de Jonge,114,70,602,11.6
27,T28,T28,Spencer Levin,110,69,676,10.2
28,T28,T28,Troy Merritt,86,69,561,12.3
29,T28,T28,Johnson Wagner,85,69,500,13.8
30,T31,T31,Pat Perez,90,68,614,11.1
31,T31,T31,Jeff Quinney,91,68,598,11.4
32,T33,T33,Michael Connell,89,67,557,12.0
33,T33,T33,Brandt Snedeker,89,67,590,11.4
34,T33,T33,Kevin Streelman,90,67,562,11.9
35,T36,T36,Briny Baird,87,66,519,12.7
36,T36,T36,Jerry Kelly,99,66,532,12.4
37,T36,T36,Matt Kuchar,97,66,560,11.8
38,T36,T36,Michael Letzig,84,66,554,11.9
39,T40,T40,Chad Collins,87,65,565,11.5
40,T40,T40,Ben Crane,85,65,475,13.7
41,T40,T40,Brian Stuard,81,65,491,13.2
42,T43,T43,Stephen Ames,75,64,482,13.3
43,T43,T43,Bill Haas,87,64,501,12.8
44,T43,T43,J.P. Hayes,79,64,474,13.5
45,T43,T43,Bryce Molder,84,64,528,12.1
46,T43,T43,D.A. Points,90,64,508,12.6
47,T43,T43,Garrett Willis,82,64,467,13.7
48,T49,T49,Jeff Maggert,76,63,425,14.8
49,T49,T49,George McNeill,79,63,492,12.8
50,T49,T49,Josh Teater,101,63,604,10.4
51,T52,T52,Jason Bohn,84,62,512,12.1
52,T52,T52,Jonathan Byrd,85,62,547,11.3
53,T52,T52,Nathan Green,86,62,597,10.4
54,T52,T52,Charley Hoffman,85,62,565,11.0
55,T52,T52,Ted Purdy,86,62,500,12.4
56,T52,T52,Andres Romero,73,62,507,12.2
57,T52,T52,Heath Slocum,97,62,513,12.1
58,T59,T59,Tim Clark,88,61,500,12.2
59,T59,T59,Bob Estes,79,61,479,12.7
60,T59,T59,Jeff Overton,89,61,527,11.6
61,T59,T59,D.J. Trahan,92,61,528,11.6
62,T63,T63,Stewart Cink,84,60,464,12.9
63,T63,T63,Freddie Jacobson,83,60,557,10.8
64,T63,T63,John Mallinger,78,60,449,13.4
65,T63,T63,David Toms,86,60,519,11.6
66,T67,T67,Ben Curtis,78,59,439,13.4
67,T67,T67,J.J. Henry,92,59,508,11.6
68,T67,T67,Kevin Stadler,86,59,488,12.1
69,T70,T70,Robert Allenby,76,58,413,14.0
70,T70,T70,Steve Flesch,78,58,463,12.5
71,T70,T70,Marc Leishman,87,58,518,11.2
72,T70,T70,Scott McCarron,90,58,584,9.9
73,T70,T70,Geoff Ogilvy,62,58,363,16.0
74,T70,T70,Alex Prugh,88,58,536,10.8
75,T70,T70,Steve Stricker,73,58,412,14.1
76,T70,T70,Jay Williamson,76,58,397,14.6
77,T70,T70,Mark Wilson,87,58,511,11.4
78,T79,T79,Kris Blanks,91,57,442,12.9
