,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Dustin Johnson,83,26.03,196,753
1,2,2,Matt Kuchar,97,25.95,265,1021
2,3,3,Geoff Ogilvy,62,25.63,163,636
3,4,4,Phil Mickelson,76,25.46,165,648
4,5,5,Nick Watney,91,25.22,228,904
5,6,6,Paul Stankowski,62,25.14,183,728
6,7,7,Chris Couch,66,24.97,198,793
7,8,8,Steve Stricker,73,24.87,192,772
8,9,9,Charley Hoffman,85,24.83,251,1011
9,10,10,Paul Casey,64,24.82,141,568
10,11,11,Steve Marino,81,24.72,202,817
11,12,12,Tom Gillis,97,24.66,310,1257
12,13,13,Rory Sabbatini,79,24.56,207,843
13,T14,T14,Robert Allenby,76,24.27,200,824
14,T14,T14,Zach Johnson,93,24.27,256,1055
15,16,16,Charles Warren,64,24.18,178,736
16,17,17,Ryan Moore,80,24.1,200,830
17,18,18,Mike Weir,59,24.02,116,483
18,19,19,Lucas Glover,75,24.01,187,779
19,20,20,Aron Price,70,23.93,206,861
20,21,21,Scott Piercy,88,23.89,231,967
21,22,22,Matt Every,60,23.82,156,655
22,23,23,Bo Van Pelt,104,23.81,276,1159
23,T24,T24,Jeff Overton,89,23.74,203,855
24,T24,T24,Ryan Palmer,84,23.74,208,876
25,26,26,Pat Perez,90,23.7,269,1135
26,27,27,Kevin Na,94,23.62,243,1029
27,28,28,David Duval,71,23.57,165,700
28,T29,T29,Brendon de Jonge,114,23.56,294,1248
29,T29,T29,Freddie Jacobson,83,23.56,238,1010
30,31,31,Retief Goosen,75,23.44,169,721
31,32,32,Brandt Snedeker,89,23.43,238,1016
32,T33,T33,Stewart Cink,84,23.35,198,848
33,T33,T33,Ernie Els,72,23.35,159,681
34,35,35,D.J. Trahan,92,23.34,242,1037
35,36,36,Jason Bohn,84,23.31,241,1034
36,37,37,Vaughn Taylor,87,23.29,255,1095
37,38,38,John Daly,63,23.27,128,550
38,39,39,Graham DeLaet,88,23.24,234,1007
39,40,40,Ricky Barnes,103,23.0,244,1061
40,41,41,Jason Day,82,22.89,203,887
41,42,42,Bill Haas,87,22.87,233,1019
42,T43,T43,Robert Garrigus,71,22.86,168,735
43,T43,T43,Adam Scott,70,22.86,155,678
44,T45,T45,Matt Jones,89,22.84,227,994
45,T45,T45,Michael Letzig,84,22.84,243,1064
46,47,47,Jim Furyk,76,22.79,196,860
47,T48,T48,Ben Crane,85,22.76,211,927
48,T48,T48,Marc Leishman,87,22.76,201,883
49,50,50,Matt Bettencourt,91,22.73,195,858
50,51,51,Luke Donald,71,22.72,162,713
51,52,52,J.B. Holmes,100,22.7,239,1053
52,53,53,Shaun Micheel,70,22.66,160,706
53,T54,T54,Michael Connell,89,22.65,234,1033
54,T54,T54,Paul Goydos,78,22.65,212,936
55,56,56,J.P. Hayes,79,22.58,210,930
56,57,57,John Rollins,81,22.57,225,997
57,T58,T58,Mathias Grönberg,61,22.56,148,656
58,T58,T58,Tim Herron,79,22.56,192,851
59,T58,T58,Kevin Streelman,90,22.56,245,1086
60,61,61,Vijay Singh,75,22.55,166,736
61,62,62,Troy Merritt,86,22.53,221,981
62,63,63,Joe Ogilvie,99,22.52,247,1097
63,64,64,David Toms,86,22.5,225,1000
64,65,65,Jeff Quinney,91,22.44,256,1141
65,66,66,Carl Pettersson,99,22.36,248,1109
66,T67,T67,Alex Prugh,88,22.31,224,1004
67,T67,T67,Webb Simpson,98,22.31,268,1201
68,69,69,Spencer Levin,110,22.3,297,1332
69,70,70,K.J. Choi,82,22.25,186,836
70,71,71,Stephen Ames,75,22.2,212,955
71,72,72,Martin Flores,75,22.18,161,726
72,73,73,Jonathan Byrd,85,22.17,241,1087
73,T74,T74,Justin Rose,78,22.13,208,940
74,T74,T74,Y.E. Yang,72,22.13,166,750
75,T76,T76,Rich Barcelo,70,22.11,159,719
76,T76,T76,Hunter Mahan,85,22.11,197,891
77,T76,T76,Garrett Willis,82,22.11,220,995
78,T79,T79,James Driscoll,78,22.07,198,897
79,T79,T79,Justin Leonard,89,22.07,230,1042
80,81,81,James Nitties,92,22.05,243,1102
81,82,82,Greg Chalmers,93,22.04,244,1107
82,83,83,Chris Riley,73,22.01,193,877
83,84,84,Davis Love III,79,21.92,196,894
84,85,85,George McNeill,79,21.91,186,849
85,86,86,Cameron Percy,73,21.9,164,749
86,87,87,Kevin Stadler,86,21.88,207,946
87,88,88,Rickie Fowler,98,21.87,236,1079
88,T89,T89,Josh Teater,101,21.85,271,1240
89,T89,T89,Chris Tidland,77,21.85,196,897
90,91,91,John Senden,103,21.78,260,1194
91,92,92,Charlie Wi,95,21.76,265,1218
92,93,93,Woody Austin,93,21.74,245,1127
93,94,94,Joe Durant,67,21.6,184,852
94,95,95,Tim Clark,88,21.59,214,991
95,96,96,John Merrick,109,21.58,273,1265
96,97,97,Bryce Molder,84,21.48,212,987
97,T98,T98,Aaron Baddeley,94,21.44,229,1068
98,T98,T98,John Mallinger,78,21.44,199,928
99,100,100,Dean Wilson,54,21.36,141,660
100,101,101,Will MacKenzie,72,21.34,197,923
101,102,102,Andres Romero,73,21.3,187,878
102,103,103,Johnson Wagner,85,21.26,213,1002
103,104,104,Blake Adams,84,21.25,221,1040
104,105,105,Brenden Pappas,66,21.24,144,678
105,106,106,Henrik Bjornstad,72,21.22,170,801
106,107,107,Martin Laird,91,21.19,213,1005
107,108,108,Steve Wheatcroft,74,21.18,165,779
108,109,109,Kenny Perry,69,21.16,164,775
109,110,110,Camilo Villegas,78,21.13,153,724
110,111,111,Boo Weekley,88,21.12,212,1004
111,112,112,Chad Campbell,95,21.04,242,1150
112,113,113,Tim Petrovic,105,21.02,271,1289
113,114,114,Chris Stroud,90,21.01,204,971
114,T115,T115,Ryuji Imada,90,20.99,234,1115
115,T115,T115,Brett Wetterich,54,20.99,140,667
116,117,117,Greg Owen,69,20.96,171,816
117,118,118,Brad Faxon,58,20.93,131,626
118,119,119,Charles Howell III,103,20.89,229,1096
119,120,120,Chad Collins,87,20.86,208,997
120,121,121,Tom Pernice Jr.,74,20.85,167,801
121,122,122,Heath Slocum,97,20.84,218,1046
122,123,123,Stuart Appleby,101,20.83,236,1133
123,124,124,Brett Quigley,96,20.81,241,1158
124,T125,T125,Jerry Kelly,99,20.8,240,1154
125,T125,T125,Garth Mulroy,53,20.8,115,553
126,T125,T125,D.A. Points,90,20.8,218,1048
127,128,128,Padraig Harrington,57,20.77,113,544
128,T129,T129,Lee Janzen,77,20.72,189,912
129,T129,T129,Jimmy Walker,82,20.72,172,830
130,131,131,Bubba Watson,77,20.71,170,821
131,132,132,Steve Elkington,74,20.69,167,807
132,133,133,Brian Davis,101,20.67,253,1224
133,134,134,Michael Sim,64,20.66,145,702
134,135,135,Michael Bradley,77,20.65,184,891
135,136,136,Alex Cejka,81,20.64,199,964
136,T137,T137,Derek Lamely,81,20.58,162,787
137,T137,T137,Troy Matteson,84,20.58,207,1006
138,139,139,Mark Wilson,87,20.56,228,1109
139,140,140,Jeev Milkha Singh,59,20.55,142,691
140,141,141,Scott Verplank,74,20.54,160,779
141,142,142,Scott McCarron,90,20.53,234,1140
142,T143,T143,Mark Calcavecchia,50,20.52,87,424
143,T143,T143,Bob Estes,79,20.52,191,931
144,145,145,Kevin Sutherland,86,20.46,223,1090
145,146,146,Nicholas Thompson,88,20.37,207,1016
146,147,147,Rory McIlroy,54,20.35,104,511
147,148,148,Ángel Cabrera,64,20.31,118,581
148,149,149,Daniel Chopra,74,20.26,157,775
149,150,150,Brian Gay,101,20.23,246,1216
150,151,151,Ian Poulter,55,20.18,88,436
151,152,152,Jay Williamson,76,20.16,174,863
152,153,153,Cameron Beckman,68,20.15,158,784
153,154,154,Vance Veazey,58,20.13,125,621
154,155,155,Briny Baird,87,20.05,219,1092
155,156,156,Mathew Goggin,85,19.98,203,1016
156,157,157,Brian Stuard,81,19.96,194,972
157,158,158,Nathan Green,86,19.92,212,1064
158,159,159,Rocco Mediate,71,19.86,168,846
159,160,160,Jarrod Lyle,54,19.84,123,620
160,161,161,Jason Dufner,87,19.83,190,958
161,162,162,Kris Blanks,91,19.8,203,1025
162,163,163,Sergio Garcia,58,19.78,92,465
163,164,164,Chris DiMarco,88,19.76,216,1093
164,T165,T165,Ben Curtis,78,19.75,186,942
165,T165,T165,Richard Johnson,90,19.75,209,1058
166,167,167,Skip Kendall,58,19.74,139,704
167,168,168,Cameron Tringale,55,19.72,112,568
168,169,169,Steve Flesch,78,19.64,175,891
169,170,170,Sean O'Hair,84,19.6,167,852
170,171,171,Chris Wilson,65,19.48,128,657
171,172,172,J.J. Henry,92,19.46,209,1074
172,173,173,Jeff Maggert,76,19.33,167,864
173,174,174,Andrew McLardy,52,19.18,112,584
174,175,175,Jeff Gove,57,18.98,115,606
175,176,176,Steve Lowery,67,18.89,139,736
176,177,177,Billy Mayfair,78,18.78,173,921
177,178,178,Ted Purdy,86,18.69,180,963
178,T179,T179,Brent Delahoussaye,57,18.66,123,659
179,T179,T179,Jerod Turner,54,18.66,95,509
180,181,181,Roger Tambellini,77,18.62,154,827
181,T182,T182,Trevor Immelman,55,18.4,108,587
182,T182,T182,Roland Thatcher,72,18.4,161,875
183,184,184,Rod Pampling,77,18.38,173,941
184,185,185,Bill Lunde,79,18.11,161,889
185,186,186,Cliff Kresge,50,18.04,114,632
186,187,187,David Lutterus,69,17.95,126,702
187,188,188,Greg Kraft,52,17.94,94,524
188,189,189,Kevin Johnson,62,17.72,115,649
189,190,190,Omar Uresti,74,17.26,155,898
190,191,191,Craig Bowden,56,17.2,118,686
191,192,192,Justin Bolli,55,17.15,100,583
