,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
0,1,1,Paul Goydos,78,59
1,T2,T2,J.B. Holmes,100,60
2,T2,T2,Carl Pettersson,99,60
3,4,4,Kevin Na,94,61
4,T5,T5,Ricky Barnes,103,62
5,T5,T5,Graham DeLaet,88,62
6,T5,T5,Charles Howell III,103,62
7,T5,T5,Ryuji Imada,90,62
8,T5,T5,Freddie Jacobson,83,62
9,T5,T5,Martin Laird,91,62
10,T5,T5,Katsumasa Miyamoto,6,62
11,T5,T5,Bryce Molder,84,62
12,T13,T13,Woody Austin,93,63
13,T13,T13,Jason Bohn,84,63
14,T13,T13,Jonathan Byrd,85,63
15,T13,T13,Erik Compton,24,63
16,T13,T13,Brian Gay,101,63
17,T13,T13,Tom Gillis,97,63
18,T13,T13,J.J. Henry,92,63
19,T13,T13,Jerry Kelly,99,63
20,T13,T13,Matt Kuchar,97,63
21,T13,T13,Derek Lamely,81,63
22,T13,T13,Rory McIlroy,54,63
23,T13,T13,Rocco Mediate,71,63
24,T13,T13,Jeff Overton,89,63
25,T13,T13,Pat Perez,90,63
26,T13,T13,John Rollins,81,63
27,T13,T13,Rory Sabbatini,79,63
28,T13,T13,Webb Simpson,98,63
29,T13,T13,Kevin Streelman,90,63
30,T13,T13,Roland Thatcher,72,63
31,T13,T13,David Toms,86,63
32,T13,T13,Kirk Triplett,36,63
33,T13,T13,Charles Warren,64,63
34,T13,T13,Nick Watney,91,63
35,T36,T36,Blake Adams,84,64
36,T36,T36,Stephen Ames,75,64
37,T36,T36,Arjun Atwal,47,64
38,T36,T36,Briny Baird,87,64
39,T36,T36,K.J. Choi,82,64
40,T36,T36,Ben Crane,85,64
41,T36,T36,John Daly,63,64
42,T36,T36,Brian Davis,101,64
43,T36,T36,Jason Dufner,87,64
44,T36,T36,Ken Duke,16,64
45,T36,T36,Joe Durant,67,64
46,T36,T36,Bob Estes,79,64
47,T36,T36,Rickie Fowler,98,64
48,T36,T36,Mathew Goggin,85,64
49,T36,T36,Retief Goosen,75,64
50,T36,T36,Mark Hensby,39,64
51,T36,T36,Charley Hoffman,85,64
52,T36,T36,Dustin Johnson,83,64
53,T36,T36,Matt Jones,89,64
54,T36,T36,Skip Kendall,58,64
55,T36,T36,Cliff Kresge,50,64
56,T36,T36,Marc Leishman,87,64
57,T36,T36,Michael Letzig,84,64
58,T36,T36,Bill Lunde,79,64
