,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Steve Stricker,73,1.818,101.807,77.428,24.378,56
1,2,2,Retief Goosen,75,1.598,84.708,48.581,36.128,53
2,3,3,Jim Furyk,76,1.564,93.844,69.521,24.324,60
3,4,4,Luke Donald,71,1.493,79.146,32.801,46.346000000000004,53
4,5,5,Matt Kuchar,97,1.4609999999999999,109.552,62.058,47.492,75
5,6,6,Paul Casey,64,1.411,62.098,25.839000000000002,36.258,44
6,7,7,Ernie Els,72,1.3219999999999998,72.733,54.567,18.164,55
7,8,8,Justin Rose,78,1.195,83.677,66.643,17.031,70
8,9,9,Bo Van Pelt,104,1.192,103.73,94.919,8.809,87
9,10,10,Robert Allenby,76,1.156,70.505,61.855,8.646,61
10,11,11,Padraig Harrington,57,1.063,46.756,35.145,11.609000000000002,44
11,12,12,Phil Mickelson,76,1.001,57.07899999999999,65.598,-8.519,57
12,13,13,Charley Hoffman,85,0.995,76.61,68.472,8.138,77
13,14,14,K.J. Choi,82,0.9840000000000001,60.047,56.571999999999996,3.475,61
14,15,15,Dustin Johnson,83,0.9790000000000001,61.665,54.73,6.932,63
15,16,16,J.B. Holmes,100,0.9359999999999999,82.36,76.407,5.952999999999999,88
16,17,17,Bill Haas,87,0.9179999999999999,68.885,73.859,-4.976,75
17,18,18,Nick Watney,91,0.915,63.129,55.635,7.492000000000001,69
18,T19,T19,Ben Crane,85,0.862,56.913000000000004,39.196999999999996,17.712,66
19,T19,T19,Adam Scott,70,0.862,44.806000000000004,83.693,-38.883,52
20,21,21,Kevin Na,94,0.8540000000000001,64.89,27.499000000000002,37.389,76
21,22,22,Tim Clark,88,0.8320000000000001,56.586000000000006,38.330999999999996,18.255,68
22,23,23,Stewart Cink,84,0.8270000000000001,53.778999999999996,40.830999999999996,12.947000000000001,65
23,24,24,Rickie Fowler,98,0.7929999999999999,65.831,55.222,10.606,83
24,25,25,Zach Johnson,93,0.792,59.422,15.742,43.681000000000004,75
25,26,26,Charles Howell III,103,0.784,70.516,29.651999999999997,40.861,90
26,27,27,Brendon de Jonge,114,0.762,69.312,68.867,0.44299999999999995,91
27,28,28,Vijay Singh,75,0.753,42.931000000000004,85.134,-42.20399999999999,57
28,29,29,Jason Day,82,0.738,52.373999999999995,53.382,-1.008,71
29,30,30,Dean Wilson,54,0.736,34.606,-2.0580000000000003,36.666,47
30,31,31,Geoff Ogilvy,62,0.735,36.760999999999996,18.213,18.547,50
31,32,32,Freddie Jacobson,83,0.722,55.574,36.89,18.684,77
32,33,33,Rory McIlroy,54,0.7140000000000001,28.543000000000003,37.758,-9.214,40
33,34,34,Bubba Watson,77,0.695,46.58,51.611000000000004,-5.032,67
34,35,35,David Toms,86,0.693,48.52,30.342,18.174,70
35,36,36,Camilo Villegas,78,0.691,38.717,60.883,-22.166,56
36,37,37,Ryan Moore,80,0.687,41.888000000000005,23.473000000000003,18.414,61
37,38,38,Charlie Wi,95,0.679,60.446000000000005,10.7,49.745,89
38,39,39,Hunter Mahan,85,0.665,44.53,39.925,4.603,67
39,40,40,Chad Campbell,94,0.645,52.228,60.763000000000005,-8.535,81
40,41,41,Jeff Overton,89,0.63,44.733999999999995,15.745999999999999,28.988000000000003,71
41,42,42,Tom Gillis,97,0.616,55.451,23.529,31.921,90
42,43,43,Sean O'Hair,84,0.615,39.954,45.3,-5.347,65
43,44,44,John Senden,103,0.608,52.938,65.191,-12.255,87
44,45,45,Ricky Barnes,103,0.604,50.118,48.141000000000005,1.975,83
45,46,46,Heath Slocum,97,0.58,42.333,61.077,-18.744,73
46,T47,T47,Pat Perez,90,0.5720000000000001,47.48,16.045,31.43,83
47,T47,T47,Brandt Snedeker,89,0.5720000000000001,42.876000000000005,8.142000000000001,34.734,75
48,49,49,Steve Marino,81,0.5670000000000001,35.72,19.35,16.366,63
49,50,50,Spencer Levin,110,0.564,55.243,42.45399999999999,12.789000000000001,98
50,51,51,Paul Stankowski,62,0.561,29.748,12.34,17.409000000000002,53
51,52,52,Steve Elkington,74,0.557,32.861,13.333,19.528,59
52,53,53,Carl Pettersson,99,0.5539999999999999,46.016000000000005,-21.823,67.836,83
53,54,54,Stephen Ames,75,0.5529999999999999,38.141999999999996,12.824000000000002,25.319000000000003,69
54,55,55,Justin Leonard,89,0.539,38.84,25.651999999999997,13.187999999999999,72
55,56,56,Chris Riley,73,0.5379999999999999,33.896,22.103,11.79,63
56,57,57,Jonathan Byrd,85,0.524,42.989,40.301,2.685,82
57,58,58,Brian Gay,101,0.518,42.478,-17.275,59.751000000000005,82
58,59,59,Bryce Molder,84,0.507,37.016,2.4459999999999997,34.567,73
59,60,60,John Rollins,81,0.49700000000000005,37.264,53.217,-15.954,75
60,61,61,Matt Jones,89,0.495,39.598,-1.6340000000000001,41.231,80
61,62,62,D.J. Trahan,92,0.494,40.509,78.977,-38.469,82
62,63,63,Shaun Micheel,70,0.48700000000000004,25.826,13.280999999999999,12.545,53
63,64,64,Joe Durant,67,0.48100000000000004,27.414,44.148,-16.735,57
64,65,65,Kevin Sutherland,86,0.46799999999999997,36.486,43.541000000000004,-7.056,78
65,66,66,Jason Bohn,84,0.43,31.851999999999997,22.438000000000002,9.414,74
66,67,67,Marc Leishman,87,0.418,30.066,40.522,-10.459000000000001,72
67,68,68,Kenny Perry,69,0.401,22.462,36.113,-13.65,56
68,69,69,Graham DeLaet,88,0.396,30.104,57.138999999999996,-27.035999999999998,76
69,70,70,Vaughn Taylor,87,0.387,30.601999999999997,35.25,-4.647,79
70,T71,T71,J.J. Henry,92,0.36,28.471999999999998,11.116,17.355999999999998,79
71,T71,T71,Scott Verplank,74,0.36,20.178,18.070999999999998,2.103,56
72,73,73,Greg Chalmers,93,0.354,30.791999999999998,-36.907,67.7,87
73,74,74,Chris Couch,66,0.307,18.122,0.14400000000000002,17.975,59
74,75,75,Lucas Glover,75,0.297,17.535,24.568,-7.035,59
75,76,76,Ryan Palmer,84,0.294,20.868000000000002,-9.871,30.735,71
76,77,77,Ryuji Imada,90,0.28600000000000003,24.053,-22.256,46.306000000000004,84
77,78,78,Aron Price,70,0.259,16.039,14.962,1.077,62
78,T79,T79,Ángel Cabrera,64,0.249,12.699000000000002,20.422,-7.724,51
79,T79,T79,Tim Petrovic,105,0.249,23.384,23.971999999999998,-0.589,94
80,81,81,Michael Sim,64,0.235,12.429,-14.975,27.401999999999997,53
81,82,82,Ben Curtis,78,0.23399999999999999,15.444,0.28800000000000003,15.155999999999999,66
82,83,83,Chris Stroud,90,0.22899999999999998,16.487000000000002,12.142999999999999,4.343,72
83,84,84,Jerry Kelly,99,0.209,17.113,53.946999999999996,-36.836,82
84,85,85,Aaron Baddeley,94,0.20800000000000002,18.305999999999997,-25.897,44.202,88
85,86,86,Will MacKenzie,72,0.20199999999999999,13.705,43.778,-30.073,68
86,87,87,D.A. Points,90,0.19899999999999998,15.727,23.823,-8.099,79
87,88,88,Boo Weekley,88,0.183,13.538,41.29600000000001,-27.759,74
88,89,89,Davis Love III,79,0.17300000000000001,11.447000000000001,44.895,-33.449,66
89,T90,T90,Briny Baird,87,0.16899999999999998,13.349,14.880999999999998,-1.534,79
90,T90,T90,Webb Simpson,98,0.16899999999999998,15.505,-18.43,33.93,92
91,92,92,Y.E. Yang,72,0.166,9.64,-1.11,10.747,58
92,93,93,Rory Sabbatini,79,0.16,10.696,23.986,-13.290999999999999,67
93,94,94,Scott McCarron,90,0.155,12.888,-29.615,42.498999999999995,83
94,95,95,Martin Laird,91,0.145,11.45,35.372,-23.921,79
95,96,96,Chad Collins,87,0.14300000000000002,10.706,-36.242,46.945,75
96,97,97,Michael Connell,89,0.142,10.972000000000001,-15.036,26.006,77
97,98,98,Andres Romero,73,0.136,9.791,-8.513,18.303,72
98,T99,T99,Stuart Appleby,101,0.13,11.446,16.597,-5.15,88
99,T99,T99,Kevin Streelman,90,0.13,10.411,6.9079999999999995,3.502,80
100,101,101,Tom Pernice Jr.,74,0.121,7.001,16.458,-9.457,58
101,102,102,Jeev Milkha Singh,59,0.11800000000000001,6.159,8.602,-2.441,52
102,103,103,Charles Warren,64,0.109,6.021,28.65,-22.628,55
103,104,104,Brett Wetterich,54,0.107,5.67,12.179,-6.5089999999999995,53
104,105,105,Jimmy Walker,82,0.09300000000000001,6.542000000000001,-10.837,17.375999999999998,70
105,106,106,Alex Prugh,88,0.092,7.367000000000001,-8.946,16.31,80
106,107,107,Sergio Garcia,58,0.068,2.441,15.273,-12.832,36
107,108,108,Brett Quigley,96,0.065,5.737,-1.205,6.942,88
108,109,109,James Driscoll,78,0.055999999999999994,4.138999999999999,-18.852999999999998,22.989,74
109,110,110,Chris DiMarco,88,0.052000000000000005,4.09,8.965,-4.876,78
110,111,111,Woody Austin,93,0.034,2.847,7.778,-4.93,83
111,112,112,Michael Letzig,84,0.028999999999999998,2.3569999999999998,8.947000000000001,-6.593,80
112,113,113,George McNeill,79,0.027999999999999997,1.96,-20.715999999999998,22.673000000000002,70
113,114,114,Jarrod Lyle,54,0.027000000000000003,1.24,-0.85,2.09,46
114,115,115,John Merrick,109,0.019,1.716,13.214,-11.499,92
115,116,116,Mark Wilson,87,0.009000000000000001,0.735,-10.574000000000002,11.307,79
116,117,117,Jason Dufner,87,0.006,0.433,41.803000000000004,-41.373999999999995,69
117,T118,T118,Scott Piercy,88,-0.004,-0.337,-17.854,17.514,81
118,T118,T118,Chris Tidland,77,-0.004,-0.245,-16.239,15.99,68
119,120,120,J.P. Hayes,79,-0.035,-2.4,-3.843,1.439,68
120,121,121,Jeff Quinney,91,-0.039,-3.1010000000000004,-34.132,31.028000000000002,80
121,122,122,Bob Estes,79,-0.048,-3.42,-4.518,1.094,71
122,123,123,Garrett Willis,82,-0.053,-3.742,6.001,-9.745,71
123,T124,T124,Alex Cejka,81,-0.073,-4.957,26.9,-31.855999999999998,68
124,T124,T124,Matt Every,60,-0.073,-3.725,-15.818,12.093,51
125,126,126,Johnson Wagner,85,-0.095,-6.994,-11.865,4.87,74
126,127,127,Josh Teater,101,-0.109,-10.022,18.942,-28.965999999999998,92
127,128,128,Troy Matteson,84,-0.157,-12.245,22.424,-34.671,78
128,129,129,Kris Blanks,91,-0.161,-11.937999999999999,30.184,-42.123000000000005,74
129,130,130,Rocco Mediate,71,-0.16399999999999998,-10.006,23.087,-33.095,61
130,131,131,John Mallinger,78,-0.175,-11.392999999999999,-14.84,3.4419999999999997,65
131,132,132,Brian Davis,101,-0.18100000000000002,-16.089000000000002,5.955,-22.045,89
132,133,133,Lee Janzen,77,-0.19899999999999998,-13.905999999999999,7.087999999999999,-20.996,70
133,T134,T134,Kevin Stadler,86,-0.221,-15.902000000000001,3.952,-19.852999999999998,72
134,T134,T134,Jay Williamson,76,-0.221,-13.468,-4.037,-9.434,61
135,136,136,Tim Herron,79,-0.22699999999999998,-15.693,-27.566,11.870999999999999,69
136,137,137,Blake Adams,84,-0.233,-17.504,-32.384,14.879000000000001,75
137,138,138,Cameron Percy,73,-0.23600000000000002,-13.925,15.032,-28.959,59
138,139,139,Mike Weir,59,-0.24100000000000002,-9.636000000000001,-8.831,-0.8079999999999999,40
139,140,140,Joe Ogilvie,99,-0.249,-21.395,-29.034000000000002,7.636,86
140,141,141,Nathan Green,86,-0.254,-20.554000000000002,-47.916000000000004,27.359,81
141,142,142,James Nitties,92,-0.262,-21.248,-31.426,10.175,81
142,143,143,Robert Garrigus,71,-0.26899999999999996,-16.415,-5.502999999999999,-10.911,61
143,144,144,David Duval,71,-0.278,-15.585999999999999,-22.254,6.667999999999999,56
144,145,145,Mathias Grönberg,61,-0.28600000000000003,-14.304,-4.9510000000000005,-9.353,50
145,146,146,Richard Johnson,90,-0.293,-21.362,-35.48,14.115,73
146,147,147,Rod Pampling,77,-0.314,-21.980999999999998,-4.716,-17.267,70
147,148,148,Trevor Immelman,55,-0.324,-13.914000000000001,-17.255,3.339,43
148,149,149,Paul Goydos,78,-0.331,-21.877,-11.567,-10.312000000000001,66
