,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Brendon de Jonge,114,429
1,2,2,Spencer Levin,110,406
2,3,3,Bo Van Pelt,104,401
3,4,4,Tom Gillis,97,394
4,5,5,John Merrick,109,387
5,6,6,J.B. Holmes,100,381
6,7,7,Matt Kuchar,97,377
7,8,8,Ricky Barnes,103,372
8,9,9,Tim Petrovic,105,367
9,10,10,John Senden,103,366
10,11,11,Charles Howell III,103,364
11,12,12,Webb Simpson,98,361
12,13,13,Kevin Streelman,90,354
13,T14,T14,Aaron Baddeley,94,353
14,T14,T14,Rickie Fowler,98,353
15,T14,T14,Nick Watney,91,353
16,17,17,Pat Perez,90,351
17,T18,T18,Carl Pettersson,99,350
18,T18,T18,D.J. Trahan,92,350
19,20,20,Kevin Na,94,349
20,21,21,Josh Teater,101,347
21,22,22,Joe Ogilvie,99,346
22,23,23,Zach Johnson,93,345
23,24,24,Charlie Wi,95,343
24,25,25,Jeff Quinney,91,341
25,T26,T26,Graham DeLaet,88,340
26,T26,T26,Jerry Kelly,99,340
27,T26,T26,Brandt Snedeker,89,340
28,29,29,Heath Slocum,97,338
29,T30,T30,Charley Hoffman,85,336
30,T30,T30,Scott Piercy,88,336
31,T32,T32,Jeff Overton,89,335
32,T32,T32,Brett Quigley,96,335
33,34,34,Brian Gay,101,334
34,35,35,Stuart Appleby,101,333
35,36,36,James Nitties,92,332
36,37,37,Matt Jones,89,330
37,T38,T38,Brian Davis,101,329
38,T38,T38,Ryan Palmer,84,329
39,T40,T40,Greg Chalmers,93,328
40,T40,T40,Chris Stroud,90,328
41,T42,T42,Chad Campbell,94,326
42,T42,T42,Alex Prugh,88,326
43,T44,T44,Kevin Stadler,86,325
44,T44,T44,Vaughn Taylor,87,325
45,46,46,Woody Austin,93,324
46,T47,T47,Bill Haas,87,323
47,T47,T47,Dustin Johnson,83,323
48,T47,T47,Troy Merritt,86,323
49,T50,T50,Martin Laird,91,318
50,T50,T50,David Toms,86,318
51,T52,T52,Michael Connell,89,315
52,T52,T52,Ryuji Imada,90,315
53,T54,T54,Marc Leishman,87,313
54,T54,T54,Justin Leonard,89,313
55,56,56,D.A. Points,90,312
56,T57,T57,Jonathan Byrd,85,311
57,T57,T57,Ben Crane,85,311
58,T59,T59,Michael Letzig,84,308
59,T59,T59,Bryce Molder,84,308
60,T61,T61,Matt Bettencourt,91,307
61,T61,T61,Kris Blanks,91,307
62,63,63,Scott McCarron,90,306
63,T64,T64,Steve Marino,81,305
64,T64,T64,Nicholas Thompson,88,305
65,T66,T66,Jason Bohn,84,304
66,T66,T66,J.J. Henry,92,304
67,T66,T66,John Rollins,81,304
68,T66,T66,Rory Sabbatini,79,304
69,T70,T70,Chad Collins,87,303
70,T70,T70,Freddie Jacobson,83,303
71,T70,T70,Bubba Watson,77,303
72,T70,T70,Garrett Willis,82,303
73,74,74,Justin Rose,78,302
74,T75,T75,Jason Day,82,301
75,T75,T75,Johnson Wagner,85,301
76,77,77,Tim Clark,88,299
77,78,78,Jimmy Walker,82,298
78,T79,T79,K.J. Choi,82,297
79,T79,T79,Hunter Mahan,85,297
80,T81,T81,Phil Mickelson,76,296
81,T81,T81,Kevin Sutherland,86,296
82,T83,T83,Blake Adams,84,295
83,T83,T83,George McNeill,79,295
84,85,85,Boo Weekley,88,294
85,86,86,J.P. Hayes,79,293
86,T87,T87,Stewart Cink,84,292
87,T87,T87,Jason Dufner,87,292
88,T87,T87,Mark Wilson,87,292
89,90,90,Chris DiMarco,88,291
90,T91,T91,Richard Johnson,90,290
91,T91,T91,Ryan Moore,80,290
92,93,93,Paul Goydos,78,285
93,94,94,Ted Purdy,86,283
94,95,95,Briny Baird,87,282
95,96,96,Steve Stricker,73,280
96,97,97,Nathan Green,86,279
97,T98,T98,Davis Love III,79,277
98,T98,T98,Troy Matteson,84,277
99,100,100,Robert Allenby,76,276
100,T101,T101,Lucas Glover,75,275
101,T101,T101,Chris Tidland,77,275
102,103,103,Brian Stuard,81,274
103,T104,T104,James Driscoll,78,271
104,T104,T104,Martin Flores,75,271
105,T104,T104,Robert Garrigus,71,271
106,T104,T104,Mathew Goggin,85,271
107,108,108,Sean O'Hair,84,270
108,109,109,Jim Furyk,76,269
109,T110,T110,Tim Herron,79,268
110,T110,T110,Derek Lamely,81,268
111,T112,T112,Alex Cejka,81,266
112,T112,T112,Retief Goosen,75,266
113,T112,T112,John Mallinger,78,266
114,T115,T115,Chris Couch,66,265
115,T115,T115,Ernie Els,72,265
116,T115,T115,Vijay Singh,75,265
117,T118,T118,Henrik Bjornstad,72,264
118,T118,T118,Cameron Percy,73,264
