,Consecutive_Par_5_Birdies_RANK THIS WEEK,Consecutive_Par_5_Birdies_RANK LAST WEEK,Consecutive_Par_5_Birdies_PLAYER NAME,Consecutive_Par_5_Birdies_EVENTS,Consecutive_Par_5_Birdies_NUMBER OF HOLES
0,1,1,Steve Stricker,19,12
1,T2,T2,Chris Riley,24,11
2,T2,T2,Bubba Watson,22,11
3,T4,T4,Matt Every,18,10
4,T4,T4,Bill Haas,25,10
5,T6,T6,Mark Calcavecchia,16,9
6,T6,T6,Daniel Chopra,28,9
7,T6,T6,Graham DeLaet,28,9
8,T6,T6,Harrison Frazar,17,9
9,T6,T6,Billy Mayfair,26,9
10,T11,T11,Matt Bettencourt,32,8
11,T11,T11,Ángel Cabrera,19,8
12,T11,T11,Tim Clark,24,8
13,T11,T11,Michael Connell,25,8
14,T11,T11,Joe Durant,19,8
15,T11,T11,Ryuji Imada,28,8
16,T11,T11,Marc Leishman,26,8
17,T11,T11,Davis Love III,24,8
18,T11,T11,Tim Petrovic,32,8
19,T11,T11,Aron Price,22,8
20,T11,T11,Rory Sabbatini,26,8
21,T11,T11,Webb Simpson,31,8
22,T11,T11,Scott Verplank,22,8
23,T24,T24,Steve Allan,2,7
24,T24,T24,Aaron Baddeley,26,7
25,T24,T24,Craig Barlow,10,7
26,T24,T24,Ben Crane,24,7
27,T24,T24,Brendon de Jonge,32,7
28,T24,T24,Jason Dufner,25,7
29,T24,T24,Martin Flores,26,7
30,T24,T24,Rickie Fowler,28,7
31,T24,T24,Brian Gay,30,7
32,T24,T24,Retief Goosen,19,7
33,T24,T24,Paul Goydos,25,7
34,T24,T24,Nathan Green,27,7
35,T24,T24,J.P. Hayes,25,7
36,T24,T24,J.J. Henry,27,7
37,T24,T24,Billy Horschel,4,7
38,T24,T24,Charles Howell III,28,7
39,T24,T24,Matt Jones,27,7
40,T24,T24,Derek Lamely,28,7
41,T24,T24,Troy Matteson,28,7
42,T24,T24,John Merrick,31,7
43,T24,T24,Troy Merritt,29,7
44,T24,T24,Sean O'Hair,25,7
45,T24,T24,Geoff Ogilvy,19,7
46,T24,T24,Greg Owen,27,7
47,T24,T24,Kevin Stadler,28,7
48,T24,T24,Kevin Sutherland,25,7
49,T24,T24,Bo Van Pelt,28,7
50,T24,T24,Charles Warren,21,7
51,T52,T52,Woody Austin,29,6
52,T52,T52,Ricky Barnes,28,6
53,T52,T52,Henrik Bjornstad,26,6
54,T52,T52,Kris Blanks,30,6
55,T52,T52,Justin Bolli,23,6
56,T52,T52,Michael Bradley,24,6
57,T52,T52,Jonathan Byrd,26,6
58,T52,T52,K.J. Choi,22,6
59,T52,T52,Chad Collins,26,6
60,T52,T52,Chris Couch,23,6
61,T52,T52,Jason Day,24,6
62,T52,T52,Brent Delahoussaye,21,6
63,T52,T52,James Driscoll,26,6
64,T52,T52,David Duval,24,6
65,T52,T52,Ernie Els,20,6
66,T52,T52,Bob Estes,26,6
67,T52,T52,Carlos Franco,11,6
68,T52,T52,Sergio Garcia,15,6
69,T52,T52,Robert Garrigus,22,6
70,T52,T52,Tom Gillis,27,6
71,T52,T52,Padraig Harrington,18,6
72,T52,T52,Charley Hoffman,24,6
73,T52,T52,J.B. Holmes,26,6
74,T52,T52,Ryo Ishikawa,10,6
75,T52,T52,Freddie Jacobson,24,6
76,T52,T52,Lee Janzen,26,6
77,T52,T52,Richard Johnson,27,6
78,T52,T52,Dustin Johnson,23,6
79,T52,T52,Robert Karlsson,11,6
80,T52,T52,Anthony Kim,14,6
81,T52,T52,Matt Kuchar,26,6
82,T52,T52,Spencer Levin,31,6
83,T52,T52,Will MacKenzie,23,6
84,T52,T52,Hunter Mahan,25,6
85,T52,T52,John Mallinger,29,6
86,T52,T52,Phil Mickelson,20,6
87,T52,T52,Francesco Molinari,8,6
88,T52,T52,Ryan Moore,24,6
89,T52,T52,Garth Mulroy,19,6
90,T52,T52,James Nitties,30,6
