,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,T1,T1,Robert Karlsson,61,"6' 10""",1875.8329999999999,275
1,T1,T1,Steve Stricker,70,"6' 10""",1875.0829999999999,274
2,T3,T3,Woody Austin,59,"7' 0""",1859.5829999999999,265
3,T3,T3,Alex Cejka,59,"7' 0""",1691.8329999999999,243
4,T5,T5,Ernie Els,71,"7' 1""",1899.25,267
5,T5,T5,Kevin Na,84,"7' 1""",2908.917,409
6,7,7,Brian Gay,90,"7' 2""",2975.25,414
7,T8,T8,Billy Mayfair,94,"7' 3""",3126.667,430
8,T8,T8,Chris Riley,76,"7' 3""",2780.417,383
9,T10,T10,Ian Poulter,52,"7' 4""",1495.9170000000001,205
10,T10,T10,Mark Wilson,89,"7' 4""",2681.417,367
11,T12,T12,Shane Bertsch,62,"7' 5""",2077.083,281
12,T12,T12,Charles Howell III,108,"7' 5""",3302.833,443
13,T14,T14,Sergio Garcia,61,"7' 6""",1758.3329999999999,235
14,T14,T14,Matt Kuchar,94,"7' 6""",2833.417,377
15,T14,T14,Webb Simpson,98,"7' 6""",2932.75,391
16,T17,T17,Ben Curtis,66,"7' 7""",2572.667,340
17,T17,T17,Luke Donald,73,"7' 7""",1955.3329999999999,259
18,T17,T17,Steve Elkington,50,"7' 7""",1782.5,235
19,T17,T17,Chris Kirk,87,"7' 7""",2987.25,395
20,T17,T17,Nick O'Hern,89,"7' 7""",3066.083,404
21,T17,T17,Ryan Palmer,82,"7' 7""",2527.5,335
22,T17,T17,Rod Pampling,72,"7' 7""",2490.25,327
23,T24,T24,Chad Campbell,99,"7' 8""",2860.167,372
24,T24,T24,Jason Day,76,"7' 8""",2455.167,320
25,T24,T24,Justin Leonard,82,"7' 8""",2984.333,389
26,T24,T24,Dean Wilson,62,"7' 8""",2571.75,335
27,T28,T28,Jason Dufner,78,"7' 9""",2695.167,349
28,T28,T28,Scott Gutschewski,67,"7' 9""",2449.333,317
29,T28,T28,Spencer Levin,113,"7' 9""",3682.25,474
30,T28,T28,Geoff Ogilvy,69,"7' 9""",2420.833,314
31,T28,T28,John Rollins,85,"7' 9""",2662.667,343
32,T33,T33,Chris DiMarco,93,"7' 10""",3492.0,447
33,T33,T33,Zach Johnson,79,"7' 10""",2667.333,341
34,T33,T33,Davis Love III,70,"7' 10""",2038.4170000000001,260
35,T33,T33,Shaun Micheel,77,"7' 10""",2846.25,363
36,T33,T33,Bryce Molder,82,"7' 10""",3056.833,391
37,T33,T33,Paul Stankowski,78,"7' 10""",2648.917,339
38,T33,T33,David Toms,78,"7' 10""",2175.417,278
39,T40,T40,Ricky Barnes,78,"7' 11""",2514.0,318
40,T40,T40,Jim Furyk,87,"7' 11""",2665.0,338
41,T40,T40,Padraig Harrington,60,"7' 11""",1932.4170000000001,245
42,T40,T40,Trevor Immelman,84,"7' 11""",2468.083,313
43,T44,T44,K.J. Choi,77,"8' 0""",2524.917,315
44,T44,T44,Brendon de Jonge,105,"8' 0""",3965.333,498
45,T44,T44,D.A. Points,89,"8' 0""",3431.667,429
46,T44,T44,Justin Rose,79,"8' 0""",2386.167,298
47,T44,T44,D.J. Trahan,91,"8' 0""",3296.583,411
48,T44,T44,Bo Van Pelt,92,"8' 0""",2925.75,364
49,T50,T50,Stuart Appleby,65,"8' 1""",2815.667,348
50,T50,T50,Michael Bradley,74,"8' 1""",2300.833,285
51,T50,T50,Martin Laird,77,"8' 1""",2630.25,324
52,T50,T50,Marc Leishman,87,"8' 1""",3465.25,427
53,T50,T50,Ryan Moore,79,"8' 1""",2731.833,339
54,T50,T50,Rory Sabbatini,85,"8' 1""",2665.0,329
55,T50,T50,Vijay Singh,79,"8' 1""",3094.333,384
56,T50,T50,Jimmy Walker,79,"8' 1""",3460.0,428
57,T58,T58,Greg Chalmers,88,"8' 2""",3965.25,486
58,T58,T58,Lee Janzen,62,"8' 2""",2338.167,286
59,T58,T58,William McGirt,103,"8' 2""",3731.75,457
60,T58,T58,Sean O'Hair,71,"8' 2""",2692.083,329
61,T58,T58,Charl Schwartzel,58,"8' 2""",1795.0829999999999,220
62,T63,T63,J.P. Hayes,56,"8' 3""",2435.583,295
63,T63,T63,Charley Hoffman,93,"8' 3""",3149.917,382
64,T63,T63,Tim Petrovic,88,"8' 3""",3840.0,465
65,T63,T63,Carl Pettersson,95,"8' 3""",3886.333,470
66,T63,T63,Vaughn Taylor,89,"8' 3""",3565.25,431
67,T63,T63,Garrett Willis,71,"8' 3""",2943.75,358
68,T63,T63,Y.E. Yang,63,"8' 3""",1991.4170000000001,242
69,T70,T70,Jonathan Byrd,83,"8' 4""",3048.75,365
70,T70,T70,Ryuji Imada,83,"8' 4""",3715.333,445
