,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Paul Stankowski,78,67.14,47,70
1,2,2,Greg Chalmers,88,66.67,82,123
2,3,3,Retief Goosen,50,65.12,28,43
3,4,4,Michael Putnam,67,63.75,51,80
4,5,5,Luke Donald,73,62.86,44,70
5,6,6,Bryce Molder,82,62.6,77,123
6,7,7,Jason Day,76,62.5,60,96
7,8,8,Brian Gay,90,61.67,74,120
8,9,9,Matt Kuchar,94,61.54,64,104
9,10,10,Tom Gillis,55,61.4,35,57
10,11,11,Woody Austin,59,61.11,33,54
11,12,12,Kevin Chappell,78,60.76,48,79
12,T13,T13,Hunter Haas,96,60.55,66,109
13,T13,T13,Mark Wilson,89,60.55,66,109
14,15,15,David Hearn,88,60.32,38,63
15,16,16,Justin Rose,79,60.0,54,90
16,17,17,Shaun Micheel,77,59.6,59,99
17,18,18,Adam Scott,60,59.38,38,64
18,19,19,Chris Riley,76,59.3,51,86
19,20,20,David Toms,78,59.04,49,83
20,21,21,William McGirt,103,58.88,63,107
21,22,22,Kevin Na,84,58.76,57,97
22,23,23,Robert Karlsson,61,58.73,37,63
23,24,24,Jim Furyk,87,58.54,48,82
24,25,25,Steve Stricker,70,58.33,49,84
25,26,26,Stewart Cink,72,58.23,46,79
26,27,27,Marc Leishman,87,58.16,57,98
27,T28,T28,Geoff Ogilvy,69,58.02,47,81
28,T28,T28,Rod Pampling,72,58.02,47,81
29,30,30,Ian Poulter,52,58.0,29,50
30,31,31,Carl Pettersson,95,57.58,57,99
31,32,32,Ben Curtis,66,57.53,42,73
32,33,33,Jason Dufner,78,57.45,54,94
33,34,34,Bill Lunde,92,57.3,51,89
34,35,35,Jerry Kelly,85,57.14,60,105
35,36,36,Pat Perez,76,56.99,53,93
36,37,37,Sergio Garcia,61,56.9,33,58
37,38,38,Nick Watney,80,56.76,42,74
38,39,39,Aaron Baddeley,77,56.73,59,104
39,40,40,D.J. Brigman,67,56.52,39,69
40,41,41,Michael Thompson,79,56.25,36,64
41,42,42,Phil Mickelson,79,56.18,50,89
42,43,43,Freddie Jacobson,92,56.14,64,114
43,44,44,Robert Allenby,84,56.12,55,98
44,T45,T45,Brandt Jobe,100,56.0,56,100
45,T45,T45,Zach Johnson,79,56.0,56,100
46,47,47,Vijay Singh,79,55.77,58,104
47,T48,T48,Joe Ogilvie,75,55.56,45,81
48,T48,T48,Bo Van Pelt,92,55.56,50,90
49,50,50,Anthony Kim,72,55.29,47,85
50,51,51,Charles Howell III,108,55.24,58,105
51,T52,T52,Brian Davis,105,55.0,77,140
52,T52,T52,Scott Gutschewski,67,55.0,44,80
53,54,54,Zack Miller,86,54.9,56,102
54,T55,T55,Jason Bohn,74,54.55,36,66
55,T55,T55,K.J. Choi,77,54.55,48,88
56,57,57,Chris Kirk,87,54.24,64,118
57,58,58,Arjun Atwal,91,53.91,69,128
58,59,59,D.J. Trahan,91,53.76,50,93
59,60,60,Ryan Palmer,82,53.62,37,69
60,61,61,Chris Couch,73,53.54,53,99
61,62,62,D.A. Points,89,53.51,61,114
62,63,63,Billy Mayfair,94,53.47,54,101
63,64,64,Steve Flesch,88,53.17,67,126
64,65,65,Roland Thatcher,67,53.16,42,79
65,T66,T66,Rory Sabbatini,85,53.13,51,96
66,T66,T66,Charlie Wi,83,53.13,68,128
67,68,68,Jonathan Byrd,83,53.06,52,98
68,69,69,Ryuji Imada,83,52.59,61,116
69,70,70,Trevor Immelman,84,52.5,42,80
70,71,71,Lee Janzen,62,52.46,32,61
71,T72,T72,Nathan Green,81,52.0,52,100
72,T72,T72,Matt Jones,71,52.0,52,100
73,T72,T72,Graeme McDowell,50,52.0,26,50
74,75,75,Alex Cejka,59,51.95,40,77
75,T76,T76,Justin Leonard,82,51.81,43,83
76,T76,T76,Nate Smith,66,51.81,43,83
77,78,78,Charley Hoffman,93,51.65,47,91
78,79,79,Dean Wilson,62,51.56,33,64
79,80,80,Y.E. Yang,63,51.43,36,70
80,81,81,Brendan Steele,89,51.35,57,111
81,T82,T82,Hunter Mahan,92,51.28,60,117
82,T82,T82,Jimmy Walker,79,51.28,60,117
83,84,84,Stuart Appleby,65,51.25,41,80
84,85,85,Shane Bertsch,62,50.77,33,65
85,86,86,Martin Laird,77,50.65,39,77
86,87,87,Stephen Ames,69,50.57,44,87
87,88,88,Chris DiMarco,93,50.49,52,103
88,89,89,Spencer Levin,113,50.42,60,119
89,90,90,Brendon de Jonge,105,50.41,61,121
90,T91,T91,Cameron Beckman,71,50.0,41,82
91,T91,T91,Billy Horschel,75,50.0,36,72
92,T91,T91,Matt McQuillan,59,50.0,31,62
93,T91,T91,Kevin Streelman,90,50.0,43,86
94,T91,T91,Boo Weekley,66,50.0,25,50
95,96,96,Tommy Gainey,104,49.53,53,107
96,T97,T97,David Mathis,83,49.52,52,105
97,T97,T97,Daniel Summerhays,75,49.52,52,105
98,T99,T99,George McNeill,69,49.28,34,69
99,T99,T99,Heath Slocum,89,49.28,34,69
100,101,101,Sean O'Hair,71,49.23,32,65
101,102,102,J.B. Holmes,57,49.09,27,55
102,103,103,Jeff Overton,92,48.94,46,94
103,104,104,James Driscoll,71,48.53,33,68
104,105,105,Cameron Tringale,110,48.09,63,131
105,106,106,Andres Romero,77,48.0,48,100
106,107,107,Matt Bettencourt,84,47.41,55,116
107,108,108,Vaughn Taylor,89,47.37,45,95
108,109,109,Padraig Harrington,60,47.27,26,55
109,T110,T110,Michael Connell,76,47.25,43,91
110,T110,T110,Webb Simpson,98,47.25,43,91
111,112,112,Chris Stroud,88,47.19,42,89
112,113,113,Ryan Moore,79,47.14,33,70
113,114,114,Jarrod Lyle,83,47.12,49,104
114,T115,T115,Troy Merritt,63,47.06,24,51
115,T115,T115,Brandt Snedeker,85,47.06,48,102
116,117,117,Tim Petrovic,88,46.96,54,115
117,118,118,Rickie Fowler,84,46.94,46,98
118,119,119,Joe Durant,71,46.91,38,81
119,120,120,Bio Kim,71,46.88,45,96
120,121,121,Aron Price,58,46.81,22,47
121,122,122,Briny Baird,60,46.51,20,43
122,123,123,Gary Woodland,93,46.48,33,71
123,124,124,J.P. Hayes,56,46.15,36,78
124,125,125,Nick O'Hern,89,45.92,45,98
125,126,126,Derek Lamely,65,45.76,27,59
126,127,127,Josh Teater,104,45.71,48,105
127,128,128,Camilo Villegas,69,45.65,42,92
128,129,129,Tag Ridings,87,45.59,31,68
129,T130,T130,Keegan Bradley,91,45.54,46,101
130,T130,T130,Johnson Wagner,81,45.54,46,101
131,132,132,Joseph Bramlett,73,45.45,30,66
132,133,133,Blake Adams,116,45.39,69,152
133,T134,T134,Steve Elkington,50,45.31,29,64
134,T134,T134,Harrison Frazar,58,45.31,29,64
135,136,136,Steve Marino,76,44.94,40,89
136,137,137,John Merrick,71,44.64,25,56
137,138,138,Martin Piller,63,44.59,33,74
138,139,139,Steven Bowditch,86,44.55,45,101
139,140,140,John Rollins,85,44.44,36,81
140,141,141,Scott McCarron,65,44.19,38,86
141,T142,T142,Will Strickler,51,44.0,22,50
142,T142,T142,Marc Turnesa,54,44.0,22,50
143,144,144,Kris Blanks,92,43.93,47,107
144,T145,T145,Ricky Barnes,78,43.9,36,82
145,T145,T145,Scott Piercy,78,43.9,36,82
146,147,147,Charl Schwartzel,58,43.64,24,55
147,148,148,David Duval,67,43.48,30,69
148,149,149,Chez Reavie,92,43.4,46,106
149,150,150,Davis Love III,70,43.24,32,74
150,151,151,Troy Matteson,91,43.18,38,88
151,152,152,Kent Jones,76,43.16,41,95
152,153,153,Lucas Glover,74,43.01,40,93
153,154,154,Bill Haas,93,43.0,43,100
154,155,155,Kevin Kisner,70,42.53,37,87
155,156,156,Paul Goydos,81,42.45,45,106
156,157,157,Kyle Stanley,98,42.39,39,92
157,158,158,Ben Crane,76,42.25,30,71
158,T159,T159,Colt Knost,80,40.91,36,88
159,T159,T159,Jim Renner,65,40.91,18,44
160,161,161,Fabián Gómez,84,40.4,40,99
161,162,162,Chad Campbell,99,40.22,37,92
162,163,163,Jhonattan Vegas,84,40.2,41,102
163,T164,T164,Ernie Els,71,40.0,32,80
164,T164,T164,J.J. Henry,96,40.0,28,70
165,T164,T164,Garrett Willis,71,40.0,32,80
166,167,167,Robert Garrigus,83,39.8,39,98
167,168,168,Tim Herron,85,39.78,37,93
168,169,169,Bobby Gates,82,39.56,36,91
169,170,170,Andres Gonzales,60,39.13,18,46
170,171,171,Sung Kang,63,39.02,16,41
171,172,172,Rich Beem,53,38.89,21,54
172,173,173,John Senden,94,38.78,38,98
173,174,174,Ben Martin,74,38.75,31,80
174,175,175,Richard Johnson,64,38.67,29,75
175,176,176,Rocco Mediate,53,38.16,29,76
176,T177,T177,Alex Prugh,82,37.5,36,96
177,T177,T177,Kevin Stadler,88,37.5,27,72
178,179,179,Dustin Johnson,72,37.18,29,78
179,180,180,Ángel Cabrera,50,37.04,20,54
180,181,181,Alexandre Rocha,65,36.96,17,46
181,182,182,Justin Hicks,60,36.54,19,52
182,183,183,Scott Stallings,84,35.9,28,78
183,184,184,Bubba Watson,85,33.78,25,74
184,185,185,Michael Bradley,74,31.94,23,72
185,186,186,Jim Herman,69,30.36,17,56
