,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,David Toms,23,"17' 0""",3925.083,231
1,2,2,Nick O'Hern,29,"18' 4""",5164.333,282
2,3,3,Rocco Mediate,23,"18' 9""",3614.5,193
3,4,4,Ben Curtis,23,"19' 2""",4398.5,229
4,5,5,Tom Gillis,19,"19' 9""",4638.417,235
5,6,6,Heath Slocum,29,"19' 10""",5010.583,253
6,7,7,Boo Weekley,23,"20' 1""",4928.417,245
7,T8,T8,Joe Durant,25,"20' 3""",4238.417,209
8,T8,T8,Brandt Snedeker,26,"20' 3""",6288.1669999999995,310
9,10,10,Jerry Kelly,26,"20' 4""",4964.25,244
10,11,11,Jason Dufner,23,"20' 8""",6233.1669999999995,302
11,12,12,Paul Goydos,25,"21' 0""",6413.4169999999995,305
12,13,13,Zach Johnson,23,"21' 2""",5081.083,240
13,14,14,Chez Reavie,27,"21' 4""",7695.3330000000005,361
14,T15,T15,Graeme McDowell,16,"21' 6""",3312.75,154
15,T15,T15,Johnson Wagner,25,"21' 6""",6532.0,304
16,17,17,Garrett Willis,24,"21' 8""",5820.4169999999995,269
17,18,18,Aron Price,18,"21' 11""",4294.5,196
18,T19,T19,John Merrick,21,"22' 0""",5763.6669999999995,262
19,T19,T19,Chris Riley,25,"22' 0""",5906.1669999999995,268
20,T21,T21,Spencer Levin,31,"22' 1""",9791.333,443
21,T21,T21,Hunter Mahan,25,"22' 1""",7696.8330000000005,348
22,T23,T23,Shane Bertsch,20,"22' 2""",4918.0,222
23,T23,T23,Matt Kuchar,24,"22' 2""",7473.0,337
24,T23,T23,Mark Wilson,26,"22' 2""",6597.5830000000005,298
25,26,26,Pat Perez,24,"22' 3""",7437.5,334
26,27,27,Brian Gay,26,"22' 4""",6261.8330000000005,280
27,28,28,J.P. Hayes,19,"22' 5""",5158.0,230
28,29,29,Justin Hicks,23,"22' 6""",4066.167,181
29,T30,T30,Justin Leonard,26,"22' 7""",7520.25,333
30,T30,T30,Rod Pampling,21,"22' 7""",5979.3330000000005,265
31,32,32,David Hearn,26,"22' 11""",8486.5,370
32,T33,T33,Blake Adams,34,"23' 0""",10776.0,468
33,T33,T33,Colt Knost,27,"23' 0""",7005.5,305
