,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Dustin Johnson,72,463,Deutsche Bank Championship,4,7,700
1,2,2,Derek Lamely,65,419,The Greenbrier Classic,2,7,771
2,T3,T3,Bubba Watson,85,415,World Golf Championships-Bridgestone Invitational,3,16,36
3,T3,T3,J.B. Holmes,57,415,Valero Texas Open,2,10,770
4,5,5,Gary Woodland,93,409,HP Byron Nelson Championship,3,1,19
5,6,6,Chris Couch,73,408,Arnold Palmer Invitational presented by MasterCard,1,5,9
6,7,7,Jason Schmuhl,5,405,Reno-Tahoe Open,1,18,660
7,8,8,Steve Flesch,88,404,The Greenbrier Classic,3,7,771
8,9,6,Chris Couch,73,400,John Deere Classic,1,14,669
9,10,10,James Driscoll,71,399,Reno-Tahoe Open,1,5,660
10,11,T3,Bubba Watson,85,398,Bob Hope Classic,2,6,202
11,12,T3,Bubba Watson,85,397,Hyundai Tournament of Champions,2,7,656
12,13,13,Chris Tidland,30,395,Reno-Tahoe Open,1,18,660
13,14,14,Robert Garrigus,83,394,Hyundai Tournament of Champions,2,18,656
14,15,15,Scott Smith,2,393,Reno-Tahoe Open,1,18,660
15,T16,14,Robert Garrigus,83,392,Hyundai Tournament of Champions,2,17,656
16,T16,T3,Bubba Watson,85,392,Hyundai Tournament of Champions,1,17,656
17,T16,1,Dustin Johnson,72,392,World Golf Championships-Bridgestone Invitational,4,16,36
18,T19,T19,D.J. Trahan,91,391,Arnold Palmer Invitational presented by MasterCard,2,5,9
19,T19,T19,Alvaro Quiros,25,391,World Golf Championships-Bridgestone Invitational,4,16,36
20,T19,T19,Josh Teater,104,391,Reno-Tahoe Open,4,8,660
21,T22,14,Robert Garrigus,83,390,the Memorial Tournament presented by Nationwide Insurance,3,17,23
22,T22,T22,Kyle Stanley,98,390,John Deere Classic,4,10,669
23,T22,T22,Zack Miller,86,390,the Memorial Tournament presented by Nationwide Insurance,3,17,23
24,T25,T25,Ángel Cabrera,50,389,the Memorial Tournament presented by Nationwide Insurance,3,17,23
25,T25,T3,Bubba Watson,85,389,World Golf Championships-Bridgestone Invitational,3,13,36
26,T25,T25,David Hearn,88,389,Reno-Tahoe Open,1,18,660
27,T25,2,Derek Lamely,65,389,Hyundai Tournament of Champions,1,17,656
28,T29,T29,Justin Leonard,82,388,Valero Texas Open,2,10,770
