,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Webb Simpson,98,1.492,0.47600000000000003,0.755,0.261,83
1,2,2,Luke Donald,73,1.4080000000000001,0.04,1.094,0.273,52
2,3,3,Phil Mickelson,79,1.3730000000000002,0.14,0.9,0.33299999999999996,58
3,4,4,Kyle Stanley,98,1.171,0.516,0.515,0.139,80
4,5,5,Nick Watney,80,1.165,0.5429999999999999,0.604,0.018000000000000002,62
5,6,6,Matt Kuchar,94,1.161,0.304,0.698,0.158,71
6,7,7,Gary Woodland,93,1.157,0.742,0.38,0.035,70
7,8,8,Dustin Johnson,72,1.125,0.912,0.195,0.019,54
8,9,9,Rory Sabbatini,85,1.122,0.218,0.657,0.248,61
9,10,10,Sergio Garcia,61,1.103,0.528,0.312,0.263,45
10,11,11,Bo Van Pelt,92,1.034,0.586,0.344,0.10400000000000001,71
11,12,12,Robert Allenby,84,0.991,0.462,0.494,0.035,70
12,13,13,D.J. Trahan,91,0.9840000000000001,0.565,0.405,0.015,83
13,14,14,Steve Stricker,70,0.95,0.047,0.5379999999999999,0.364,53
14,15,15,Justin Rose,79,0.937,0.18600000000000003,0.508,0.243,63
15,16,16,Chad Campbell,99,0.932,0.08199999999999999,0.987,-0.13699999999999998,87
16,17,17,K.J. Choi,77,0.915,-0.07,0.6890000000000001,0.29600000000000004,58
17,18,18,J.B. Holmes,57,0.912,0.726,0.38799999999999996,-0.20199999999999999,47
18,19,19,Charl Schwartzel,58,0.898,0.49,0.287,0.121,40
19,20,20,Adam Scott,60,0.882,0.7929999999999999,0.102,-0.013000000000000001,45
20,21,21,Ernie Els,71,0.865,0.121,0.635,0.109,59
21,22,22,Charles Howell III,108,0.86,0.168,0.33299999999999996,0.358,91
22,23,23,David Toms,78,0.836,0.166,0.669,0.001,59
23,24,24,Martin Laird,77,0.835,0.499,0.23399999999999999,0.10300000000000001,62
24,25,25,Jason Dufner,78,0.833,0.515,0.248,0.069,65
