,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Luke Donald,14,132.548,1855.6670000000001
1,2,2,Steve Stricker,15,124.366,1865.489
2,3,3,Nick Watney,17,112.11,1905.87
3,4,4,Adam Scott,14,95.14299999999999,1332.0
4,5,5,John Cook,1,95.0,95.0
5,6,6,Phil Mickelson,17,94.191,1601.249
6,7,7,Webb Simpson,20,93.071,1861.4160000000002
7,8,8,Charl Schwartzel,13,91.155,1185.016
8,9,9,K.J. Choi,18,88.948,1601.0629999999999
9,10,10,Bubba Watson,18,87.583,1576.5
10,11,11,David Toms,18,85.431,1537.75
11,12,12,Jason Day,17,76.946,1308.083
12,13,13,Tim Clark,4,74.625,298.5
13,14,14,Matt Kuchar,19,74.044,1406.8429999999998
14,15,15,Gary Woodland,20,73.31,1466.203
15,16,16,Dustin Johnson,17,70.059,1191.0
16,17,17,Mark Wilson,21,69.57,1460.973
17,18,18,Keegan Bradley,24,67.533,1620.7839999999999
18,19,19,Aaron Baddeley,18,65.62,1181.167
19,20,20,Martin Laird,19,64.95100000000001,1234.06
20,21,21,Jason Dufner,19,60.175,1143.333
21,22,22,Freddie Jacobson,21,58.803000000000004,1234.867
22,23,23,Rory Sabbatini,20,58.739,1174.779
23,24,24,Brandt Snedeker,21,58.443999999999996,1227.333
24,25,25,Jonathan Byrd,20,58.245,1164.9
25,26,26,Bill Haas,22,57.849,1272.675
26,27,27,Y.E. Yang,14,57.107,799.4939999999999
27,28,28,Hunter Mahan,21,56.482,1186.126
28,29,29,Robert Karlsson,15,52.615,789.23
29,30,30,Rickie Fowler,20,51.908,1038.15
30,31,31,Sergio Garcia,13,50.916000000000004,661.905
31,32,32,Zach Johnson,19,50.629,961.953
32,33,33,D.A. Points,21,50.214,1054.5
33,34,34,Ryan Moore,18,49.06100000000001,883.097
34,35,35,Charles Howell III,24,47.37,1136.88
35,36,36,Steve Marino,20,46.728,934.563
36,37,37,George McNeill,15,46.255,693.82
37,38,38,Lucas Glover,19,46.053000000000004,875.0
38,39,39,Scott Verplank,13,45.263000000000005,588.4169999999999
39,40,40,Vijay Singh,20,45.157,903.143
40,41,41,Ryan Palmer,20,45.085,901.706
41,42,42,Justin Rose,18,44.236999999999995,796.2660000000001
42,43,43,Shigeki Maruyama,2,43.75,87.5
43,44,44,Jhonattan Vegas,21,43.744,918.6189999999999
44,45,45,Scott Stallings,23,43.138000000000005,992.18
45,46,46,Spencer Levin,24,42.695,1024.675
46,47,47,Harrison Frazar,16,41.25,660.0
47,48,48,Bo Van Pelt,22,40.06,881.33
48,49,49,J.B. Holmes,16,39.992,639.865
49,50,50,Chris Kirk,24,39.854,956.5
50,51,51,Tiger Woods,8,39.696,317.567
51,52,52,Brendan Steele,22,37.552,826.143
52,53,53,Graeme McDowell,13,37.285,484.7
53,54,54,Tommy Gainey,27,37.007,999.19
54,55,55,Sean O'Hair,20,36.205,724.0930000000001
55,56,56,Fred Couples,5,35.9,179.5
56,57,57,Scott Piercy,16,35.667,570.6669999999999
57,58,58,Kevin Na,22,35.341,777.5
58,59,59,Brandt Jobe,23,34.908,802.875
59,60,60,John Senden,21,34.848,731.81
60,61,61,Andres Romero,19,34.266,651.057
61,62,62,Pat Perez,21,34.115,716.408
62,63,63,Chris Couch,17,33.691,572.75
63,64,64,Geoff Ogilvy,17,33.607,571.317
64,65,65,Robert Garrigus,21,33.427,701.9630000000001
65,66,66,Marco Dawson,3,33.333,100.0
66,67,67,Kyle Stanley,23,33.094,761.158
