,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
0,1,1,Will Strickler,51,"25' 1""",10470.75,418
1,2,2,Scott McCarron,65,"24' 9""",13099.917,530
2,T3,T3,J.J. Henry,96,"24' 7""",21486.5,875
3,T3,T3,Trevor Immelman,84,"24' 7""",17970.5,731
4,T3,T3,Hunter Mahan,92,"24' 7""",18507.833,753
5,T3,T3,Charlie Wi,83,"24' 7""",18500.333,753
6,7,7,Steve Elkington,50,"24' 5""",10853.5,445
7,8,8,Ángel Cabrera,50,"24' 4""",8308.0,341
8,T9,T9,John Senden,94,"24' 3""",21356.417,881
9,T9,T9,Marc Turnesa,54,"24' 3""",11959.333,494
10,T11,T11,Charles Howell III,108,"24' 2""",22945.667,949
11,T11,T11,Cameron Tringale,110,"24' 2""",24859.583,1027
12,T13,T13,Ben Crane,76,"24' 1""",15245.5,634
13,T13,T13,Michael Putnam,67,"24' 1""",13400.167,557
14,T13,T13,Charl Schwartzel,58,"24' 1""",9936.25,413
15,16,16,Johnson Wagner,81,"24' 0""",17612.833,735
16,T17,T17,Alexandre Rocha,65,"23' 11""",12851.75,538
17,T17,T17,Michael Thompson,79,"23' 11""",16380.0,686
18,T19,T19,Andres Gonzales,60,"23' 10""",11311.667,474
19,T19,T19,Jerry Kelly,85,"23' 10""",16598.25,697
20,T19,T19,Ben Martin,74,"23' 10""",16256.25,682
21,T22,T22,Bill Haas,93,"23' 9""",18043.667,759
22,T22,T22,Colt Knost,80,"23' 9""",16626.5,699
23,T22,T22,Brendan Steele,89,"23' 9""",19582.25,825
24,25,25,Blake Adams,116,"23' 8""",24817.75,1048
25,26,26,Dean Wilson,62,"23' 7""",13664.667,580
26,T27,T27,Bryce Molder,82,"23' 6""",16435.667,699
27,T27,T27,Ian Poulter,52,"23' 6""",9134.583,389
28,T27,T27,Steve Stricker,70,"23' 6""",11805.917,502
29,T27,T27,Jimmy Walker,79,"23' 6""",17540.167,747
30,T31,T31,Chris Couch,73,"23' 5""",15841.667,677
31,T31,T31,Jason Day,76,"23' 5""",12991.0,554
32,T31,T31,Jhonattan Vegas,84,"23' 5""",16996.25,725
33,T34,T34,Greg Chalmers,88,"23' 4""",17375.917,746
34,T34,T34,Ryan Moore,79,"23' 4""",13789.333,592
35,T34,T34,Nate Smith,66,"23' 4""",12191.083,523
36,T37,T37,Briny Baird,60,"23' 3""",12222.417,525
37,T37,T37,Jonathan Byrd,83,"23' 3""",17132.25,736
38,T37,T37,Chad Campbell,99,"23' 3""",21663.833,932
39,T37,T37,Nathan Green,81,"23' 3""",15599.917,671
40,T37,T37,Jim Herman,69,"23' 3""",14287.917,615
41,T37,T37,William McGirt,103,"23' 3""",23081.417,991
42,T37,T37,Shaun Micheel,77,"23' 3""",15434.417,664
43,T37,T37,Rod Pampling,72,"23' 3""",14096.917,606
44,T45,T45,Steve Flesch,88,"23' 2""",17631.667,761
45,T45,T45,Tom Gillis,55,"23' 2""",11918.667,515
46,T45,T45,Freddie Jacobson,92,"23' 2""",15715.25,679
47,T45,T45,Zach Johnson,79,"23' 2""",14453.417,625
48,T45,T45,Richard Johnson,64,"23' 2""",13557.25,586
49,T45,T45,Scott Piercy,78,"23' 2""",14476.333,625
50,T45,T45,D.A. Points,89,"23' 2""",16759.25,724
51,T45,T45,Justin Rose,79,"23' 2""",15267.0,658
52,T45,T45,Brandt Snedeker,85,"23' 2""",14687.333,633
53,T54,T54,Ben Curtis,66,"23' 1""",14846.5,644
54,T54,T54,Luke Donald,73,"23' 1""",11532.25,499
55,T54,T54,Brian Gay,90,"23' 1""",16718.75,724
56,T54,T54,Brandt Jobe,100,"23' 1""",19334.583,839
57,T54,T54,Anthony Kim,72,"23' 1""",13173.583,571
58,T54,T54,Martin Laird,77,"23' 1""",14240.167,617
59,T54,T54,Davis Love III,70,"23' 1""",13297.583,576
60,T54,T54,Bill Lunde,92,"23' 1""",18807.75,814
61,T54,T54,Troy Merritt,63,"23' 1""",13761.75,597
62,T54,T54,Geoff Ogilvy,69,"23' 1""",11820.167,512
63,T54,T54,Aron Price,58,"23' 1""",11806.167,512
64,T54,T54,Josh Teater,104,"23' 1""",22607.583,981
65,T66,T66,Stewart Cink,72,"23' 0""",12427.75,540
66,T66,T66,J.B. Holmes,57,"23' 0""",11450.0,498
67,T66,T66,Spencer Levin,113,"23' 0""",23062.833,1003
68,T66,T66,John Merrick,71,"23' 0""",14469.417,629
69,T66,T66,Adam Scott,60,"23' 0""",10523.667,458
70,T66,T66,Webb Simpson,98,"23' 0""",19232.917,837
71,T66,T66,Kevin Streelman,90,"23' 0""",16775.583,730
72,T66,T66,Gary Woodland,93,"23' 0""",17227.0,749
73,T74,T74,Aaron Baddeley,77,"22' 11""",13771.167,602
74,T74,T74,Michael Bradley,74,"22' 11""",14527.917,635
75,T74,T74,Ryuji Imada,83,"22' 11""",17515.333,765
76,T74,T74,Jarrod Lyle,83,"22' 11""",16403.167,715
77,T74,T74,Billy Mayfair,94,"22' 11""",20290.167,884
78,T74,T74,Matt McQuillan,59,"22' 11""",11077.583,483
79,T74,T74,Nick Watney,80,"22' 11""",13791.5,601
80,T74,T74,Mark Wilson,89,"22' 11""",16125.417,704
81,T82,T82,Robert Allenby,84,"22' 10""",16585.833,726
82,T82,T82,Woody Austin,59,"22' 10""",11284.167,494
83,T82,T82,Michael Connell,76,"22' 10""",17104.833,750
84,T82,T82,James Driscoll,71,"22' 10""",14193.917,622
85,T82,T82,Tim Herron,85,"22' 10""",18122.5,794
86,T82,T82,George McNeill,69,"22' 10""",13803.167,605
87,T82,T82,Sean O'Hair,71,"22' 10""",14428.667,632
88,T82,T82,Carl Pettersson,95,"22' 10""",20983.917,920
89,T82,T82,Scott Stallings,84,"22' 10""",16742.917,732
90,T82,T82,Vaughn Taylor,89,"22' 10""",19399.583,851
91,T82,T82,Bo Van Pelt,92,"22' 10""",16300.5,714
92,T93,T93,Jason Dufner,78,"22' 9""",15140.917,665
93,T93,T93,Derek Lamely,65,"22' 9""",13816.583,607
94,T93,T93,Jeff Overton,92,"22' 9""",17054.25,750
95,T93,T93,Tag Ridings,87,"22' 9""",17390.5,765
96,T93,T93,Chris Stroud,88,"22' 9""",18351.583,808
97,T93,T93,Roland Thatcher,67,"22' 9""",13847.917,608
98,T99,T99,Keegan Bradley,91,"22' 8""",18120.333,800
99,T99,T99,Hunter Haas,96,"22' 8""",19583.583,865
100,T99,T99,Bio Kim,71,"22' 8""",12664.333,559
101,T99,T99,Steve Marino,76,"22' 8""",13704.917,605
102,T99,T99,Ryan Palmer,82,"22' 8""",13531.667,597
103,T99,T99,Martin Piller,63,"22' 8""",12344.75,544
104,T99,T99,Andres Romero,77,"22' 8""",14580.25,643
105,T99,T99,Daniel Summerhays,75,"22' 8""",15818.25,699
106,T99,T99,Garrett Willis,71,"22' 8""",14802.583,652
107,T99,T99,Y.E. Yang,63,"22' 8""",9556.667,421
108,T109,T109,Stephen Ames,69,"22' 7""",13805.083,612
109,T109,T109,David Hearn,88,"22' 7""",18002.833,796
110,T109,T109,Charley Hoffman,93,"22' 7""",17000.0,752
111,T109,T109,Matt Kuchar,94,"22' 7""",15929.25,706
112,T109,T109,Troy Matteson,91,"22' 7""",19117.5,847
113,T109,T109,Zack Miller,86,"22' 7""",17278.25,766
114,T109,T109,Paul Stankowski,78,"22' 7""",14612.083,647
115,T109,T109,Boo Weekley,66,"22' 7""",14006.083,621
116,T117,T117,Steven Bowditch,86,"22' 6""",17150.083,762
117,T117,T117,Tommy Gainey,104,"22' 6""",20965.417,932
118,T117,T117,Billy Horschel,75,"22' 6""",14599.917,648
119,T117,T117,Kent Jones,76,"22' 6""",15832.75,704
120,T117,T117,Marc Leishman,87,"22' 6""",18559.083,824
121,T117,T117,Chris Riley,76,"22' 6""",15821.083,703
122,T117,T117,Vijay Singh,79,"22' 6""",16505.25,734
123,T124,T124,D.J. Brigman,67,"22' 5""",12477.333,556
124,T124,T124,Kevin Na,84,"22' 5""",13852.083,617
125,T124,T124,Bubba Watson,85,"22' 5""",13866.333,618
126,T127,T127,Stuart Appleby,65,"22' 4""",13698.917,613
127,T127,T127,Ricky Barnes,78,"22' 4""",15046.917,674
128,T127,T127,Joseph Bramlett,73,"22' 4""",14220.333,637
129,T127,T127,Jim Furyk,87,"22' 4""",16770.167,752
130,T127,T127,Robert Karlsson,61,"22' 4""",9891.0,443
131,T127,T127,David Mathis,83,"22' 4""",15582.417,697
132,T133,T133,K.J. Choi,77,"22' 3""",13138.917,591
133,T133,T133,Retief Goosen,50,"22' 3""",9134.417,411
