,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Webb Simpson,98,24.26,428,1764,8
1,2,2,Steve Stricker,70,24.24,301,1242,78
2,3,3,Dustin Johnson,72,23.94,306,1278,27
3,4,4,Luke Donald,73,23.8,287,1206,41
4,5,5,Rickie Fowler,84,23.53,343,1458,120
5,6,6,Nick Watney,80,23.45,325,1386,54
6,7,7,J.B. Holmes,57,23.27,222,954,63
7,8,8,Hunter Mahan,92,23.16,371,1602,22
8,9,9,Aaron Baddeley,77,23.09,320,1386,97
9,10,10,Kyle Stanley,98,23.07,407,1764,30
10,11,11,Charley Hoffman,93,22.83,378,1656,57
11,12,12,Bubba Watson,85,22.78,324,1422,9
12,13,13,Jason Day,76,22.75,299,1314,110
13,14,14,Andres Romero,77,22.73,315,1386,146
14,15,15,Gary Woodland,93,22.58,378,1674,12
15,16,16,David Toms,78,22.44,315,1404,6
16,17,17,Matt Kuchar,94,22.22,352,1584,50
17,18,18,Martin Laird,77,22.08,302,1368,61
18,19,19,Robert Garrigus,83,22.02,329,1494,72
19,20,20,Phil Mickelson,79,22.01,305,1386,51
20,21,21,Steven Bowditch,86,21.96,340,1548,141
21,22,22,Chris Couch,73,21.92,288,1314,109
22,23,23,Ángel Cabrera,50,21.78,196,900,137
23,24,24,Kevin Na,84,21.76,329,1512,180
24,25,25,Adam Scott,60,21.75,231,1062,32
25,26,26,Brandt Snedeker,85,21.7,332,1530,113
26,27,27,Jhonattan Vegas,84,21.69,328,1512,44
27,28,28,Chris Kirk,87,21.52,337,1566,58
28,29,29,Steve Marino,76,21.49,294,1368,88
29,30,30,Chez Reavie,92,21.44,355,1656,26
30,31,31,Brendon de Jonge,105,21.43,405,1890,65
31,32,32,Pat Perez,76,21.42,293,1368,100
32,33,33,Carl Pettersson,95,21.4,366,1710,89
33,T34,T34,Geoff Ogilvy,69,21.38,254,1188,157
34,T34,T34,Boo Weekley,66,21.38,254,1188,1
35,T36,T36,Tommy Gainey,104,21.37,400,1872,48
36,T36,T36,Scott Piercy,78,21.37,300,1404,85
37,T38,T38,Brandt Jobe,100,21.28,383,1800,14
38,T38,T38,John Senden,94,21.28,360,1692,5
39,40,40,Freddie Jacobson,92,21.2,351,1656,143
40,41,41,Bill Haas,93,21.14,350,1656,11
41,42,42,Keegan Bradley,91,21.12,346,1638,83
42,43,43,Rory Sabbatini,85,21.11,323,1530,85
43,44,44,Kevin Stadler,88,21.09,334,1584,33
44,45,45,Justin Rose,79,21.07,292,1386,10
45,46,46,Vijay Singh,79,21.03,299,1422,63
46,T47,T47,Blake Adams,116,21.02,439,2088,97
47,T47,T47,Lucas Glover,74,21.02,280,1332,82
48,49,49,Brian Davis,105,21.01,397,1890,40
49,50,50,Bryce Molder,82,21.0,310,1476,108
50,51,51,Lee Janzen,62,20.88,233,1116,153
51,52,52,D.A. Points,89,20.85,334,1602,110
52,53,53,Jason Dufner,78,20.8,292,1404,52
53,T54,T54,John Rollins,85,20.78,318,1530,16
54,T54,T54,Josh Teater,104,20.78,389,1872,53
55,T56,T56,Bill Lunde,92,20.77,344,1656,13
56,T56,T56,George McNeill,69,20.77,258,1242,132
57,58,58,Retief Goosen,50,20.75,183,882,125
58,59,59,Hunter Haas,96,20.72,358,1728,71
59,T60,T60,Graeme McDowell,50,20.69,175,846,75
60,T60,T60,Aron Price,58,20.69,216,1044,46
61,62,62,John Merrick,71,20.66,264,1278,24
62,63,63,Ben Martin,74,20.65,275,1332,117
63,64,64,Troy Matteson,91,20.63,338,1638,92
64,65,65,Bo Van Pelt,92,20.62,334,1620,34
65,66,66,Stewart Cink,72,20.56,259,1260,128
66,67,67,Charlie Wi,83,20.55,307,1494,140
67,68,68,Charl Schwartzel,58,20.54,207,1008,79
68,69,69,Joe Ogilvie,75,20.52,277,1350,161
69,70,70,Billy Mayfair,94,20.51,347,1692,23
70,71,71,Jason Bohn,74,20.5,273,1332,42
71,72,72,Ryan Palmer,82,20.49,295,1440,139
72,73,73,Brian Gay,90,20.43,331,1620,145
73,74,74,Ryan Moore,79,20.37,275,1350,155
74,75,75,James Driscoll,71,20.34,260,1278,144
75,76,76,Brendan Steele,89,20.29,325,1602,99
76,T77,T77,Jonathan Byrd,83,20.26,299,1476,91
77,T77,T77,Spencer Levin,113,20.26,412,2034,35
78,T79,T79,Fabián Gómez,84,20.24,306,1512,104
79,T79,T79,Robert Karlsson,61,20.24,215,1062,148
80,T81,T81,Shane Bertsch,62,20.16,225,1116,126
81,T81,T81,Zach Johnson,79,20.16,283,1404,67
82,83,83,Anthony Kim,72,20.11,257,1278,176
83,84,84,Chris Stroud,88,20.08,318,1584,48
84,85,85,Cameron Beckman,71,20.03,256,1278,151
85,86,86,Billy Horschel,75,20.0,270,1350,47
86,T87,T87,Woody Austin,59,19.96,212,1062,54
87,T87,T87,Jeff Overton,92,19.96,327,1638,119
88,89,89,Scott Stallings,84,19.91,301,1512,60
89,90,90,Jimmy Walker,79,19.9,283,1422,136
90,91,91,Tim Herron,85,19.87,304,1530,92
91,92,92,Arjun Atwal,91,19.84,325,1638,149
92,T93,T93,Ian Poulter,52,19.83,182,918,96
93,T93,T93,Michael Thompson,79,19.83,282,1422,101
94,95,95,Steve Flesch,88,19.82,314,1584,185
95,96,96,Matt Jones,71,19.8,253,1278,165
96,T97,T97,Robert Allenby,84,19.75,295,1494,39
97,T97,T97,Charles Howell III,108,19.75,384,1944,19
98,99,99,Michael Bradley,74,19.74,263,1332,37
99,T100,T100,Marc Leishman,87,19.73,309,1566,122
100,T100,T100,Paul Stankowski,78,19.73,277,1404,104
101,T100,T100,Vaughn Taylor,89,19.73,316,1602,76
102,103,103,Bio Kim,71,19.72,252,1278,186
103,T104,T104,Matt Bettencourt,84,19.71,298,1512,169
104,T104,T104,Ben Crane,76,19.71,259,1314,68
105,106,106,Cameron Tringale,110,19.7,390,1980,42
106,107,107,Kevin Streelman,90,19.69,319,1620,94
107,108,108,Y.E. Yang,63,19.68,209,1062,162
108,109,109,Sergio Garcia,61,19.67,216,1098,56
109,110,110,Sung Kang,63,19.66,223,1134,116
110,111,111,Chad Campbell,99,19.64,350,1782,4
111,T112,T112,Briny Baird,60,19.63,212,1080,15
112,T112,T112,K.J. Choi,77,19.63,265,1350,81
113,114,114,Alex Cejka,59,19.59,208,1062,74
114,T115,T115,Kris Blanks,92,19.57,324,1656,20
115,T115,T115,Derek Lamely,65,19.57,229,1170,156
116,T115,T115,Jim Renner,65,19.57,229,1170,107
117,118,118,Rod Pampling,72,19.52,253,1296,84
118,119,119,Nick O'Hern,89,19.48,312,1602,58
119,120,120,Garrett Willis,71,19.41,248,1278,124
120,121,121,Bobby Gates,82,19.38,286,1476,118
121,T122,T122,Ricky Barnes,78,19.3,271,1404,62
122,T122,T122,Kevin Chappell,78,19.3,271,1404,114
123,T124,T124,Davis Love III,70,19.29,243,1260,28
124,T124,T124,D.J. Trahan,91,19.29,316,1638,17
125,T126,T126,Ryuji Imada,83,19.28,288,1494,130
126,T126,T126,David Mathis,83,19.28,288,1494,129
127,128,128,Matt McQuillan,59,19.21,204,1062,157
128,129,129,Camilo Villegas,69,19.2,235,1224,163
129,130,130,Heath Slocum,89,19.19,304,1584,2
130,131,131,David Hearn,88,19.13,303,1584,21
131,132,132,Mark Wilson,89,19.09,299,1566,77
132,133,133,Stephen Ames,69,19.08,237,1242,101
133,T134,T134,Chris DiMarco,93,19.06,319,1674,106
134,T134,T134,Harrison Frazar,58,19.06,199,1044,164
135,T134,T134,Scott McCarron,65,19.06,223,1170,183
136,137,137,Tag Ridings,87,19.03,298,1566,142
137,138,138,Greg Chalmers,88,19.0,301,1584,179
138,139,139,Zack Miller,86,18.99,294,1548,174
139,140,140,Andres Gonzales,60,18.98,205,1080,123
140,141,141,Alex Prugh,82,18.97,280,1476,80
141,T142,T142,Joseph Bramlett,73,18.95,249,1314,103
