,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Luke Donald,73,1.86,287,154
1,2,2,Webb Simpson,98,1.83,428,234
2,3,3,Steve Stricker,70,1.78,301,169
3,4,4,Nick Watney,80,1.67,325,195
4,5,5,Matt Kuchar,94,1.62,352,217
5,6,6,David Toms,78,1.61,315,196
6,7,7,Jason Day,76,1.54,299,194
7,8,8,Charles Howell III,108,1.48,384,259
8,T9,T9,Phil Mickelson,79,1.45,305,211
9,T9,T9,Bryce Molder,82,1.45,310,214
10,11,11,Hunter Mahan,92,1.44,371,258
11,T12,T12,Bill Haas,93,1.43,350,245
12,T12,T12,Zach Johnson,79,1.43,283,198
13,T14,T14,Chris Couch,73,1.42,288,203
14,T14,T14,Gary Woodland,93,1.42,378,266
15,16,16,Aaron Baddeley,77,1.41,320,227
16,T17,T17,Brandt Jobe,100,1.4,383,274
17,T17,T17,Martin Laird,77,1.4,302,215
18,T17,T17,Spencer Levin,113,1.4,412,294
19,20,20,Brendon de Jonge,105,1.39,405,291
20,21,21,Brandt Snedeker,85,1.38,332,240
21,22,22,Hunter Haas,96,1.37,358,262
22,T23,T23,Briny Baird,60,1.36,212,156
23,T23,T23,John Senden,94,1.36,360,265
24,25,25,Adam Scott,60,1.35,231,171
25,T26,T26,Brian Gay,90,1.34,331,247
26,T26,T26,Freddie Jacobson,92,1.34,351,261
27,T26,T26,Kevin Na,84,1.34,329,245
28,29,29,Brian Davis,105,1.33,397,298
29,T30,T30,Chris Kirk,87,1.32,337,256
30,T30,T30,John Merrick,71,1.32,264,200
31,T30,T30,Carl Pettersson,95,1.32,366,278
32,T30,T30,Justin Rose,79,1.32,292,222
33,T34,T34,Blake Adams,116,1.31,439,336
34,T34,T34,Sergio Garcia,61,1.31,216,165
35,T36,T36,Woody Austin,59,1.3,212,163
36,T36,T36,J.B. Holmes,57,1.3,223,171
37,T36,T36,Dustin Johnson,72,1.3,306,236
38,T36,T36,Jerry Kelly,85,1.3,290,223
39,T40,T40,David Hearn,88,1.29,303,235
40,T40,T40,Charley Hoffman,93,1.29,378,292
41,T40,T40,Billy Mayfair,94,1.29,347,268
42,T40,T40,Kyle Stanley,98,1.29,407,315
43,T40,T40,Michael Thompson,79,1.29,282,218
44,T40,T40,Bubba Watson,85,1.29,324,252
45,T46,T46,Jason Bohn,74,1.28,273,213
46,T46,T46,Rickie Fowler,84,1.28,343,269
47,T46,T46,Bill Lunde,92,1.28,344,269
48,T46,T46,Rod Pampling,72,1.28,253,198
49,50,50,John Rollins,85,1.27,318,251
50,T51,T51,Greg Chalmers,88,1.26,301,238
51,T51,T51,William McGirt,103,1.26,349,277
52,T51,T51,Pat Perez,76,1.26,293,233
53,T51,T51,Chez Reavie,92,1.26,355,282
54,T51,T51,Rory Sabbatini,85,1.26,323,257
55,T51,T51,Bo Van Pelt,92,1.26,334,265
56,T57,T57,Ben Crane,76,1.25,259,208
57,T57,T57,Mark Wilson,89,1.25,299,240
58,T59,T59,Chad Campbell,99,1.24,350,282
59,T59,T59,Jason Dufner,78,1.24,292,235
60,T59,T59,Ryan Moore,79,1.24,275,222
61,T59,T59,Charl Schwartzel,58,1.24,207,167
62,T59,T59,Kevin Streelman,90,1.24,319,257
63,T59,T59,Vaughn Taylor,89,1.24,316,254
64,T65,T65,Keegan Bradley,91,1.23,346,282
65,T65,T65,Jonathan Byrd,83,1.23,299,243
66,T65,T65,Tommy Gainey,104,1.23,400,326
67,T65,T65,Heath Slocum,89,1.23,304,248
68,T69,T69,Stephen Ames,69,1.22,237,195
69,T69,T69,K.J. Choi,77,1.22,265,217
70,T69,T69,J.J. Henry,96,1.22,321,263
71,T69,T69,Steve Marino,76,1.22,294,241
72,T69,T69,Troy Matteson,91,1.22,338,278
73,T69,T69,Geoff Ogilvy,69,1.22,254,208
74,T69,T69,Scott Piercy,78,1.22,300,245
75,T69,T69,Charlie Wi,83,1.22,307,252
76,T77,T77,Kris Blanks,92,1.21,324,267
77,T77,T77,Jim Furyk,87,1.21,292,242
78,T77,T77,Tim Herron,85,1.21,304,252
79,T77,T77,George McNeill,69,1.21,258,214
