,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Bryce Molder,34.07,477,14
1,2,2,Heath Slocum,34.13,512,15
2,3,3,Tim Herron,34.21,479,14
3,4,4,Ryuji Imada,34.25,411,12
4,5,5,Aron Price,34.3,343,10
5,6,6,Brandt Snedeker,34.31,549,16
6,7,7,Luke Donald,34.33,515,15
7,8,8,Pat Perez,34.36,481,14
8,9,9,Derek Lamely,34.43,241,7
9,10,10,Webb Simpson,34.45,758,22
10,11,11,Charles Howell III,34.48,793,23
11,T12,T12,Ben Curtis,34.5,345,10
12,T12,T12,Robert Karlsson,34.5,414,12
13,T12,T12,Troy Merritt,34.5,276,8
14,T15,T15,Shane Bertsch,34.55,380,11
15,T15,T15,Hunter Mahan,34.55,691,20
16,T15,T15,Roland Thatcher,34.55,380,11
17,T18,T18,Kris Blanks,34.56,553,16
18,T18,T18,Phil Mickelson,34.56,622,18
19,20,20,Vijay Singh,34.57,484,14
20,21,21,Robert Allenby,34.59,588,17
21,22,22,Retief Goosen,34.6,346,10
22,23,23,Matt McQuillan,34.63,277,8
23,T24,T24,Michael Bradley,34.67,416,12
24,T24,T24,David Duval,34.67,312,9
25,T24,T24,Chris Kirk,34.67,520,15
26,27,27,Greg Chalmers,34.69,555,16
27,T28,T28,Stuart Appleby,34.7,347,10
28,T28,T28,Carl Pettersson,34.7,694,20
29,T30,T30,D.A. Points,34.72,625,18
30,T30,T30,Kevin Streelman,34.72,625,18
31,32,32,D.J. Trahan,34.73,521,15
32,33,33,Charley Hoffman,34.74,660,19
33,34,34,Charl Schwartzel,34.79,487,14
34,35,35,Kevin Na,34.8,522,15
35,36,36,James Driscoll,34.82,383,11
36,37,37,Matt Kuchar,34.85,697,20
37,T38,T38,K.J. Choi,34.88,558,16
38,T38,T38,Jerry Kelly,34.88,558,16
39,40,40,Anthony Kim,34.9,349,10
40,T41,T41,Kent Jones,34.92,454,13
41,T41,T41,Sean O'Hair,34.92,419,12
42,T41,T41,Adam Scott,34.92,419,12
43,T44,T44,Steven Bowditch,34.93,524,15
44,T44,T44,Ben Crane,34.93,489,14
45,T44,T44,John Rollins,34.93,524,15
46,47,47,Chris DiMarco,34.94,559,16
47,T48,T48,Briny Baird,35.0,385,11
48,T48,T48,Ricky Barnes,35.0,560,16
49,T48,T48,Jason Dufner,35.0,525,15
50,T48,T48,Rickie Fowler,35.0,595,17
51,T48,T48,Zach Johnson,35.0,595,17
52,T48,T48,Spencer Levin,35.0,875,25
53,T48,T48,Josh Teater,35.0,700,20
54,T48,T48,David Toms,35.0,560,16
55,T48,T48,Mark Wilson,35.0,595,17
56,T57,T57,Jason Day,35.06,561,16
57,T57,T57,Marc Leishman,35.06,561,16
58,T57,T57,Billy Mayfair,35.06,631,18
59,60,60,Dustin Johnson,35.07,526,15
60,T61,T61,Stephen Ames,35.08,421,12
61,T61,T61,Ben Martin,35.08,421,12
62,T63,T63,Woody Austin,35.09,386,11
63,T63,T63,Joe Durant,35.09,386,11
64,T63,T63,Camilo Villegas,35.09,386,11
65,T66,T66,Sung Kang,35.1,351,10
66,T66,T66,Scott McCarron,35.1,351,10
67,T66,T66,Jeff Overton,35.1,702,20
68,T69,T69,Blake Adams,35.13,808,23
69,T69,T69,Graeme McDowell,35.13,281,8
