,Tenth_Tee_Early_Round_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_5_Scoring_Average_AVG,Tenth_Tee_Early_Round_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_5_Scoring_Average_TOTAL ROUNDS
0,1,1,Brian Gay,62.0,62,1
1,2,2,Brendon de Jonge,66.0,66,1
2,T3,T3,Jason Dufner,67.0,67,1
3,T3,T3,Bryce Molder,67.0,67,1
4,T3,T3,Kyle Stanley,67.0,67,1
5,T3,T3,Kevin Streelman,67.0,67,1
6,7,7,David Toms,68.0,68,1
7,T8,T8,Kris Blanks,69.0,69,1
8,T8,T8,J.J. Henry,69.0,69,1
9,T8,T8,D.A. Points,69.0,69,1
10,11,11,Tim Petrovic,70.0,70,1
11,T12,T12,Kevin Chappell,71.0,71,1
12,T12,T12,Mark Wilson,71.0,71,1
13,T14,T14,Harrison Frazar,72.0,72,1
14,T14,T14,Brandt Jobe,72.0,72,1
15,T14,T14,Steve Marino,72.0,72,1
16,17,17,Cameron Tringale,74.0,74,1
17,18,18,John Rollins,75.0,75,1
