,YTD_Sub-Par_Rounds_Streak_RANK THIS WEEK,YTD_Sub-Par_Rounds_Streak_RANK LAST WEEK,YTD_Sub-Par_Rounds_Streak_PLAYER NAME,YTD_Sub-Par_Rounds_Streak_VALUE
0,1,1,Luke Donald,17
1,2,2,Chez Reavie,16
2,3,3,Matt Kuchar,14
3,T4,T4,Briny Baird,12
4,T4,T4,Bill Haas,12
5,T4,T4,Brandt Snedeker,12
6,T4,T4,Jhonattan Vegas,12
7,T8,T8,Charles Howell III,11
8,T8,T8,Jerry Kelly,11
9,T8,T8,D.A. Points,11
10,T11,T11,Brian Gay,10
11,T11,T11,Chris Kirk,10
12,T13,T13,Blake Adams,9
13,T13,T13,Aaron Baddeley,9
14,T13,T13,Bud Cauley,9
15,T13,T13,David Duval,9
16,T13,T13,Jim Furyk,9
17,T13,T13,Trevor Immelman,9
18,T13,T13,Kevin Na,9
19,T13,T13,Scott Piercy,9
20,T13,T13,Vijay Singh,9
21,T13,T13,Heath Slocum,9
22,T23,T23,Cameron Beckman,8
23,T23,T23,Matt Bettencourt,8
24,T23,T23,Jason Bohn,8
25,T23,T23,K.J. Choi,8
26,T23,T23,Andres Gonzales,8
27,T23,T23,Padraig Harrington,8
28,T23,T23,Marc Leishman,8
29,T23,T23,Justin Leonard,8
30,T23,T23,Frank Lickliter II,8
31,T23,T23,Steve Marino,8
32,T23,T23,Matt McQuillan,8
33,T23,T23,Nick O'Hern,8
34,T23,T23,Jeff Overton,8
35,T23,T23,Tim Petrovic,8
36,T23,T23,Carl Pettersson,8
37,T23,T23,Aron Price,8
38,T23,T23,Webb Simpson,8
39,T23,T23,Steve Stricker,8
40,T23,T23,Kevin Sutherland,8
41,T23,T23,Roland Thatcher,8
42,T23,T23,David Toms,8
43,T23,T23,Bubba Watson,8
44,T23,T23,Brett Wetterich,8
45,T46,T46,Arjun Atwal,7
46,T46,T46,Steven Bowditch,7
47,T46,T46,Keegan Bradley,7
48,T46,T46,Jonathan Byrd,7
49,T46,T46,Michael Connell,7
50,T46,T46,Chris Couch,7
51,T46,T46,Ben Crane,7
52,T46,T46,Brian Davis,7
53,T46,T46,Jason Day,7
54,T46,T46,Jason Dufner,7
55,T46,T46,Tommy Gainey,7
56,T46,T46,Billy Horschel,7
57,T46,T46,Zach Johnson,7
58,T46,T46,Matt Jones,7
59,T46,T46,Sung Kang,7
60,T46,T46,Martin Laird,7
61,T46,T46,Tom Lehman,7
62,T46,T46,Spencer Levin,7
63,T46,T46,Bill Lunde,7
64,T46,T46,Jarrod Lyle,7
65,T46,T46,David Mathis,7
66,T46,T46,William McGirt,7
67,T46,T46,Bryce Molder,7
68,T46,T46,Francesco Molinari,7
69,T46,T46,Rod Pampling,7
70,T46,T46,Pat Perez,7
71,T46,T46,Tom Pernice Jr.,7
72,T46,T46,Rory Sabbatini,7
73,T46,T46,Charl Schwartzel,7
74,T46,T46,Kevin Stadler,7
75,T46,T46,Kyle Stanley,7
76,T46,T46,Josh Teater,7
77,T46,T46,Michael Thompson,7
78,T46,T46,D.J. Trahan,7
79,T46,T46,Jimmy Walker,7
80,T46,T46,Nick Watney,7
81,T46,T46,Mark Wilson,7
82,T46,T46,Gary Woodland,7
83,T84,T84,Joseph Bramlett,6
84,T84,T84,Chad Campbell,6
85,T84,T84,Alex Cejka,6
86,T84,T84,Greg Chalmers,6
87,T84,T84,Brendon de Jonge,6
88,T84,T84,Sergio Garcia,6
89,T84,T84,Bobby Gates,6
90,T84,T84,Lucas Glover,6
91,T84,T84,Jason Gore,6
92,T84,T84,David Hearn,6
93,T84,T84,J.B. Holmes,6
94,T84,T84,Lee Janzen,6
95,T84,T84,Brandt Jobe,6
96,T84,T84,Dustin Johnson,6
97,T84,T84,Anthony Kim,6
98,T84,T84,Davis Love III,6
99,T84,T84,Hunter Mahan,6
100,T84,T84,Billy Mayfair,6
101,T84,T84,Rory McIlroy,6
102,T84,T84,Phil Mickelson,6
103,T84,T84,Zack Miller,6
104,T84,T84,Geoff Ogilvy,6
105,T84,T84,Ryan Palmer,6
106,T84,T84,Michael Putnam,6
107,T84,T84,Andres Romero,6
108,T84,T84,Justin Rose,6
109,T84,T84,Scott Stallings,6
110,T84,T84,Kevin Streelman,6
111,T84,T84,Kirk Triplett,6
112,T84,T84,Bo Van Pelt,6
113,T84,T84,Scott Verplank,6
114,T84,T84,Camilo Villegas,6
115,T84,T84,Charles Warren,6
116,T117,T117,Stephen Ames,5
117,T117,T117,Woody Austin,5
118,T117,T117,Chris Baryla,5
119,T117,T117,Rich Beem,5
120,T117,T117,Shane Bertsch,5
121,T117,T117,Kris Blanks,5
122,T117,T117,Craig Bowden,5
123,T117,T117,Michael Bradley,5
124,T117,T117,D.J. Brigman,5
125,T117,T117,Ángel Cabrera,5
126,T117,T117,Mark Calcavecchia,5
127,T117,T117,Kevin Chappell,5
128,T117,T117,Stewart Cink,5
129,T117,T117,Tim Clark,5
130,T117,T117,Ben Curtis,5
131,T117,T117,Steve Elkington,5
132,T117,T117,Ernie Els,5
133,T117,T117,Bob Estes,5
134,T117,T117,Rickie Fowler,5
135,T117,T117,Robert Garrigus,5
136,T117,T117,Tom Gillis,5
137,T117,T117,Fabián Gómez,5
138,T117,T117,Hunter Haas,5
139,T117,T117,Todd Hamilton,5
140,T117,T117,J.J. Henry,5
141,T117,T117,Mark Hensby,5
142,T117,T117,Jim Herman,5
143,T117,T117,Ryuji Imada,5
144,T117,T117,Freddie Jacobson,5
145,T117,T117,Kent Jones,5
146,T117,T117,Robert Karlsson,5
147,T117,T117,Kevin Kisner,5
148,T117,T117,Ben Martin,5
149,T117,T117,Scott McCarron,5
150,T117,T117,John Merrick,5
151,T117,T117,Troy Merritt,5
