,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Brian Gay,91,152.4,1426340.0,260
1,2,2,Billy Hurley III,70,156.2,933458.0,166
2,T3,T3,Tim Clark,60,158.8,948717.0,166
3,T3,T3,Gavin Coles,72,158.8,1120143.0,196
4,5,5,Nick O'Hern,78,160.4,1206911.0,209
5,6,6,David Toms,60,161.0,874937.0,151
6,7,7,Vaughn Taylor,81,161.4,1359858.0,234
7,8,8,Bryce Molder,83,161.6,1431112.0,246
8,9,9,Colt Knost,79,162.4,1204631.0,206
9,10,10,Justin Leonard,79,162.5,1210732.0,207
10,11,11,"Ted Potter, Jr.",77,163.4,1135557.0,193
11,12,12,David Mathis,83,163.6,1343227.0,228
12,13,13,Brendon Todd,78,163.8,1149748.0,195
13,14,14,Michael Bradley,63,164.1,963000.0,163
14,15,15,Daniel Chopra,55,164.6,906680.0,153
15,T16,T16,Graeme McDowell,55,164.7,865414.0,146
16,T16,T16,Kyle Reifers,86,164.7,1404856.0,237
17,18,18,Cameron Beckman,81,164.8,1435404.0,242
18,19,19,Scott Dunlap,57,165.4,899215.0,151
19,20,20,Heath Slocum,93,165.6,1436683.0,241
20,21,21,Jim Furyk,85,165.7,1371969.0,230
21,22,22,Kyle Thompson,51,165.8,686489.0,115
22,23,23,Alexandre Rocha,62,166.5,923290.0,154
23,24,24,Charlie Beljan,61,166.6,953533.0,159
24,T25,T25,Troy Kelly,68,167.0,961755.0,160
25,T25,T25,William McGirt,96,167.0,1563182.0,260
26,27,27,Jerry Kelly,84,167.2,1498900.0,249
27,28,28,J.J. Henry,93,167.4,1337708.0,222
28,T29,T29,John Daly,50,168.0,895169.0,148
29,T29,T29,Roland Thatcher,55,168.0,907077.0,150
30,31,31,Ken Duke,104,168.1,2069664.0,342
31,32,32,Stephen Ames,54,168.3,709041.0,117
32,T33,T33,Gary Christian,91,168.4,1594438.0,263
33,T33,T33,Will Claxton,99,168.4,1916242.0,316
34,T33,T33,Ben Curtis,62,168.4,1115695.0,184
35,36,36,Stuart Appleby,75,168.6,1238101.0,204
36,37,37,Freddie Jacobson,61,168.8,893540.0,147
37,T38,T38,Ricky Barnes,92,168.9,1745424.0,287
38,T38,T38,Chris DiMarco,83,168.9,1422441.0,234
39,T40,T40,Brian Davis,91,169.1,1784117.0,293
40,T40,T40,Patrick Sheehan,58,169.1,785522.0,129
41,42,42,Ryo Ishikawa,54,169.2,645741.0,106
42,T43,T43,Marco Dawson,60,169.3,957163.0,157
43,T43,T43,Zach Johnson,95,169.3,1773881.0,291
44,45,45,Chez Reavie,83,169.4,1316925.0,216
45,T46,T46,Ryuji Imada,78,169.6,1361284.0,223
46,T46,T46,Michael Thompson,80,169.6,1398567.0,229
47,48,48,Matt Bettencourt,80,169.9,1229525.0,201
48,49,49,Steve Stricker,73,170.1,1384126.0,226
49,T50,T50,Bob Estes,78,170.2,1360631.0,222
50,T50,T50,Justin Rose,69,170.2,1268134.0,207
51,52,52,Steve Wheatcroft,56,170.5,822586.0,134
52,T53,T53,Chad Campbell,84,170.6,1516674.0,247
53,T53,T53,John Merrick,83,170.6,1554038.0,253
54,55,55,Carl Pettersson,92,170.7,1874211.0,305
55,T56,T56,Aaron Baddeley,73,170.8,1223417.0,199
56,T56,T56,Luke Donald,63,170.8,1118870.0,182
57,T56,T56,Daniel Summerhays,81,170.8,1408444.0,229
58,T56,T56,Y.E. Yang,64,170.8,1008689.0,164
59,T60,T60,Jason Bohn,81,170.9,1396941.0,227
60,T60,T60,Brian Harman,101,170.9,1907619.0,310
61,T60,T60,Matt Kuchar,86,170.9,1532003.0,249
62,T60,T60,John Rollins,81,170.9,1562567.0,254
63,T60,T60,Charl Schwartzel,56,170.9,984114.0,160
64,T65,T65,Rocco Mediate,70,171.0,1157552.0,188
65,T65,T65,Mark Wilson,84,171.0,1311003.0,213
66,67,67,Jeff Maggert,83,171.1,1613524.0,262
67,T68,T68,Roberto Castro,92,171.2,1645360.0,267
68,T68,T68,Chris Stroud,86,171.2,1473055.0,239
69,T70,T70,J.J. Killeen,101,171.5,1593106.0,258
70,T70,T70,Derek Lamely,64,171.5,1104838.0,179
71,T70,T70,Camilo Villegas,79,171.5,1592802.0,258
72,T73,T73,Matt Every,80,171.7,1570103.0,254
73,T73,T73,John Mallinger,74,171.7,1285379.0,208
74,T73,T73,Rod Pampling,88,171.7,1347355.0,218
75,76,76,Robert Allenby,76,171.9,1299818.0,210
76,T77,T77,Miguel Angel Carballo,73,172.0,1158187.0,187
77,T77,T77,David Hearn,95,172.0,1838821.0,297
78,T77,T77,Trevor Immelman,76,172.0,1158048.0,187
79,T77,T77,Greg Owen,90,172.0,1740036.0,281
80,81,81,Kevin Kisner,69,172.2,1103526.0,178
81,82,82,Danny Lee,74,172.3,1339638.0,216
82,T83,T83,Scott Brown,65,172.4,1142061.0,184
83,T83,T83,Hunter Haas,69,172.4,1061387.0,171
84,85,85,Chris Kirk,93,172.5,1999472.0,322
85,T86,T86,Harrison Frazar,56,172.6,1043634.0,168
86,T86,T86,Stephen Gangluff,57,172.6,751687.0,121
87,88,88,Jason Dufner,83,173.0,1662861.0,267
88,T89,T89,Mark Anderson,75,173.2,1340829.0,215
89,T89,T89,Russell Knox,72,173.2,1191186.0,191
90,T89,T89,Charlie Wi,86,173.2,1565039.0,251
91,T92,T92,Tommy Gainey,98,173.3,2002450.0,321
92,T92,T92,Ryan Palmer,81,173.3,1765681.0,283
93,T92,T92,Tom Pernice Jr.,62,173.3,992160.0,159
94,95,95,Tommy Biershenk,74,173.4,1285997.0,206
95,96,96,Jason Day,57,173.5,1174479.0,188
96,97,97,Richard Lee,71,173.6,1287567.0,206
97,98,98,Bill Lunde,83,173.7,1525630.0,244
98,T99,T99,Rory McIlroy,60,173.8,1163875.0,186
99,T99,T99,Ryan Moore,89,173.8,1970339.0,315
100,T101,T101,Martin Flores,95,174.0,1841205.0,294
101,T101,T101,Jason Kokrak,79,174.0,1434647.0,229
102,T101,T101,Nick Watney,97,174.0,1847395.0,295
103,104,104,K.J. Choi,71,174.1,1253830.0,200
104,T105,T105,Blake Adams,107,174.2,2044376.0,326
105,T105,T105,Marc Leishman,84,174.2,1624283.0,259
106,T105,T105,Hunter Mahan,88,174.2,1398165.0,223
107,T105,T105,Johnson Wagner,88,174.2,1699473.0,271
108,109,109,Kevin Stadler,85,174.5,1488452.0,237
109,T110,T110,Bobby Gates,87,175.1,1613682.0,256
110,T110,T110,Brandt Snedeker,81,175.1,1601319.0,254
111,112,112,Sung Kang,75,175.2,1110293.0,176
112,113,113,Jeff Overton,101,175.3,2266124.0,359
113,114,114,Ben Crane,73,175.4,1604085.0,254
114,115,115,Sangmoon Bae,81,175.5,1314508.0,208
115,T116,T116,Jonathan Byrd,69,175.7,1290069.0,204
116,T116,T116,Bill Haas,79,175.7,1372438.0,217
117,T118,T118,Edward Loar,59,176.0,880915.0,139
118,T118,T118,D.A. Points,88,176.0,1932680.0,305
119,T120,T120,Robert Garrigus,89,176.1,1914913.0,302
120,T120,T120,Spencer Levin,81,176.1,1413532.0,223
121,122,122,Davis Love III,64,176.2,1262470.0,199
122,T123,T123,Stewart Cink,71,176.3,1154793.0,182
123,T123,T123,Adam Scott,59,176.3,1047460.0,165
124,T125,T125,Arjun Atwal,79,176.4,1314567.0,207
125,T125,T125,Padraig Harrington,67,176.4,1060748.0,167
126,T125,T125,Brandt Jobe,57,176.4,914387.0,144
127,T128,T128,Sean O'Hair,84,176.5,1848706.0,291
128,T128,T128,Dicky Pride,62,176.5,1048146.0,165
129,T130,T130,Tim Herron,88,176.6,1627256.0,256
130,T130,T130,Dustin Johnson,70,176.6,1354366.0,213
131,T132,T132,Jonas Blixt,72,176.7,1609042.0,253
132,T132,T132,Charles Howell III,98,176.7,1723806.0,271
133,T132,T132,Garth Mulroy,59,176.7,1119274.0,176
134,T132,T132,Kevin Na,80,176.7,1507334.0,237
135,T132,T132,Brendan Steele,77,176.7,1252899.0,197
136,T137,T137,Erik Compton,81,176.8,1438270.0,226
137,T137,T137,Harris English,98,176.8,1998679.0,314
138,139,139,Billy Horschel,63,176.9,1146516.0,180
139,140,140,J.B. Holmes,90,177.2,1919990.0,301
140,141,141,Bud Cauley,99,177.4,2063062.0,323
141,142,142,Sergio Garcia,57,177.7,1112936.0,174
142,143,143,Rory Sabbatini,84,177.8,1728697.0,270
143,144,144,Bo Van Pelt,84,178.1,1743820.0,272
144,T145,T145,Ian Poulter,57,178.3,911315.0,142
145,T145,T145,Josh Teater,97,178.3,2021929.0,315
146,147,147,Boo Weekley,74,178.4,1207746.0,188
147,T148,T148,Ernie Els,80,178.5,1375089.0,214
148,T148,T148,Kevin Streelman,89,178.5,1722633.0,268
149,150,150,Martin Laird,77,178.6,1382627.0,215
150,151,151,Webb Simpson,77,178.8,1860656.0,289
151,T152,T152,Graham DeLaet,79,179.0,1623649.0,252
152,T152,T152,Robert Karlsson,54,179.0,1069564.0,166
153,T152,T152,Billy Mayfair,90,179.0,1584947.0,246
154,155,155,Jhonattan Vegas,77,179.1,1579777.0,245
155,156,156,Mathew Goggin,65,179.2,1174107.0,182
156,157,157,D.J. Trahan,73,179.3,1290761.0,200
157,158,158,Greg Chalmers,88,179.5,1653855.0,256
158,159,159,Charley Hoffman,88,179.7,1798520.0,278
159,T160,T160,George McNeill,85,179.9,1521962.0,235
160,T160,T160,Phil Mickelson,79,179.9,1632368.0,252
161,T160,T160,Seung-Yul Noh,105,179.9,1956332.0,302
162,T160,T160,Scott Piercy,95,179.9,2260718.0,349
163,164,164,Cameron Tringale,88,180.1,1769598.0,273
164,T165,T165,Nathan Green,73,180.6,1378234.0,212
165,T165,T165,Vijay Singh,99,180.6,1982451.0,305
166,167,167,Ángel Cabrera,54,180.7,832677.0,128
167,168,168,Brendon de Jonge,115,181.0,2548125.0,391
168,T169,T169,John Huh,99,181.5,2071458.0,317
169,T169,T169,Troy Matteson,100,181.5,1829993.0,280
170,T169,T169,Andres Romero,68,181.5,1241199.0,190
171,T172,T172,Rickie Fowler,84,181.6,1608418.0,246
172,T172,T172,Scott Stallings,78,181.6,1555704.0,238
173,T172,T172,Lee Westwood,60,181.6,1072160.0,164
174,175,175,Louis Oosthuizen,65,181.7,1275243.0,195
175,T176,T176,John Senden,81,181.9,1597866.0,244
176,T176,T176,Tiger Woods,69,181.9,1355855.0,207
177,178,178,Keegan Bradley,90,182.2,1934730.0,295
178,179,179,Tom Gillis,75,182.7,1703664.0,259
179,180,180,Matt Jones,53,182.8,928036.0,141
180,T181,T181,Kris Blanks,65,183.7,1322425.0,200
181,T181,T181,Geoff Ogilvy,73,183.7,1302667.0,197
182,T183,T183,Kevin Chappell,91,184.0,1590127.0,240
183,T183,T183,James Driscoll,83,184.0,1635903.0,247
184,185,185,Jimmy Walker,101,184.5,2238008.0,337
185,186,186,Bubba Watson,68,184.6,1382494.0,208
186,187,187,Pat Perez,81,184.8,1736803.0,261
187,188,188,Kyle Stanley,86,184.9,1670742.0,251
188,189,189,Henrik Stenson,51,185.3,987266.0,148
189,190,190,Chris Couch,61,186.8,1311299.0,195
190,191,191,Gary Woodland,70,187.4,1295395.0,192
