,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Rod Pampling,88,"2' 2""",102.667,48,98
1,2,2,Matt Every,80,"2' 3""",113.75,51,67
2,T3,T3,Bill Haas,79,"2' 4""",121.583,52,27
3,T3,T3,Adam Scott,59,"2' 4""",82.583,36,128
4,T5,T5,Brian Gay,91,"2' 5""",207.833,86,1
5,T5,T5,Charley Hoffman,88,"2' 5""",164.0,69,181
6,T5,T5,Geoff Ogilvy,73,"2' 5""",131.083,54,6
7,T5,T5,Charlie Wi,86,"2' 5""",155.083,64,45
8,T9,T9,Chris Couch,61,"2' 6""",171.25,69,72
9,T9,T9,Martin Flores,95,"2' 6""",201.917,80,47
10,T9,T9,John Mallinger,74,"2' 6""",163.0,65,53
11,T9,T9,Louis Oosthuizen,65,"2' 6""",114.083,45,137
12,T9,T9,Tom Pernice Jr.,62,"2' 6""",152.667,62,117
13,T14,T14,Greg Chalmers,88,"2' 7""",164.667,63,11
14,T14,T14,Stewart Cink,71,"2' 7""",168.583,65,169
15,T14,T14,Sergio Garcia,57,"2' 7""",99.333,39,69
16,T14,T14,Brian Harman,101,"2' 7""",238.75,93,49
17,T14,T14,Marc Leishman,84,"2' 7""",172.583,67,74
18,T14,T14,Webb Simpson,77,"2' 7""",186.25,72,56
19,T20,T20,Jonathan Byrd,69,"2' 8""",152.333,58,56
20,T20,T20,Daniel Chopra,55,"2' 8""",83.083,31,165
21,T20,T20,Ben Curtis,62,"2' 8""",113.0,43,66
22,T20,T20,Luke Donald,63,"2' 8""",101.25,38,5
23,T20,T20,Jim Furyk,85,"2' 8""",186.333,69,3
24,T20,T20,Jerry Kelly,84,"2' 8""",201.083,76,41
25,T20,T20,Scott Piercy,95,"2' 8""",222.583,84,35
26,T20,T20,Andres Romero,68,"2' 8""",162.667,61,124
27,T20,T20,Patrick Sheehan,58,"2' 8""",166.75,62,131
28,T20,T20,Steve Stricker,73,"2' 8""",111.417,42,34
29,T20,T20,David Toms,60,"2' 8""",80.417,30,13
30,T20,T20,Jimmy Walker,101,"2' 8""",186.25,69,78
31,T20,T20,Bubba Watson,68,"2' 8""",119.083,44,110
32,T33,T33,Mark Anderson,75,"2' 9""",164.25,60,163
33,T33,T33,Kevin Chappell,91,"2' 9""",154.833,57,83
34,T33,T33,Scott Dunlap,57,"2' 9""",124.417,45,65
35,T33,T33,Ernie Els,80,"2' 9""",206.5,74,24
36,T33,T33,Harrison Frazar,56,"2' 9""",165.0,60,155
37,T33,T33,Russell Knox,72,"2' 9""",148.083,54,76
38,T33,T33,Justin Leonard,79,"2' 9""",234.25,86,44
39,T33,T33,Rory McIlroy,60,"2' 9""",119.583,44,33
40,T33,T33,Rocco Mediate,70,"2' 9""",119.167,43,22
41,T33,T33,"Ted Potter, Jr.",77,"2' 9""",199.75,73,132
42,T33,T33,Rory Sabbatini,84,"2' 9""",256.41700000000003,94,55
43,T33,T33,Vijay Singh,99,"2' 9""",229.167,84,43
44,T45,T45,Brian Davis,91,"2' 10""",227.0,81,51
45,T45,T45,Ryuji Imada,78,"2' 10""",160.917,57,74
46,T45,T45,Phil Mickelson,79,"2' 10""",147.333,52,16
47,T45,T45,Seung-Yul Noh,105,"2' 10""",225.75,80,80
48,T45,T45,John Rollins,81,"2' 10""",175.667,62,80
49,T45,T45,Kevin Streelman,89,"2' 10""",222.917,79,77
50,T45,T45,Johnson Wagner,88,"2' 10""",189.583,66,104
51,T52,T52,Keegan Bradley,90,"2' 11""",202.667,70,91
52,T52,T52,Ken Duke,104,"2' 11""",279.83299999999997,96,26
53,T52,T52,Padraig Harrington,67,"2' 11""",141.333,48,39
54,T52,T52,Colt Knost,79,"2' 11""",200.833,69,140
55,T52,T52,Richard Lee,71,"2' 11""",117.583,40,143
56,T52,T52,Spencer Levin,81,"2' 11""",192.75,66,82
57,T52,T52,Dicky Pride,62,"2' 11""",126.167,43,93
58,T52,T52,Justin Rose,69,"2' 11""",112.417,39,12
59,T52,T52,Charl Schwartzel,56,"2' 11""",136.0,47,50
60,T52,T52,Brandt Snedeker,81,"2' 11""",172.0,59,10
61,T52,T52,Bo Van Pelt,84,"2' 11""",185.5,64,130
62,T63,T63,Stephen Ames,54,"3' 0""",121.833,41,112
63,T63,T63,Kris Blanks,65,"3' 0""",154.5,52,149
64,T63,T63,Chad Campbell,84,"3' 0""",196.25,66,145
65,T63,T63,Bud Cauley,99,"3' 0""",293.83299999999997,99,8
66,T63,T63,Tom Gillis,75,"3' 0""",190.167,64,68
67,T63,T63,Nathan Green,73,"3' 0""",193.333,65,88
68,T63,T63,Brandt Jobe,57,"3' 0""",139.333,46,157
69,T63,T63,Sung Kang,75,"3' 0""",161.25,54,144
70,T63,T63,Billy Mayfair,90,"3' 0""",255.083,86,15
71,T63,T63,Bryce Molder,83,"3' 0""",229.333,76,20
72,T63,T63,Kevin Na,80,"3' 0""",197.25,66,21
73,T63,T63,Pat Perez,81,"3' 0""",258.25,86,14
74,T75,T75,Blake Adams,107,"3' 1""",234.417,76,123
75,T75,T75,Jason Day,57,"3' 1""",161.417,52,19
76,T75,T75,Bob Estes,78,"3' 1""",189.667,62,25
77,T75,T75,Robert Garrigus,89,"3' 1""",232.167,76,133
78,T75,T75,Dustin Johnson,70,"3' 1""",129.0,42,32
79,T75,T75,Martin Laird,77,"3' 1""",143.25,46,125
80,T75,T75,Bill Lunde,83,"3' 1""",218.083,71,54
81,T75,T75,John Merrick,83,"3' 1""",177.333,58,146
82,T75,T75,Ryan Moore,89,"3' 1""",205.75,67,107
83,T75,T75,Nick O'Hern,78,"3' 1""",190.417,62,62
84,T75,T75,Chez Reavie,83,"3' 1""",178.667,58,111
85,T75,T75,John Senden,81,"3' 1""",180.667,59,94
86,T75,T75,Brendan Steele,77,"3' 1""",203.25,66,135
87,T75,T75,Chris Stroud,86,"3' 1""",252.917,83,18
88,T75,T75,Daniel Summerhays,81,"3' 1""",181.417,59,122
89,T75,T75,D.J. Trahan,73,"3' 1""",197.667,64,164
90,T91,T91,Aaron Baddeley,73,"3' 2""",203.75,65,37
91,T91,T91,Charlie Beljan,61,"3' 2""",166.083,52,167
92,T91,T91,Jonas Blixt,72,"3' 2""",190.75,61,16
93,T91,T91,Jason Bohn,81,"3' 2""",237.167,74,119
94,T91,T91,K.J. Choi,71,"3' 2""",205.667,65,150
95,T91,T91,Gary Christian,91,"3' 2""",271.33299999999997,86,139
96,T91,T91,Marco Dawson,60,"3' 2""",164.333,52,176
97,T91,T91,Brendon de Jonge,115,"3' 2""",323.58299999999997,101,59
98,T91,T91,Matt Jones,53,"3' 2""",109.583,35,61
99,T91,T91,Davis Love III,64,"3' 2""",205.0,64,147
100,T91,T91,George McNeill,85,"3' 2""",220.167,69,96
101,T91,T91,Garth Mulroy,59,"3' 2""",128.167,41,180
102,T91,T91,Ryan Palmer,81,"3' 2""",220.833,69,73
103,T91,T91,Kyle Stanley,86,"3' 2""",239.167,75,173
104,T91,T91,Henrik Stenson,51,"3' 2""",110.917,35,47
105,T91,T91,Camilo Villegas,79,"3' 2""",261.16700000000003,82,151
106,T91,T91,Mark Wilson,84,"3' 2""",183.25,58,84
107,T108,T108,Hunter Haas,69,"3' 3""",176.75,54,142
108,T108,T108,Billy Horschel,63,"3' 3""",151.417,47,36
109,T108,T108,Billy Hurley III,70,"3' 3""",228.667,71,90
110,T108,T108,Zach Johnson,95,"3' 3""",230.083,70,30
111,T108,T108,Kevin Kisner,69,"3' 3""",184.5,57,40
112,T108,T108,David Mathis,83,"3' 3""",264.41700000000003,81,85
113,T108,T108,Tiger Woods,69,"3' 3""",168.417,52,4
114,T115,T115,Stuart Appleby,75,"3' 4""",221.417,67,29
115,T115,T115,Will Claxton,99,"3' 4""",289.91700000000003,86,102
116,T115,T115,James Driscoll,83,"3' 4""",216.167,65,153
117,T115,T115,Jason Dufner,83,"3' 4""",173.333,52,8
118,T115,T115,J.J. Killeen,101,"3' 4""",303.58299999999997,92,28
119,T115,T115,Jason Kokrak,79,"3' 4""",260.33299999999997,79,115
120,T115,T115,Graeme McDowell,55,"3' 4""",138.75,42,177
121,T115,T115,D.A. Points,88,"3' 4""",265.16700000000003,79,112
122,T115,T115,Cameron Tringale,88,"3' 4""",282.08299999999997,85,52
123,T115,T115,Jhonattan Vegas,77,"3' 4""",259.41700000000003,77,187
124,T115,T115,Steve Wheatcroft,56,"3' 4""",140.917,42,101
125,T126,T126,Arjun Atwal,79,"3' 5""",267.75,79,137
126,T126,T126,Scott Brown,65,"3' 5""",199.417,58,185
127,T126,T126,Tim Clark,60,"3' 5""",179.25,53,79
128,T126,T126,J.J. Henry,93,"3' 5""",264.66700000000003,78,89
129,T126,T126,Charles Howell III,98,"3' 5""",212.75,62,118
130,T126,T126,John Huh,99,"3' 5""",314.41700000000003,92,134
131,T126,T126,Troy Kelly,68,"3' 5""",199.333,58,46
132,T126,T126,Greg Owen,90,"3' 5""",211.417,62,154
133,T126,T126,Kyle Reifers,86,"3' 5""",219.667,64,100
134,T126,T126,Josh Teater,97,"3' 5""",324.5,95,119
135,T126,T126,Nick Watney,97,"3' 5""",223.25,65,141
136,T137,T137,Graham DeLaet,79,"3' 6""",266.16700000000003,76,86
137,T137,T137,Rickie Fowler,84,"3' 6""",187.167,54,106
138,T137,T137,Tim Herron,88,"3' 6""",259.25,74,99
139,T137,T137,J.B. Holmes,90,"3' 6""",265.08299999999997,76,125
140,T137,T137,Carl Pettersson,92,"3' 6""",286.75,81,30
141,T137,T137,Scott Stallings,78,"3' 6""",234.583,67,175
142,T137,T137,Michael Thompson,80,"3' 6""",281.58299999999997,81,136
143,T144,T144,Sangmoon Bae,81,"3' 7""",220.25,61,182
144,T144,T144,Ángel Cabrera,54,"3' 7""",121.333,34,188
145,T144,T144,Miguel Angel Carballo,73,"3' 7""",201.75,56,178
146,T144,T144,Roberto Castro,92,"3' 7""",228.25,64,62
