,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,David Lynn,1,"$865,000","$865,000"
1,2,2,Rory McIlroy,16,"$502,996","$8,047,951"
2,3,3,Tiger Woods,19,"$322,797","$6,133,158"
3,4,4,Bubba Watson,19,"$244,473","$4,644,996"
4,5,5,Brandt Snedeker,22,"$226,806","$4,989,739"
5,6,6,Justin Rose,19,"$225,838","$4,290,929"
6,7,7,Jason Dufner,22,"$221,331","$4,869,303"
7,8,8,Luke Donald,17,"$206,589","$3,512,023"
8,9,9,Lee Westwood,15,"$201,104","$3,016,569"
9,10,10,Phil Mickelson,22,"$191,082","$4,203,821"
10,11,11,Louis Oosthuizen,19,"$182,157","$3,460,995"
11,12,12,Adam Scott,16,"$181,222","$2,899,556"
12,13,13,Zach Johnson,25,"$180,169","$4,504,244"
13,14,14,Steve Stricker,19,"$180,001","$3,420,021"
14,15,15,Dustin Johnson,19,"$178,622","$3,393,820"
15,16,16,Matt Kuchar,22,"$177,412","$3,903,064"
16,17,17,Hunter Mahan,23,"$174,747","$4,019,193"
17,18,18,Casey Wittenberg,1,"$163,594","$163,594"
18,19,19,Ernie Els,22,"$156,959","$3,453,117"
19,20,20,Sergio Garcia,16,"$156,882","$2,510,115"
20,21,21,Keegan Bradley,25,"$156,426","$3,910,658"
21,22,22,Webb Simpson,22,"$156,216","$3,436,758"
22,23,23,Jim Furyk,24,"$150,991","$3,623,804"
23,24,24,Graeme McDowell,16,"$150,517","$2,408,279"
24,25,25,Carl Pettersson,26,"$136,102","$3,538,655"
25,26,26,Rickie Fowler,23,"$133,317","$3,066,292"
26,27,27,Ben Curtis,19,"$131,271","$2,494,152"
27,28,28,Bo Van Pelt,24,"$126,812","$3,043,509"
28,29,29,Robert Garrigus,26,"$123,328","$3,206,530"
29,30,30,Ryan Moore,24,"$119,122","$2,858,943"
30,31,31,Nick Watney,26,"$117,085","$3,044,223"
31,32,32,Ian Poulter,15,"$114,351","$1,715,271"
32,33,33,Jonas Blixt,21,"$107,414","$2,255,695"
33,34,34,Bill Haas,23,"$102,171","$2,349,950"
34,35,35,Martin Laird,22,"$98,767","$2,172,883"
35,36,36,Scott Piercy,28,"$96,400","$2,699,205"
36,37,37,John Huh,28,"$96,146","$2,692,113"
37,38,38,Thorbjørn Olesen,2,"$88,121","$176,243"
38,39,39,David Toms,19,"$87,285","$1,658,428"
39,40,40,John Senden,22,"$87,120","$1,916,651"
40,41,41,Kyle Stanley,27,"$87,105","$2,351,857"
41,42,42,Padraig Harrington,18,"$85,903","$1,546,271"
42,43,43,Mark Wilson,25,"$85,791","$2,144,780"
43,44,44,Marc Leishman,23,"$84,076","$1,933,760"
44,45,45,Johnson Wagner,27,"$82,407","$2,225,006"
45,46,46,Kevin Na,25,"$81,197","$2,029,942"
46,47,47,Steven Alker,1,"$79,276","$79,276"
47,48,48,Matt Every,25,"$78,886","$1,972,165"
48,49,49,Andres Gonzales,1,"$78,780","$78,780"
49,50,50,Jonathan Byrd,21,"$76,989","$1,616,789"
50,51,51,Peter Hanson,11,"$75,929","$835,221"
51,52,52,Ben Crane,23,"$73,972","$1,701,364"
52,53,53,Charlie Wi,25,"$73,815","$1,845,396"
53,54,54,Charl Schwartzel,16,"$71,177","$1,138,844"
54,55,55,Luke Guthrie,4,"$71,168","$284,672"
55,56,56,Tim Clark,20,"$70,351","$1,407,028"
56,57,57,Tadd Fujikawa,1,"$69,025","$69,025"
57,58,58,Jason Day,17,"$67,248","$1,143,232"
58,59,59,Dicky Pride,19,"$66,300","$1,259,711"
59,60,60,Brendon de Jonge,31,"$65,008","$2,015,251"
60,61,61,Jamie Donaldson,4,"$64,458","$257,834"
61,62,62,Thomas Aiken,4,"$64,294","$257,179"
62,63,63,Bud Cauley,28,"$63,374","$1,774,478"
63,64,64,Geoff Ogilvy,20,"$62,761","$1,255,223"
64,65,65,Ryan Palmer,24,"$62,550","$1,501,214"
65,66,66,Charlie Beljan,22,"$62,433","$1,373,528"
66,67,67,Kevin Stadler,25,"$61,841","$1,546,036"
67,68,68,James Morrison,1,"$60,044","$60,044"
68,69,69,Aaron Watkins,2,"$59,484","$118,969"
69,70,70,Vijay Singh,27,"$58,752","$1,586,304"
70,71,71,Jimmy Walker,28,"$58,514","$1,638,419"
71,72,72,Seung-Yul Noh,28,"$58,205","$1,629,750"
72,73,73,Nicolas Colsaerts,9,"$57,612","$518,510"
73,74,74,John Rollins,26,"$57,275","$1,489,155"
74,75,75,Michael Thompson,25,"$56,334","$1,408,373"
75,76,76,Freddie Jacobson,17,"$56,087","$953,493"
76,77,77,"Ted Potter, Jr.",25,"$55,326","$1,383,170"
77,78,78,Aaron Baddeley,22,"$55,261","$1,215,753"
78,79,79,Jeff Overton,29,"$53,919","$1,563,670"
79,80,80,Tom Gillis,23,"$53,828","$1,238,058"
80,T81,T81,Morgan Hoffmann,1,"$53,168","$53,168"
