,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Jim Furyk,85,3.1,28,905,+0.071
1,2,2,Richard Lee,71,4.0,32,795,+0.219
2,3,3,Bubba Watson,68,4.2,30,709,+0.333
3,T4,T4,Blake Adams,107,4.3,52,1222,+0.423
4,T4,T4,Billy Horschel,63,4.3,29,667,+0.172
5,T4,T4,Kyle Thompson,51,4.3,22,512,+0.409
6,T7,T7,Graham DeLaet,79,4.5,44,983,+0.227
7,T7,T7,Billy Mayfair,90,4.5,48,1075,+0.271
8,T7,T7,Rory McIlroy,60,4.5,25,556,+0.280
9,T7,T7,Ian Poulter,57,4.5,24,529,-0.042
10,T11,T11,Ben Curtis,62,4.6,31,669,+0.161
11,T11,T11,J.B. Holmes,90,4.6,49,1062,+0.204
12,T11,T11,Jerry Kelly,84,4.6,47,1013,+0.319
13,T11,T11,Kyle Stanley,86,4.6,45,973,+0.378
14,T15,T15,Ángel Cabrera,54,4.7,24,511,+0.167
15,T15,T15,Tim Clark,60,4.7,33,695,+0.242
16,T17,T17,Arjun Atwal,79,4.8,44,914,+0.114
17,T17,T17,John Daly,50,4.8,25,520,+0.360
18,T17,T17,Robert Garrigus,89,4.8,49,1022,+0.102
19,T17,T17,Tiger Woods,69,4.8,32,666,+0.031
20,T21,T21,Jason Bohn,81,4.9,45,914,+0.156
21,T21,T21,Alexandre Rocha,62,4.9,34,698,+0.088
22,T21,T21,John Rollins,81,4.9,48,984,+0.229
23,T21,T21,Patrick Sheehan,58,4.9,30,615,+0.267
24,T25,T25,Keegan Bradley,90,5.0,49,985,+0.245
25,T25,T25,Webb Simpson,77,5.0,46,917,+0.109
26,T27,T27,Charlie Beljan,61,5.1,30,593,+0.333
27,T27,T27,Ken Duke,104,5.1,64,1250,+0.406
28,T27,T27,Bob Estes,78,5.1,46,897,+0.130
29,T30,T30,Cameron Beckman,81,5.2,50,954,+0.240
30,T30,T30,Justin Leonard,79,5.2,49,944,+0.347
31,T30,T30,D.A. Points,88,5.2,58,1116,+0.259
32,T30,T30,Heath Slocum,93,5.2,54,1043,+0.204
33,T30,T30,Daniel Summerhays,81,5.2,49,946,+0.163
34,T35,T35,Jason Day,57,5.3,34,643,+0.147
35,T35,T35,Tom Pernice Jr.,62,5.3,38,715,+0.316
36,T35,T35,Scott Stallings,78,5.3,50,937,+0.340
37,T38,T38,Zach Johnson,95,5.4,55,1028,+0.218
38,T38,T38,Colt Knost,79,5.4,50,929,+0.460
39,T38,T38,Davis Love III,64,5.4,39,719,+0.026
40,T38,T38,John Mallinger,74,5.4,47,871,+0.149
41,T42,T42,Brian Davis,91,5.5,60,1095,+0.183
42,T42,T42,Jason Dufner,83,5.5,49,886,+0.163
43,T42,T42,Dustin Johnson,70,5.5,40,725,+0.350
44,T42,T42,Jason Kokrak,79,5.5,52,945,+0.212
45,T42,T42,Bryce Molder,83,5.5,54,986,+0.222
46,T42,T42,Kevin Na,80,5.5,50,904,+0.400
47,T42,T42,Henrik Stenson,51,5.5,32,583,+0.281
48,T42,T42,Camilo Villegas,79,5.5,55,1008,+0.273
49,T42,T42,Steve Wheatcroft,56,5.5,32,586,+0.313
50,T42,T42,Charlie Wi,86,5.5,55,1004,+0.273
51,T52,T52,Chris Couch,61,5.6,42,745,+0.238
52,T52,T52,Rickie Fowler,84,5.6,51,914,+0.039
53,T52,T52,Sergio Garcia,57,5.6,34,609,+0.206
54,T52,T52,Nick O'Hern,78,5.6,52,935,+0.250
55,T52,T52,Kevin Streelman,89,5.6,60,1066,+0.250
56,T52,T52,Brendon Todd,78,5.6,48,864,+0.188
57,T58,T58,Hunter Haas,69,5.7,41,721,+0.317
58,T58,T58,John Huh,99,5.7,68,1185,+0.426
59,T58,T58,Rocco Mediate,70,5.7,46,805,+0.326
60,T58,T58,Dicky Pride,62,5.7,39,680,+0.077
61,T58,T58,Jhonattan Vegas,77,5.7,54,951,+0.259
62,T63,T63,Will Claxton,99,5.8,69,1192,+0.101
63,T63,T63,Gavin Coles,72,5.8,46,793,+0.348
64,T63,T63,Russell Knox,72,5.8,45,778,+0.333
65,T63,T63,Charl Schwartzel,56,5.8,32,552,+0.125
66,T63,T63,Vijay Singh,99,5.8,65,1125,+0.046
67,T63,T63,Josh Teater,97,5.8,66,1146,+0.364
68,T63,T63,Lee Westwood,60,5.8,32,555,+0.406
69,T63,T63,Gary Woodland,70,5.8,42,725,+0.214
70,T71,T71,Ricky Barnes,92,5.9,67,1138,+0.254
71,T71,T71,Ben Crane,73,5.9,51,861,+0.275
72,T71,T71,Scott Dunlap,57,5.9,38,641,+0.211
73,T71,T71,John Merrick,83,5.9,59,995,+0.305
74,T71,T71,Scott Piercy,95,5.9,70,1178,-0.057
75,T71,T71,Kevin Stadler,85,5.9,57,972,+0.281
76,T71,T71,Brendan Steele,77,5.9,53,898,+0.302
