,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Brandt Snedeker,22,4100.0,2.0,7.0,,1600.0
1,2,2,Rory McIlroy,16,2827.0,4.0,10.0,1273.0,2500.0
2,3,3,Tiger Woods,19,2663.0,3.0,9.0,1437.0,2250.0
3,4,4,Nick Watney,25,2215.0,1.0,4.0,1885.0,2000.0
4,5,5,Phil Mickelson,22,2073.0,1.0,7.0,2027.0,1800.0
5,6,6,Justin Rose,19,1770.0,1.0,8.0,2330.0,270.0
6,7,7,Louis Oosthuizen,19,1635.0,,5.0,2465.0,1400.0
7,8,8,Dustin Johnson,19,1527.0,1.0,9.0,2573.0,1200.0
8,9,9,Luke Donald,17,1275.0,1.0,8.0,2825.0,400.0
9,10,10,Lee Westwood,15,1205.0,,7.0,2895.0,1000.0
10,11,11,Ryan Moore,23,1105.0,,7.0,2995.0,230.0
11,12,12,Zach Johnson,24,1073.0,2.0,6.0,3027.0,800.0
12,13,13,Bubba Watson,19,1005.0,1.0,7.0,3095.0,480.0
13,14,14,Jason Dufner,22,853.0,2.0,8.0,3247.0,600.0
14,15,15,Jim Furyk,23,790.0,,7.0,3310.0,340.0
15,16,16,Webb Simpson,22,785.0,1.0,7.0,3315.0,260.0
16,17,17,Sergio Garcia,16,733.0,1.0,3.0,3367.0,460.0
17,18,18,Matt Kuchar,22,707.0,1.0,9.0,3393.0,380.0
18,19,19,Hunter Mahan,23,693.0,2.0,5.0,3407.0,280.0
19,20,20,Steve Stricker,19,685.0,1.0,7.0,3415.0,440.0
20,21,21,Keegan Bradley,25,655.0,1.0,5.0,3445.0,420.0
21,22,22,Bo Van Pelt,24,647.0,,10.0,3453.0,320.0
22,23,23,Robert Garrigus,24,637.0,,7.0,3463.0,310.0
23,24,24,Carl Pettersson,26,613.0,1.0,6.0,3487.0,360.0
24,25,25,Adam Scott,16,560.0,,5.0,3540.0,300.0
25,26,26,Ernie Els,21,510.0,1.0,5.0,3590.0,290.0
26,27,27,Scott Piercy,27,483.0,1.0,3.0,3617.0,210.0
27,28,28,Rickie Fowler,23,475.0,1.0,5.0,3625.0,240.0
28,29,29,John Huh,27,460.0,1.0,4.0,3640.0,250.0
29,30,30,John Senden,22,445.0,,5.0,3655.0,220.0
30,31,31,Kyle Stanley,27,1492.0,1.0,2.0,6134.0,
31,32,32,Bill Haas,23,1471.0,1.0,3.0,6155.0,
32,33,33,Vijay Singh,24,1406.0,,4.0,6220.0,
33,34,34,Kevin Stadler,24,1403.0,,5.0,6223.0,
34,35,35,Greg Chalmers,25,1402.0,,1.0,6224.0,
35,36,36,Johnson Wagner,26,1386.0,1.0,4.0,6240.0,
36,37,37,Seung-Yul Noh,28,1379.0,,3.0,6247.0,
37,38,38,Bud Cauley,26,1342.0,,6.0,6284.0,
38,39,39,Ian Poulter,15,1280.0,,4.0,6346.0,
39,40,40,Tom Gillis,22,1277.0,,2.0,6349.0,
40,41,41,Ben Curtis,16,1230.0,1.0,3.0,6396.0,
41,42,42,Graeme McDowell,16,1222.0,,4.0,6404.0,
42,43,43,Padraig Harrington,18,1213.0,,3.0,6413.0,
43,44,44,Jeff Overton,26,1199.0,,3.0,6427.0,
44,45,45,Troy Matteson,29,1190.0,,3.0,6436.0,
45,46,46,Marc Leishman,23,1165.0,1.0,2.0,6461.0,
46,47,47,Geoff Ogilvy,20,1164.0,,1.0,6462.0,
47,48,48,J.B. Holmes,23,1153.0,,2.0,6473.0,
48,49,49,Chris Kirk,24,1152.0,,4.0,6474.0,
49,50,50,William McGirt,28,1125.0,,3.0,6501.0,
50,51,51,Brian Harman,27,1122.0,,1.0,6504.0,
51,52,52,Kevin Na,24,1095.0,,6.0,6531.0,
52,53,53,Graham DeLaet,23,1085.0,,3.0,6541.0,
53,54,54,Pat Perez,23,1073.0,,1.0,6553.0,
54,55,55,Ryan Palmer,22,1070.0,,4.0,6556.0,
55,56,56,Tim Clark,19,1065.0,,3.0,6561.0,
56,57,57,Brendon de Jonge,28,1065.0,,2.0,6561.0,
57,58,58,Bob Estes,22,1058.0,,2.0,6568.0,
58,59,59,Mark Wilson,24,1049.0,1.0,2.0,6577.0,
59,60,60,Charlie Wi,24,1043.0,,3.0,6583.0,
60,61,61,Charl Schwartzel,16,1041.0,,2.0,6585.0,
61,62,62,Jimmy Walker,26,1033.0,,4.0,6593.0,
62,63,63,D.A. Points,25,1027.0,,3.0,6599.0,
63,64,64,Martin Laird,22,1024.0,,3.0,6602.0,
64,65,65,Bryce Molder,23,1023.0,,2.0,6603.0,
65,66,66,Ben Crane,22,991.0,,4.0,6635.0,
66,67,67,Matt Every,22,979.0,,5.0,6647.0,
67,68,68,David Hearn,25,967.0,,2.0,6659.0,
68,69,69,Charley Hoffman,26,916.0,,2.0,6710.0,
69,70,70,Dicky Pride,17,884.0,,3.0,6742.0,
70,71,71,Jonas Blixt,17,820.0,,3.0,6806.0,
71,72,72,John Merrick,24,814.0,,2.0,6812.0,
72,73,73,Josh Teater,27,803.0,,3.0,6823.0,
73,74,74,John Rollins,23,800.0,,5.0,6826.0,
74,75,75,Scott Stallings,24,781.0,1.0,2.0,6845.0,
75,76,76,Ken Duke,27,776.0,,6.0,6850.0,
76,77,77,Roberto Castro,23,772.0,,1.0,6854.0,
77,78,78,Aaron Baddeley,21,770.0,,3.0,6856.0,
78,79,79,Harris English,24,762.0,,3.0,6864.0,
79,80,80,J.J. Henry,28,760.0,1.0,3.0,6866.0,
80,81,81,Sean O'Hair,21,744.0,,2.0,6882.0,
81,82,82,Jonathan Byrd,21,736.0,,5.0,6890.0,
82,83,83,Spencer Levin,26,735.0,,3.0,6891.0,
83,84,84,Charles Howell III,25,733.0,,1.0,6893.0,
84,85,85,Brian Davis,25,728.0,,4.0,6898.0,
85,86,86,George McNeill,23,724.0,1.0,1.0,6902.0,
86,87,87,Jason Day,15,712.0,,3.0,6914.0,
87,88,88,Greg Owen,23,704.0,,2.0,6922.0,
88,89,89,Ricky Barnes,25,696.0,,1.0,6930.0,
89,90,90,Cameron Tringale,23,689.0,,4.0,6937.0,
90,91,91,Blake Adams,29,674.0,,2.0,6952.0,
91,92,92,Michael Thompson,23,671.0,,2.0,6955.0,
92,93,93,"Ted Potter, Jr.",23,652.0,1.0,1.0,6974.0,
93,94,94,Tommy Gainey,29,631.0,,1.0,6995.0,
94,95,95,David Toms,18,623.0,,4.0,7003.0,
95,96,96,Sangmoon Bae,25,608.0,,2.0,7018.0,
96,97,97,Rory Sabbatini,25,602.0,,2.0,7024.0,
97,98,98,K.J. Choi,21,602.0,,2.0,7024.0,
98,99,99,Daniel Summerhays,22,573.0,,4.0,7053.0,
99,100,100,Martin Flores,26,562.0,,2.0,7064.0,
100,101,101,John Mallinger,22,543.0,,2.0,7083.0,
101,102,102,Will Claxton,24,530.0,,2.0,7096.0,
102,103,103,Gary Christian,24,529.0,,1.0,7097.0,
103,104,104,Chad Campbell,23,517.0,,2.0,7109.0,
104,105,105,Freddie Jacobson,16,513.0,,1.0,7113.0,
105,106,106,Andres Romero,20,506.0,,2.0,7120.0,
106,107,107,Rod Pampling,22,505.0,,1.0,7121.0,
107,108,108,Billy Mayfair,24,500.0,,1.0,7126.0,
108,109,109,Brian Gay,24,491.0,,2.0,7135.0,
109,110,110,Chris Stroud,24,484.0,,2.0,7142.0,
110,111,111,Henrik Stenson,13,462.0,,1.0,7164.0,
111,112,112,Kevin Streelman,23,462.0,,3.0,7164.0,
112,113,113,Troy Kelly,20,462.0,,1.0,7164.0,
113,114,114,Kevin Chappell,25,447.0,,1.0,7179.0,
114,115,115,Davis Love III,16,443.0,,2.0,7183.0,
115,116,116,Jeff Maggert,23,437.0,,1.0,7189.0,
116,117,117,Trevor Immelman,21,423.0,,,7203.0,
117,118,118,Robert Allenby,23,417.0,,2.0,7209.0,
118,119,119,James Driscoll,23,413.0,,2.0,7213.0,
119,120,120,Colt Knost,25,390.0,,2.0,7236.0,
120,121,121,Harrison Frazar,20,387.0,,2.0,7239.0,
121,122,122,Jerry Kelly,22,385.0,,,7241.0,
122,123,123,Boo Weekley,21,365.0,,2.0,7261.0,
123,124,124,Heath Slocum,25,365.0,,,7261.0,
124,125,125,Jason Bohn,24,363.0,,2.0,7263.0,
125,126,126,Jhonattan Vegas,22,361.0,,2.0,7265.0,
126,127,127,Y.E. Yang,20,351.0,,,7275.0,
127,128,128,Tim Herron,23,339.0,,,7287.0,
128,129,129,Bobby Gates,25,338.0,,1.0,7288.0,
129,130,130,Brendan Steele,20,334.0,,3.0,7292.0,
130,131,131,Retief Goosen,12,330.0,,2.0,7296.0,
131,132,132,Chez Reavie,23,327.0,,,7299.0,
132,133,133,David Mathis,25,322.0,,1.0,7304.0,
133,134,134,Gary Woodland,19,321.0,,,7305.0,
134,135,135,Chris DiMarco,25,316.0,,1.0,7310.0,
135,136,136,Vaughn Taylor,22,312.0,,,7314.0,
136,137,137,Erik Compton,22,311.0,,,7315.0,
137,138,138,Kyle Reifers,23,311.0,,,7315.0,
138,139,139,Stewart Cink,19,310.0,,,7316.0,
139,140,140,John Daly,12,298.0,,1.0,7328.0,
140,141,141,Kris Blanks,23,297.0,,,7329.0,
141,142,142,Bill Lunde,21,294.0,,,7332.0,
