,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Peter Hanson,11,367
1,2,2,Ryo Ishikawa,18,365
2,3,3,David Lynn,1,330
3,4,4,Nicolas Colsaerts,8,266
4,5,5,Luke Guthrie,3,181
5,6,6,Patrick Reed,9,154
6,7,7,John Peterson,8,142
7,8,8,Thomas Aiken,4,138
8,9,9,Martin Kaymer,8,136
9,10,10,Francesco Molinari,8,133
10,11,11,Miguel Angel Jiménez,6,125
11,12,12,Jamie Donaldson,4,120
12,13,13,Thorbjørn Olesen,2,110
13,14,14,Paul Lawrie,6,102
14,15,15,Patrick Cantlay,9,93
15,16,16,Thomas Bjørn,9,86
16,17,17,Scott Langley,4,77
17,18,18,Alex Noren,4,73
18,19,19,Casey Wittenberg,1,73
19,20,20,Joost Luiten,3,70
20,21,21,Simon Dyson,8,63
21,22,22,Branden Grace,6,59
22,23,23,Hunter Hamrick,3,58
23,24,24,Aaron Watkins,2,56
24,25,25,Jim Herman,2,56
25,26,26,Matthew Baldwin,2,54
26,27,27,Steven Alker,1,51
27,28,28,Tadd Fujikawa,1,51
28,29,29,Andres Gonzales,1,50
29,30,30,Alejandro Cañizares,3,48
30,31,31,Raphael Jacquelin,2,48
31,32,32,Anders Hansen,7,46
32,33,33,Ross Fisher,2,45
33,34,34,James Morrison,1,45
34,35,35,Jeff Quinney,1,42
35,T36,T36,K.T. Kim,11,39
36,T36,T36,Anirban Lahiri,1,39
37,T38,T38,Morgan Hoffmann,1,38
38,T38,T38,Alistair Presnell,1,38
39,T40,T40,Marcel Siem,3,33
40,T40,T40,Shawn Stefani,1,33
41,42,42,Gonzalo Fernandez-Castaño,7,32
42,43,43,Richard Sterne,1,30
43,44,44,Alvaro Quiros,8,29
44,45,45,Joseph Bramlett,1,27
45,46,46,Dustin Morris,1,26
46,T47,T47,Steve LeBrun,1,23
47,T47,T47,Matteo Manassero,3,23
48,49,49,Jonathan Randolph,1,23
49,T50,T50,Rafael Echenique,1,22
50,T50,T50,Justin Hicks,2,22
51,T50,T50,Randall Hutchison,1,22
52,T50,T50,Simon Khan,1,22
53,T50,T50,Pablo Larrazabal,3,22
54,55,55,Jung-gon Hwang,1,19
55,T56,T56,Hiroyuki Fujita,3,18
56,T56,T56,Jesse Mueller,1,18
57,T56,T56,Nicholas Thompson,2,18
58,T56,T56,Esteban Toledo,1,18
59,60,60,Derek Tolan,1,17
60,T61,T61,Darren Clarke,7,15
61,T61,T61,Doug LaBelle II,1,15
62,63,63,Yoshinori Fujimoto,2,15
63,64,64,Jeff Curl,3,14
64,65,65,Emiliano Grillo,1,13
65,66,66,Edoardo Molinari,1,13
66,67,67,Kelly Kraft,9,12
67,T68,T68,Jae-bum Park,1,10
68,T68,T68,Darron Stiles,1,10
69,T68,T68,Dale Whitnell,1,10
70,71,71,Koumei Oda,2,9
71,72,72,John Riegger,1,7
72,73,73,José de Jesús Rodríguez,1,7
73,74,74,Marc Warren,1,6
74,75,75,Lee Slattery,3,5
75,T76,T76,Brandon Brown,1,5
76,T76,T76,Marcus Fraser,3,5
77,78,78,Toru Taniguchi,4,3
78,79,79,Jake Sarnoff,1,2
79,T80,T80,Adilson da Silva,1,1
80,T80,T80,Jeev Milkha Singh,3,1
81,82,82,Sam Saunders,4,1
82,83,83,Mathias Grönberg,1,1
83,84,84,Ben Kohles,1,1
84,85,85,Alex Aragon,1,1
85,T86,T86,Brendan Jones,3,1
86,T86,T86,Toshinori Muto,3,1
87,T86,T86,Juvic Pagunsan,2,1
88,89,89,Matt Hill,1,1
89,T90,T90,Jonathan Fly,1,1
90,T90,T90,Tadahiro Takayama,4,1
91,T92,T92,Warren Bennett,1,1
92,T92,T92,Thongchai Jaidee,3,1
93,94,94,Diego Velásquez,1,1
94,95,95,Rafa Cabrera Bello,6,1
95,96,96,Scott Smith,2,1
