,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
0,1,,Rory McIlroy,468.81
1,2,,Luke Donald,363.46
2,3,,Justin Rose,322.33
3,4,,Lee Westwood,280.27
4,5,,Graeme McDowell,262.62
5,6,,Paul Lawrie,211.49
6,7,,Sergio Garcia,200.85
7,8,,Francesco Molinari,191.25
8,9,,Peter Hanson,189.32
9,10,,Martin Kaymer,172.26
10,11,,Ian Poulter,171.64
11,12,,Nicolas Colsaerts,161.67
12,13,,Rafa Cabrera Bello,144.2
13,14,,David Lynn,143.01
14,15,,Gonzalo Fernandez-Castaño,134.93
15,16,,Thomas Bjørn,129.34
16,17,,Marcel Siem,124.83
17,18,,Simon Dyson,112.84
18,19,,Padraig Harrington,107.4
19,20,,Freddie Jacobson,107.08
20,21,,Jamie Donaldson,106.84
21,22,,Martin Laird,101.61
22,23,,Robert Rock,99.86
23,24,,Bernd Wiesberger,97.53
24,25,,Joost Luiten,96.8
25,26,,Alvaro Quiros,94.28
26,27,,Michael Hoey,91.93
27,28,,Miguel Angel Jiménez,87.76
28,29,,Thorbjørn Olesen,82.84
29,30,,Richie Ramsay,80.2
30,31,,Alex Noren,78.79
31,32,,Shane Lowry,70.22
32,33,,Robert Karlsson,69.67
33,34,,Matteo Manassero,66.77
34,35,,Stephen Gallacher,65.2
35,36,,Paul Casey,64.4
36,37,,Henrik Stenson,64.33
37,38,,Danny Willett,64.15
38,39,,Søren Kjeldsen,61.2
39,40,,Grégory Havret,61.01
40,41,,Pablo Larrazabal,60.47
41,42,,Anders Hansen,56.92
42,43,,Ross Fisher,56.42
43,44,,Lee Slattery,53.68
44,45,,Julien Quesne,51.21
45,46,,Chris Wood,51.16
46,47,,Victor Dubuisson,49.87
47,48,,Marc Warren,49.64
48,49,,Romain Wattel,49.27
49,50,,Peter Lawrie,49.01
50,51,,Alejandro Cañizares,46.72
51,52,,Tom Lewis,46.54
52,53,,Anthony Wall,45.98
53,55,,Simon Wakefield,44.98
54,56,,Raphael Jacquelin,44.95
55,57,,James Morrison,44.84
56,58,,David Drysdale,44.55
57,59,,Sam Little,41.91
58,60,,Matthew Baldwin,41.43
59,61,,Tommy Fleetwood,39.83
60,62,,Fredrik Andersson Hed,39.39
61,63,,Magnus Carlsson,36.73
62,64,,George Murray,35.61
63,65,,Mark Foster,34.95
64,66,,Edoardo Molinari,34.42
65,67,,Eduardo De La Riva,33.47
66,68,,José Manuel Lara,32.6
67,69,,Paul McGinley,31.72
68,70,,Lorenzo Gagli,31.52
69,71,,Steve Webster,30.97
70,72,,Kenneth Ferrie,29.24
71,73,,Jean Baptiste Gonnet,28.83
72,74,,Andrea Pavan,28.7
73,75,,Christian Nilsson,28.08
74,76,,Grégory Bourdy,28.06
75,77,,Scott Jamieson,27.22
76,78,,Richard Finch,27.13
77,79,,Pelle Edberg,26.72
78,80,,Andreas Hartø,26.39
79,81,,Jorge Campillo,26.35
80,82,,Ricardo Santos,26.09
81,83,,Rhys Davies,25.58
82,84,,Thomas Levet,25.11
83,85,,Gary Orr,24.97
84,86,,Espen Kofstad,24.9
85,87,,David Howell,24.66
86,88,,Alessandro Tadini,24.52
87,89,,Johan Edfors,24.41
88,91,,Gary Lockerbie,24.15
89,92,,Peter Whiteford,24.07
90,93,,Phillip Price,23.98
91,95,,Oliver Wilson,23.93
92,97,,Sam Walker,23.81
93,98,,Robert-Jan Derksen,23.66
94,99,,Damian McGrane,23.62
95,101,,Rikard Karlberg,23.07
96,102,,Chris Doak,22.99
97,103,,Ignacio Garrido,22.96
98,104,,David Horsey,22.62
99,105,,Craig Lee,21.73
100,106,,Andrew Marshall,20.81
101,107,,Graeme Storm,20.66
102,108,,Philip Archer,19.65
103,109,,Joel Sjöholm,19.4
104,110,,Seve Benson,19.02
105,111,,Simon Thornton,18.86
106,112,,Richard McEvoy,18.71
107,114,,Raymond Russell,18.48
108,115,,Darren Clarke,18.38
109,116,,Gareth Maybin,18.21
110,117,,Mikael Lundberg,18.2
111,119,,Alex Cejka,18.09
112,120,,José María Olazábal,17.23
113,121,,Mikko Ilonen,17.19
114,122,,Robert Coles,17.02
115,124,,Rich Bland,16.48
116,125,,Niclas Fasth,16.44
117,126,,Soren Hansen,16.25
118,128,,Alexandre Kaleka,16.2
119,129,,Andrew Johnston,15.93
120,130,,Carlos Del Moral,15.71
121,132,,Mikko Korhonen,15.48
122,133,,Alastair Forsyth,15.21
123,135,,Michael Lorenzo-Vera,15.1
124,136,,Gary Boyd,15.01
125,137,,Jamie Elson,14.4
126,138,,Thomas Norret,14.31
127,139,,Maarten Lafeber,14.07
128,140,,Wil Besseling,13.16
129,141,,Julien Guerrier,13.06
130,142,,Simon Khan,12.94
131,143,,Markus Brier,12.34
132,144,,Alvaro Velasco,12.23
133,145,,Maximilian Kieffer,12.0
134,147,,Victor Riu,11.89
135,148,,Nick Dougherty,11.86
136,149,,Callum MaCaulay,11.8
137,150,,Oscar Floren,11.63
138,151,,Jose-Filipe Lima,11.43
139,152,,Tim Sluiter,11.23
140,153,,Colin Montgomerie,10.96
141,155,,Pierre Relecom,10.96
142,156,,Federico Colombo,10.53
143,158,,Matt Haines,10.13
144,159,,Steven O'Hara,9.93
145,160,,Knut Borsheim,9.82
146,161,,Bradley Dredge,9.29
147,162,,Richard Johnson,8.52
148,164,,Klas Eriksson,8.46
149,166,,Jeppe Huldahl,8.42
150,167,,Lasse Jensen,8.4
151,168,,Stephen Dodd,8.33
152,169,,Paul Waring,8.15
153,170,,Martin Wiegele,8.06
154,172,,David Higgins,7.68
155,173,,Matthew Southgate,7.47
156,174,,Oliver Fisher,7.39
157,176,,Lloyd Saltman,7.17
158,178,,Martin Rominger,6.95
159,180,,John Parry,6.85
160,182,,Roope Kakko,6.76
161,184,,Steven Tiley,6.66
162,185,,Peter Hedblom,6.46
163,186,,Chris Gane,6.31
164,187,,Robert Dinwiddie,6.26
165,188,,Michael Jonzon,6.26
166,190,,Pedro Oriol,6.25
167,191,,Christophe Brazillier,6.16
168,193,,Peter Baker,6.03
169,194,,Reinier Saxton,6.02
170,195,,Alan McLean,6.0
171,196,,Florian Pragant,5.78
172,198,,Mathias Grönberg,5.74
173,199,,Floris De Vries,5.71
174,200,,David Dixon,5.67
