,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Rory McIlroy,16,31.45,2092.0,6650,2.0,7.0
1,2,2,Tiger Woods,19,27.84,2269.0,8150,3.0,6.0
2,3,3,Bubba Watson,19,22.08,1777.0,8050,1.0,5.0
3,4,4,Jason Dufner,22,20.79,2110.0,10150,2.0,8.0
4,5,5,Zach Johnson,25,18.96,2019.0,10650,2.0,6.0
5,6,6,Luke Donald,17,18.1,1294.0,7150,1.0,6.0
6,7,7,Steve Stricker,19,17.86,1456.0,8150,1.0,7.0
7,8,8,Justin Rose,19,17.5,1426.0,8150,1.0,7.0
8,9,9,Hunter Mahan,23,17.13,1739.0,10150,2.0,4.0
9,10,10,Matt Kuchar,22,16.58,1600.0,9650,1.0,8.0
10,11,11,Ernie Els,22,16.07,1447.0,9000,1.0,5.0
11,12,12,Ben Curtis,19,15.83,997.0,6300,1.0,3.0
12,13,13,Webb Simpson,22,14.99,1424.0,9500,1.0,6.0
13,14,14,Keegan Bradley,25,14.98,1670.0,11150,1.0,5.0
14,15,15,Carl Pettersson,26,14.77,1691.0,11450,1.0,6.0
15,16,16,Adam Scott,16,14.52,966.0,6650,,3.0
16,17,17,Graeme McDowell,16,14.51,1037.0,7150,,4.0
17,18,18,Phil Mickelson,22,14.3,1373.0,9600,1.0,5.0
18,19,19,Dustin Johnson,19,13.8,1097.0,7950,1.0,5.0
19,20,20,Sergio Garcia,16,13.08,935.0,7150,1.0,2.0
20,21,21,Jim Furyk,24,12.71,1284.0,10100,,5.0
21,22,22,Brandt Snedeker,22,12.51,1194.0,9550,1.0,4.0
22,23,23,Rickie Fowler,23,12.27,1246.0,10150,1.0,5.0
23,24,24,Lee Westwood,15,11.6,713.0,6150,,5.0
24,25,25,Louis Oosthuizen,19,11.38,928.0,8150,,3.0
25,26,26,Robert Garrigus,26,11.1,1155.0,10400,,5.0
26,27,27,Bill Haas,23,11.09,1181.0,10650,1.0,3.0
27,28,28,Bo Van Pelt,24,11.03,1175.0,10650,,8.0
28,29,29,Scott Piercy,28,11.01,1304.0,11850,1.0,3.0
29,30,30,Ian Poulter,15,10.49,698.0,6650,,4.0
30,31,31,Willie Wood,1,10.4,26.0,250,,
31,32,32,Johnson Wagner,27,10.05,1181.0,11750,1.0,4.0
32,33,33,Dicky Pride,19,9.77,586.0,6000,,3.0
33,34,34,John Huh,28,9.72,1123.0,11550,1.0,4.0
34,35,35,Marc Leishman,23,9.69,1003.0,10350,1.0,2.0
35,36,36,Martin Laird,22,9.62,976.0,10150,,3.0
36,37,37,Kyle Stanley,27,9.31,1177.0,12650,1.0,2.0
37,38,38,John Senden,22,8.98,867.0,9650,,5.0
38,39,39,Mark Wilson,25,8.84,986.0,11150,1.0,2.0
39,40,40,Ben Crane,23,8.53,849.0,9950,,4.0
40,41,41,Charlie Wi,25,8.34,901.0,10800,,3.0
41,42,42,Padraig Harrington,18,8.33,646.0,7750,,3.0
42,43,43,Tim Clark,20,8.32,707.0,8500,,2.0
43,44,44,Bud Cauley,28,7.87,902.0,11450,,5.0
44,45,45,Kevin Na,25,7.81,866.0,11100,,6.0
45,46,46,Matt Every,25,7.73,711.0,9200,,5.0
46,47,47,Ryan Palmer,24,7.6,745.0,9800,,4.0
47,48,48,Brett Quigley,1,7.4,37.0,500,,
48,49,49,Charl Schwartzel,16,7.36,519.0,7050,,2.0
49,50,50,Len Mattiace,1,7.3,18.0,250,,
50,51,51,Jonathan Byrd,21,7.21,732.0,10150,,5.0
51,52,52,John Rollins,26,7.01,732.0,10450,,5.0
52,53,53,Seung-Yul Noh,28,6.98,827.0,11850,,3.0
53,54,54,David Toms,19,6.88,623.0,9050,,4.0
54,55,55,Geoff Ogilvy,20,6.82,624.0,9150,,1.0
55,56,56,Corey Pavin,2,6.7,67.0,1000,,
56,57,57,Brendon de Jonge,31,6.68,815.0,12200,,2.0
57,58,58,Henrik Stenson,15,6.63,394.0,5950,,1.0
58,59,59,Sean O'Hair,24,6.57,644.0,9800,,2.0
59,60,60,Ryan Moore,24,6.55,635.0,9700,,4.0
60,61,61,Jimmy Walker,28,6.52,763.0,11700,,4.0
61,62,62,Nick Watney,26,6.51,726.0,11150,,3.0
62,63,63,Jonas Blixt,21,6.49,470.0,7250,,3.0
63,64,64,Cameron Tringale,26,6.44,689.0,10700,,4.0
64,65,65,D.A. Points,29,6.38,714.0,11200,,3.0
65,66,66,Ken Duke,30,6.36,776.0,12200,,6.0
66,67,67,Brian Davis,29,6.35,728.0,11450,,4.0
67,68,68,Kevin Stadler,25,6.29,620.0,9850,,3.0
68,69,69,Aaron Baddeley,22,6.26,635.0,10150,,3.0
69,70,70,"Ted Potter, Jr.",25,6.16,647.0,10500,1.0,1.0
70,71,71,Freddie Jacobson,17,6.14,500.0,8150,,1.0
71,72,72,Jarrod Lyle,7,6.13,199.0,3250,,1.0
72,73,73,Pat Perez,23,6.06,603.0,9950,,1.0
73,74,74,Vijay Singh,27,6.05,669.0,11050,,3.0
74,75,75,Spencer Levin,26,5.98,735.0,12300,,3.0
75,76,76,Daniel Summerhays,26,5.97,567.0,9500,,4.0
76,77,77,Michael Thompson,25,5.95,634.0,10650,,2.0
77,78,78,J.B. Holmes,25,5.92,568.0,9600,,2.0
78,79,79,Jason Day,17,5.91,417.0,7050,,3.0
79,80,80,K.J. Choi,21,5.88,597.0,10150,,2.0
80,81,81,J.J. Henry,28,5.84,713.0,12200,1.0,3.0
81,82,82,Jeff Overton,29,5.82,667.0,11450,,2.0
82,83,83,George McNeill,25,5.73,599.0,10450,1.0,1.0
83,84,84,Chris Kirk,27,5.69,574.0,10100,,4.0
84,85,85,Charles Howell III,29,5.64,666.0,11800,,1.0
85,86,86,Davis Love III,20,5.61,443.0,7900,,2.0
86,87,87,Andres Romero,22,5.51,506.0,9200,,2.0
87,88,88,Charley Hoffman,27,5.49,628.0,11450,,2.0
88,89,89,John Merrick,26,5.39,572.0,10600,,2.0
89,90,90,Greg Owen,27,5.37,556.0,10350,,2.0
90,91,91,Tom Gillis,23,5.33,511.0,9600,,1.0
91,92,92,John Mallinger,25,5.25,543.0,10350,,2.0
92,T93,T93,Troy Matteson,32,5.22,662.0,12700,,3.0
93,T93,T93,Rory Sabbatini,29,5.22,602.0,11550,,2.0
94,95,95,Greg Chalmers,25,5.14,589.0,11450,,
95,96,96,Fred Couples,4,5.13,108.0,2100,,
96,97,97,Guy Boros,2,5.1,26.0,500,,
97,98,98,William McGirt,30,5.08,602.0,11850,,2.0
98,99,99,Retief Goosen,12,5.03,330.0,6550,,2.0
99,T100,T100,John Daly,15,5.01,298.0,5950,,1.0
100,T100,T100,Scott Stallings,27,5.01,554.0,11050,1.0,2.0
101,102,102,Bryce Molder,25,4.98,495.0,9950,,1.0
102,T103,T103,Sangmoon Bae,25,4.97,604.0,12150,,2.0
103,T103,T103,Roberto Castro,27,4.97,477.0,9600,,1.0
104,105,105,Will Claxton,28,4.93,530.0,10750,,2.0
105,106,106,Harris English,27,4.9,549.0,11200,,3.0
106,107,107,Lee Janzen,12,4.87,219.0,4500,,1.0
107,108,108,Billy Horschel,17,4.81,289.0,6000,,1.0
108,109,109,Martin Flores,30,4.79,556.0,11600,,2.0
109,110,110,Chad Campbell,27,4.72,517.0,10950,,2.0
110,111,111,Bob Estes,23,4.67,458.0,9800,,1.0
111,112,112,Blake Adams,32,4.5,599.0,13300,,2.0
112,113,113,Graham DeLaet,23,4.48,441.0,9850,,2.0
113,T114,T114,Joe Durant,14,4.45,205.0,4600,,1.0
114,T114,T114,Troy Kelly,23,4.45,394.0,8850,,1.0
115,116,116,Chris Stroud,28,4.32,484.0,11200,,2.0
116,117,117,Ricky Barnes,28,4.31,489.0,11350,,1.0
117,T118,T118,Mark Calcavecchia,3,4.27,68.0,1600,,1.0
118,T118,T118,Josh Teater,30,4.27,506.0,11850,,3.0
119,120,120,Harrison Frazar,20,4.2,387.0,9200,,2.0
120,121,121,Brian Harman,30,4.13,493.0,11950,,
121,122,122,David Hearn,28,4.07,432.0,10600,,1.0
122,123,123,Boo Weekley,25,4.05,365.0,9000,,2.0
123,124,124,Alex Cejka,12,4.04,166.0,4100,,
124,125,125,Gary Christian,28,4.02,422.0,10500,,1.0
125,126,126,Glen Day,3,3.98,40.0,1000,,
126,127,127,Duffy Waldorf,11,3.96,168.0,4250,,
127,T128,T128,Brian Gay,28,3.91,424.0,10850,,2.0
128,T128,T128,Trevor Immelman,24,3.91,411.0,10500,,
129,T130,T130,Jerry Kelly,26,3.9,385.0,9850,,
130,T130,T130,Jeff Maggert,27,3.9,433.0,11100,,1.0
131,T130,T130,Rod Pampling,26,3.9,398.0,10200,,1.0
132,133,133,Kevin Streelman,26,3.87,424.0,10950,,3.0
133,134,134,Michael Allen,3,3.81,52.0,1350,,1.0
134,135,135,Robert Allenby,27,3.76,417.0,11100,,2.0
135,136,136,James Driscoll,27,3.73,408.0,10950,,2.0
136,137,137,Kevin Chappell,29,3.71,447.0,12050,,1.0
137,138,138,Steve Lowery,1,3.7,9.0,250,,
138,139,139,Chris Riley,12,3.61,144.0,4000,,
139,140,140,Skip Kendall,5,3.55,71.0,2000,,
140,141,141,Billy Mayfair,28,3.54,393.0,11100,,1.0
141,142,142,Tommy Gainey,32,3.45,464.0,13450,,1.0
142,143,143,Brendan Steele,24,3.44,334.0,9700,,3.0
143,144,144,Robert Karlsson,17,3.41,239.0,7000,,
144,T145,T145,Colt Knost,29,3.4,390.0,11450,,2.0
