,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,J.B. Holmes,90,"89' 11""",Waste Management Phoenix Open,4,8
1,2,2,Seung-Yul Noh,105,"85' 8""",HP Byron Nelson Championship,2,11
2,3,3,James Driscoll,83,"83' 8""",The Honda Classic,2,11
3,4,4,Scott Brown,65,"78' 6""",Wells Fargo Championship,2,18
4,5,5,Zach Johnson,95,"76' 10""",Wells Fargo Championship,1,17
5,6,6,Gus Ulrich,2,"76' 9""",Wyndham Championship,2,2
6,7,7,Padraig Harrington,67,"75' 0""",Transitions Championship,1,17
7,8,8,Billy Mayfair,90,"73' 0""",RBC Canadian Open,1,12
8,9,9,Troy Kelly,68,"71' 9""",Justin Timberlake Shriners Hospitals for Children Open,1,16
9,10,10,Jhonattan Vegas,77,"70' 5""",Transitions Championship,1,13
10,11,11,Garth Mulroy,59,"70' 1""",The Greenbrier Classic,4,11
11,12,12,Carl Paulson,7,"69' 10""",The McGladrey Classic,3,13
12,13,13,Cameron Beckman,81,"69' 8""",Zurich Classic of New Orleans,2,15
13,14,14,Peter Lonard,10,"69' 7""",FedEx St. Jude Classic,1,14
14,T15,15,Ben Crane,73,"69' 1""",Waste Management Phoenix Open,2,15
15,T15,16,J.J. Killeen,101,"69' 1""",FedEx St. Jude Classic,2,17
16,17,17,Charles Howell III,98,"68' 10""",The McGladrey Classic,3,7
17,18,4,Scott Brown,65,"68' 8""",The Greenbrier Classic,1,12
18,19,19,Danny Lee,74,"68' 4""",FedEx St. Jude Classic,2,17
19,20,20,Tom Gillis,75,"67' 7""",BMW Championship,4,18
20,T21,22,Gavin Coles,72,"67' 2""",Children's Miracle Network Hospitals Classic,4,18
21,T21,21,Andres Romero,68,"67' 2""",the Memorial Tournament presented by Nationwide Insurance,3,4
22,23,23,Mathew Goggin,65,"67' 0""",Frys.com Open,4,3
23,24,24,Roberto Castro,92,"66' 8""",The Greenbrier Classic,1,3
24,T25,22,Gavin Coles,72,"66' 0""",True South Classic,2,1
25,T25,25,Robert Garrigus,89,"66' 0""",Transitions Championship,4,5
26,27,27,Kyle Reifers,86,"65' 8""",Farmers Insurance Open,2,17
27,28,28,Nick Watney,97,"65' 5""",World Golf Championships-Cadillac Championship,1,3
28,29,29,Will Claxton,99,"64' 10""",Wyndham Championship,3,14
29,30,30,Dustin Johnson,70,"64' 1""",AT&T Pebble Beach National Pro-Am,1,6
30,T31,31,Rod Pampling,88,"63' 9""",The Greenbrier Classic,1,8
31,T31,32,Luke Guthrie,14,"63' 9""",John Deere Classic,1,2
32,33,33,Jason Bohn,81,"63' 7""",HP Byron Nelson Championship,1,15
33,34,34,Phil Mickelson,79,"62' 10""",Wells Fargo Championship,4,17
34,35,35,Webb Simpson,77,"62' 8""",Wells Fargo Championship,1,12
35,T36,37,Harrison Frazar,56,"62' 6""",HP Byron Nelson Championship,2,17
36,T36,2,Seung-Yul Noh,105,"62' 6""",Arnold Palmer Invitational presented by MasterCard,4,10
37,38,37,Harrison Frazar,56,"62' 4""",Sony Open in Hawaii,3,5
38,39,39,John Rollins,81,"62' 2""",The McGladrey Classic,1,3
39,40,40,Jamie Lovemark,44,"61' 11""",Shell Houston Open,1,2
40,41,41,Graham DeLaet,79,"61' 0""",HP Byron Nelson Championship,3,18
41,42,42,Juvic Pagunsan,8,"60' 9""",World Golf Championships-Cadillac Championship,4,6
42,43,43,Russell Knox,72,"60' 7""",Zurich Classic of New Orleans,1,4
43,44,25,Robert Garrigus,89,"60' 2""",BMW Championship,4,13
44,45,29,Will Claxton,99,"60' 0""",The McGladrey Classic,3,17
45,46,46,Jonas Blixt,72,"59' 11""",HP Byron Nelson Championship,3,1
46,47,47,Troy Matteson,100,"59' 10""",John Deere Classic,4,17
47,T48,28,Nick Watney,97,"59' 7""",BMW Championship,2,13
48,T48,46,Jonas Blixt,72,"59' 7""",Sony Open in Hawaii,1,2
49,T48,49,Blake Adams,107,"59' 7""",THE PLAYERS Championship,2,2
50,51,51,Matt Bettencourt,80,"59' 3""",Zurich Classic of New Orleans,1,3
51,T52,52,Ángel Cabrera,54,"58' 11""",Waste Management Phoenix Open,1,3
52,T52,46,Jonas Blixt,72,"58' 11""",Wells Fargo Championship,1,7
