,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Scott Brown,24,100.0
1,2,2,Luke Donald,17,93.33
2,3,3,Mark Anderson,25,91.67
3,4,4,Jim Furyk,24,89.47
4,5,5,Bubba Watson,19,86.67
5,6,6,Dicky Pride,19,83.33
6,7,7,Justin Rose,19,81.25
7,8,8,Ian Poulter,15,78.57
8,9,9,Kris Blanks,23,77.78
9,10,10,Troy Matteson,32,76.47
10,T11,T11,Jason Day,17,75.0
11,T11,T11,Carl Pettersson,26,75.0
12,13,13,Robert Garrigus,26,73.68
13,T14,T14,Jerry Kelly,26,73.33
14,T14,T14,Michael Thompson,25,73.33
15,T16,T16,Jeff Overton,29,72.73
16,T16,T16,Henrik Stenson,15,72.73
17,T16,T16,David Toms,19,72.73
18,T19,T19,Ángel Cabrera,20,71.43
19,T19,T19,John Rollins,26,71.43
20,T21,T21,William McGirt,30,70.59
21,T21,T21,Geoff Ogilvy,20,70.59
22,T23,T23,Robert Allenby,27,70.0
23,T23,T23,Matt Bettencourt,31,70.0
24,T23,T23,John Daly,15,70.0
25,T23,T23,Colt Knost,29,70.0
26,T27,T27,Louis Oosthuizen,19,69.23
27,T27,T27,Lee Westwood,15,69.23
28,29,29,Dustin Johnson,19,68.75
29,30,30,Rickie Fowler,23,68.42
30,T31,T31,Charlie Beljan,22,66.67
31,T31,T31,K.J. Choi,21,66.67
32,T31,T31,Charley Hoffman,27,66.67
33,T31,T31,Rory McIlroy,16,66.67
34,T31,T31,Brandt Snedeker,22,66.67
35,T31,T31,Scott Stallings,27,66.67
36,T31,T31,Kyle Stanley,27,66.67
37,T31,T31,Kyle Thompson,22,66.67
38,T31,T31,Boo Weekley,25,66.67
39,T31,T31,Charlie Wi,25,66.67
40,T41,T41,Martin Flores,30,64.71
41,T41,T41,Brian Gay,28,64.71
42,T41,T41,George McNeill,25,64.71
43,T41,T41,Kevin Na,25,64.71
44,T41,T41,Kevin Stadler,25,64.71
45,T41,T41,Steve Stricker,19,64.71
46,T47,T47,John Huh,28,63.64
47,T47,T47,Davis Love III,20,63.64
48,T49,T49,Roberto Castro,27,63.16
49,T49,T49,Josh Teater,30,63.16
50,T51,T51,Brian Davis,29,62.5
51,T51,T51,Bob Estes,23,62.5
52,T51,T51,Spencer Levin,26,62.5
53,T51,T51,Seung-Yul Noh,28,62.5
54,T55,T55,Sergio Garcia,16,61.54
55,T55,T55,John Mallinger,25,61.54
56,T57,T57,Ricky Barnes,28,61.11
57,T57,T57,Phil Mickelson,22,61.11
58,T59,T59,Aaron Baddeley,22,60.0
59,T59,T59,Keegan Bradley,25,60.0
60,T59,T59,Hunter Haas,24,60.0
61,T59,T59,Robert Karlsson,17,60.0
62,T59,T59,Kevin Kisner,24,60.0
63,T59,T59,John Merrick,26,60.0
64,T59,T59,Ryan Moore,24,60.0
65,T59,T59,Garth Mulroy,20,60.0
66,T59,T59,D.A. Points,29,60.0
67,T68,T68,Bill Haas,23,58.82
68,T68,T68,J.J. Henry,28,58.82
69,T68,T68,Rod Pampling,26,58.82
70,T71,T71,Graeme McDowell,16,58.33
71,T71,T71,Andres Romero,22,58.33
72,T71,T71,Rory Sabbatini,29,58.33
73,T74,T74,David Hearn,28,57.89
74,T74,T74,Scott Piercy,28,57.89
75,T74,T74,Bo Van Pelt,24,57.89
76,T77,T77,Blake Adams,32,57.14
77,T77,T77,Jonas Blixt,21,57.14
78,T77,T77,Chad Campbell,27,57.14
79,T77,T77,Bud Cauley,28,57.14
80,T77,T77,Ben Crane,23,57.14
81,T77,T77,Harrison Frazar,20,57.14
82,T77,T77,Brendan Steele,24,57.14
83,T77,T77,Chris Stroud,28,57.14
84,85,85,Bryce Molder,25,56.25
85,T86,T86,Chris Couch,21,55.56
86,T86,T86,Mathew Goggin,23,55.56
87,88,88,Chris Kirk,27,55.0
88,T89,T89,Tim Clark,20,54.55
89,T89,T89,Jimmy Walker,28,54.55
90,T89,T89,Nick Watney,26,54.55
91,T92,T92,Trevor Immelman,24,53.85
92,T92,T92,Vaughn Taylor,26,53.85
93,T94,T94,Tom Gillis,23,53.33
94,T94,T94,Martin Laird,22,53.33
95,T94,T94,Chez Reavie,26,53.33
96,T94,T94,Tiger Woods,19,53.33
97,98,98,Heath Slocum,29,52.94
98,99,99,J.B. Holmes,25,52.63
99,100,100,Vijay Singh,27,52.17
100,T101,T101,Michael Bradley,23,50.0
101,T101,T101,Stewart Cink,22,50.0
102,T101,T101,Gavin Coles,23,50.0
103,T101,T101,James Driscoll,27,50.0
104,T101,T101,Ernie Els,22,50.0
105,T101,T101,Harris English,27,50.0
106,T101,T101,Russell Knox,23,50.0
107,T101,T101,Derek Lamely,25,50.0
108,T101,T101,Nick O'Hern,26,50.0
109,T101,T101,Alexandre Rocha,21,50.0
110,T101,T101,Charl Schwartzel,16,50.0
111,T101,T101,Adam Scott,16,50.0
112,T101,T101,John Senden,22,50.0
113,T101,T101,Kevin Streelman,26,50.0
114,T101,T101,D.J. Trahan,27,50.0
115,T101,T101,Gary Woodland,22,50.0
116,117,117,Zach Johnson,25,47.83
117,T118,T118,Marc Leishman,23,47.37
118,T118,T118,Hunter Mahan,23,47.37
119,T118,T118,Sean O'Hair,24,47.37
120,T121,T121,Gary Christian,28,47.06
121,T121,T121,Webb Simpson,22,47.06
122,T121,T121,Johnson Wagner,27,47.06
123,T124,T124,Erik Compton,26,46.67
124,T124,T124,Matt Every,25,46.67
125,T124,T124,Bill Lunde,25,46.67
126,T124,T124,Mark Wilson,25,46.67
127,128,128,Brendon de Jonge,31,46.15
128,T129,T129,Miguel Angel Carballo,25,45.45
129,T129,T129,Chris DiMarco,29,45.45
130,T129,T129,Richard Lee,24,45.45
131,T129,T129,David Mathis,29,45.45
132,133,133,Brian Harman,30,45.0
133,T134,T134,Ryo Ishikawa,18,44.44
134,T134,T134,Greg Owen,27,44.44
135,T134,T134,Cameron Tringale,26,44.44
136,T137,T137,Tim Herron,27,43.75
137,T137,T137,J.J. Killeen,33,43.75
138,T139,T139,Will Claxton,28,42.86
139,T139,T139,Nathan Green,22,42.86
140,T139,T139,Billy Hurley III,27,42.86
141,T139,T139,Freddie Jacobson,17,42.86
142,T139,T139,Sung Kang,30,42.86
143,T139,T139,Tom Pernice Jr.,23,42.86
144,T139,T139,Roland Thatcher,21,42.86
145,T146,T146,Jason Bohn,28,41.67
146,T146,T146,Ben Curtis,19,41.67
147,T146,T146,Danny Lee,26,41.67
148,T146,T146,Y.E. Yang,20,41.67
149,150,150,Kevin Chappell,29,41.18
150,151,151,Ken Duke,30,40.91
151,T152,T152,Sangmoon Bae,25,40.0
152,T152,T152,Jason Dufner,22,40.0
153,T152,T152,Padraig Harrington,18,40.0
154,T152,T152,Charles Howell III,29,40.0
155,T152,T152,Brandt Jobe,18,40.0
156,T152,T152,Troy Kelly,23,40.0
157,T152,T152,Matt Kuchar,22,40.0
158,T152,T152,Edward Loar,23,40.0
159,160,160,Pat Perez,23,38.89
160,T161,T161,Stuart Appleby,24,38.46
161,T161,T161,Jhonattan Vegas,25,38.46
162,T163,T163,Graham DeLaet,23,37.5
163,T163,T163,Tommy Gainey,32,37.5
164,T165,T165,Arjun Atwal,27,36.36
165,T165,T165,Jason Kokrak,27,36.36
166,T165,T165,Rocco Mediate,23,36.36
167,T168,T168,Billy Horschel,17,35.71
168,T168,T168,Jeff Maggert,27,35.71
169,T168,T168,Daniel Summerhays,26,35.71
170,T171,T171,Daniel Chopra,21,33.33
171,T171,T171,Justin Leonard,26,33.33
172,T171,T171,Brendon Todd,29,33.33
173,T171,T171,Steve Wheatcroft,22,33.33
174,T175,T175,Billy Mayfair,28,31.25
175,T175,T175,Ryan Palmer,24,31.25
176,T175,T175,Kyle Reifers,27,31.25
177,T178,T178,Stephen Ames,20,28.57
178,T178,T178,Cameron Beckman,26,28.57
179,T178,T178,Jonathan Byrd,21,28.57
180,T178,T178,Bobby Gates,29,28.57
181,T178,T178,Patrick Sheehan,21,28.57
182,183,183,Camilo Villegas,25,26.67
183,184,184,Greg Chalmers,25,26.32
184,T185,T185,Marco Dawson,22,25.0
185,T185,T185,Scott Dunlap,20,25.0
186,T185,T185,Matt Jones,19,25.0
187,188,188,"Ted Potter, Jr.",25,23.08
188,189,189,Ryuji Imada,28,22.22
189,190,190,Tommy Biershenk,27,11.11
190,191,191,Stephen Gangluff,23,0.0
