,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Jeff Overton,29,52
1,2,2,Brendon de Jonge,31,48
2,3,3,Ken Duke,30,47
3,T4,T4,Seung-Yul Noh,28,41
4,T4,T4,Vijay Singh,27,41
5,T6,T6,Charles Howell III,29,40
6,T6,T6,Jimmy Walker,28,40
7,T8,T8,Keegan Bradley,25,38
8,T8,T8,Matt Kuchar,22,38
9,T10,T10,Bud Cauley,28,37
10,T10,T10,Will Claxton,28,37
11,T10,T10,Robert Garrigus,26,37
12,T10,T10,David Hearn,28,37
13,T10,T10,Scott Piercy,28,37
14,T10,T10,Webb Simpson,22,37
15,T16,T16,Blake Adams,32,36
16,T16,T16,Jason Dufner,22,36
17,T16,T16,Brian Harman,30,36
18,T16,T16,Steve Stricker,19,36
19,T20,T20,John Huh,28,35
20,T20,T20,Jerry Kelly,26,35
21,T20,T20,Ryan Moore,24,35
22,T20,T20,D.A. Points,29,35
23,T20,T20,Brandt Snedeker,22,35
24,T20,T20,Kevin Streelman,26,35
25,T26,T26,Roberto Castro,27,34
26,T26,T26,Tommy Gainey,32,34
27,T26,T26,Chris Kirk,27,34
28,T26,T26,Carl Pettersson,26,34
29,T26,T26,Bo Van Pelt,24,34
30,T26,T26,Nick Watney,26,34
31,T26,T26,Tiger Woods,19,34
32,T33,T33,Martin Flores,30,33
33,T33,T33,Zach Johnson,25,33
34,T33,T33,William McGirt,30,33
35,T33,T33,Rory McIlroy,16,33
36,T33,T33,Greg Owen,27,33
37,T33,T33,Chris Stroud,28,33
38,T39,T39,Harris English,27,32
39,T39,T39,Jim Furyk,24,32
40,T39,T39,Sean O'Hair,24,32
41,T39,T39,Ryan Palmer,24,32
42,T39,T39,Rory Sabbatini,29,32
43,T39,T39,John Senden,22,32
44,T39,T39,Josh Teater,30,32
45,T39,T39,Johnson Wagner,27,32
46,47,47,Brian Davis,29,31
47,T48,T48,Troy Matteson,32,30
48,T48,T48,Kevin Na,25,30
49,T48,T48,Louis Oosthuizen,19,30
50,T48,T48,Kevin Stadler,25,30
51,T48,T48,Daniel Summerhays,26,30
52,T53,T53,Jonas Blixt,21,29
53,T53,T53,Graham DeLaet,23,29
54,T53,T53,Tim Herron,27,29
55,T53,T53,Richard Lee,24,29
56,T53,T53,Bill Lunde,25,29
57,T53,T53,Jeff Maggert,27,29
58,T53,T53,Pat Perez,23,29
59,T53,T53,Kyle Stanley,27,29
60,T61,T61,Chad Campbell,27,28
