,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Steve Stricker,51,-0.318
1,2,2,Ben Crane,62,-0.282
2,3,3,Aaron Watkins,46,-0.271
3,4,4,Phil Mickelson,78,-0.26
4,5,5,Brian Davis,91,-0.252
5,6,6,Bryce Molder,82,-0.251
6,7,7,Dicky Pride,71,-0.25
7,8,8,Bill Haas,85,-0.23600000000000002
8,T9,T9,Steven Bowditch,67,-0.23399999999999999
9,T9,T9,Morgan Hoffmann,64,-0.23399999999999999
10,11,11,Charles Howell III,87,-0.225
11,12,12,Justin Rose,62,-0.21899999999999997
12,13,13,John Senden,79,-0.214
13,14,14,Matt Kuchar,93,-0.213
14,15,15,Jimmy Walker,84,-0.212
15,16,16,Rickie Fowler,75,-0.21100000000000002
16,17,17,Billy Horschel,96,-0.209
17,18,18,Brandt Snedeker,79,-0.205
18,19,19,Webb Simpson,92,-0.203
19,T20,T20,Tim Clark,64,-0.20199999999999999
20,T20,T20,Matt Jones,83,-0.20199999999999999
21,22,22,Greg Chalmers,77,-0.201
22,23,23,K.J. Choi,85,-0.2
23,24,24,Roberto Castro,97,-0.195
24,25,25,Camilo Villegas,79,-0.19399999999999998
25,T26,T26,Jason Bohn,70,-0.188
26,T26,T26,Ryan Palmer,79,-0.188
27,28,28,Graham DeLaet,94,-0.18600000000000003
28,29,29,David Hearn,88,-0.185
29,30,30,Doug LaBelle II,72,-0.18100000000000002
30,31,31,Chris Kirk,89,-0.18
31,32,32,Luke Guthrie,82,-0.179
32,33,33,Tiger Woods,61,-0.17600000000000002
33,T34,T34,Fabián Gómez,65,-0.175
34,T34,T34,Alistair Presnell,59,-0.175
35,36,36,Brandt Jobe,62,-0.174
36,T37,T37,Ben Curtis,59,-0.17300000000000001
37,T37,T37,Jason Dufner,78,-0.17300000000000001
38,T37,T37,William McGirt,75,-0.17300000000000001
39,T37,T37,Patrick Reed,83,-0.17300000000000001
40,T41,T41,Matt Every,89,-0.172
41,T41,T41,Jordan Spieth,82,-0.172
42,43,43,Jim Furyk,80,-0.17
43,T44,T44,Ken Duke,87,-0.16899999999999998
44,T44,T44,Nicholas Thompson,99,-0.16899999999999998
45,46,46,John Rollins,77,-0.16699999999999998
46,47,47,Hunter Mahan,91,-0.166
47,48,48,Jerry Kelly,75,-0.16399999999999998
48,49,49,Robert Karlsson,56,-0.163
49,50,50,Steve LeBrun,66,-0.159
50,T51,T51,Bud Cauley,67,-0.157
51,T51,T51,Sergio Garcia,65,-0.157
52,53,53,Kyle Stanley,71,-0.153
53,54,54,David Toms,49,-0.152
54,55,55,Nick Watney,88,-0.151
55,T56,T56,Jeff Maggert,63,-0.15
56,T56,T56,Scott Piercy,78,-0.15
57,T58,T58,Justin Leonard,86,-0.149
58,T58,T58,Mike Weir,60,-0.149
59,T60,T60,Brendon de Jonge,110,-0.14800000000000002
60,T60,T60,Vaughn Taylor,50,-0.14800000000000002
61,T62,T62,Bob Estes,66,-0.145
62,T62,T62,Jason Kokrak,78,-0.145
63,64,64,Freddie Jacobson,63,-0.14400000000000002
64,65,65,Zach Johnson,84,-0.14300000000000002
65,66,66,Ian Poulter,59,-0.142
66,67,67,Kevin Stadler,83,-0.141
67,T68,T68,David Mathis,71,-0.14
68,T68,T68,Cameron Tringale,80,-0.14
69,70,70,Charl Schwartzel,69,-0.139
70,71,71,Robert Streb,75,-0.134
71,72,72,Mark Wilson,56,-0.127
72,73,73,Luke Donald,60,-0.124
73,T74,T74,Ben Kohles,75,-0.12300000000000001
74,T74,T74,Lee Williams,62,-0.12300000000000001
75,T76,T76,Rory McIlroy,56,-0.121
76,T76,T76,Adam Scott,61,-0.121
77,78,78,Boo Weekley,100,-0.12
78,79,79,Chez Reavie,72,-0.11800000000000001
79,80,80,Henrik Stenson,65,-0.11699999999999999
80,81,81,Erik Compton,74,-0.11599999999999999
81,T82,T82,Jonas Blixt,76,-0.115
82,T82,T82,Rory Sabbatini,86,-0.115
83,84,84,David Lynn,70,-0.113
84,85,85,Darron Stiles,51,-0.11199999999999999
85,86,86,Martin Flores,83,-0.111
86,87,87,D.A. Points,87,-0.11
87,T88,T88,Kevin Chappell,80,-0.109
88,T88,T88,Justin Hicks,79,-0.109
89,T88,T88,Dustin Johnson,71,-0.109
90,T91,T91,Daniel Summerhays,83,-0.10800000000000001
91,T91,T91,Bubba Watson,76,-0.10800000000000001
92,93,93,J.J. Henry,83,-0.106
93,94,94,Ángel Cabrera,73,-0.105
94,95,95,Brian Harman,89,-0.10300000000000001
95,96,96,Chris Stroud,88,-0.102
96,97,97,Tag Ridings,69,-0.10099999999999999
97,T98,T98,Jim Herman,59,-0.099
98,T98,T98,Scott Langley,79,-0.099
99,T100,T100,Sangmoon Bae,83,-0.09699999999999999
100,T100,T100,Rod Pampling,46,-0.09699999999999999
101,102,102,Stuart Appleby,88,-0.096
102,T103,T103,Aaron Baddeley,68,-0.092
103,T103,T103,Ricky Barnes,74,-0.092
104,T105,T105,Chad Campbell,78,-0.091
105,T105,T105,Charley Hoffman,84,-0.091
106,T105,T105,John Merrick,79,-0.091
107,T108,T108,D.H. Lee,65,-0.09
108,T108,T108,Scott Stallings,79,-0.09
109,T110,T110,Jason Day,86,-0.08900000000000001
110,T110,T110,David Lingmerth,68,-0.08900000000000001
111,112,112,Lucas Glover,65,-0.08800000000000001
112,T113,T113,Trevor Immelman,73,-0.087
113,T113,T113,Josh Teater,86,-0.087
114,115,115,Gary Woodland,94,-0.086
115,116,116,Shawn Stefani,63,-0.085
116,117,117,Jeff Overton,78,-0.084
117,T118,T118,Derek Ernst,58,-0.08199999999999999
118,T118,T118,Marc Leishman,77,-0.08199999999999999
119,T118,T118,Troy Matteson,68,-0.08199999999999999
120,T118,T118,Charlie Wi,75,-0.08199999999999999
121,T122,T122,Scott Brown,65,-0.081
122,T122,T122,Tim Herron,45,-0.081
123,T122,T122,Ryan Moore,72,-0.081
124,T122,T122,Seung-Yul Noh,71,-0.081
