,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
0,1,1,Adam Scott,61,-.619
1,2,2,Rory McIlroy,56,-.483
2,3,3,Webb Simpson,92,-.378
3,4,4,Jason Kokrak,78,-.354
4,5,5,Charles Howell III,87,-.346
5,6,6,Steve Stricker,51,-.333
6,7,7,Aaron Baddeley,68,-.319
7,8,8,Ryan Palmer,79,-.310
8,9,9,Charley Hoffman,84,-.304
9,10,10,Ernie Els,63,-.300
10,11,11,Josh Teater,86,-.275
11,12,12,Bubba Watson,76,-.267
12,13,13,Harris English,95,-.264
13,T14,T14,Ben Crane,62,-.250
14,T14,T14,Tag Ridings,69,-.250
15,T14,T14,Kevin Streelman,86,-.250
16,T14,T14,Lee Westwood,70,-.250
17,18,18,Keegan Bradley,88,-.243
18,19,19,Ian Poulter,59,-.227
19,20,20,Jimmy Walker,84,-.210
20,21,21,Matt Every,89,-.204
21,22,22,Jason Dufner,78,-.200
22,23,23,Peter Hanson,45,-.192
23,24,24,Sean O'Hair,56,-.185
24,25,25,Robert Garrigus,69,-.184
25,26,26,Russell Henley,80,-.176
26,T27,T27,Hunter Mahan,91,-.171
27,T27,T27,Shawn Stefani,63,-.171
28,29,29,Luke List,65,-.170
29,T30,T30,Charlie Beljan,62,-.167
30,T30,T30,D.H. Lee,65,-.167
31,T30,T30,Cameron Percy,68,-.167
32,T30,T30,Kevin Stadler,83,-.167
33,34,34,Jason Day,86,-.162
34,35,35,Matt Kuchar,93,-.159
35,T36,T36,Brad Fritsch,81,-.158
36,T36,T36,Martin Kaymer,61,-.158
37,T36,T36,Bo Van Pelt,72,-.158
38,39,39,Kyle Stanley,71,-.156
39,40,40,Billy Horschel,96,-.150
40,41,41,William McGirt,75,-.149
41,42,42,Matt Jones,83,-.146
42,T43,T43,Bill Haas,85,-.139
43,T43,T43,Charl Schwartzel,69,-.139
44,45,45,Henrik Norlander,70,-.135
45,46,46,Sergio Garcia,65,-.132
46,T47,T47,Zach Johnson,84,-.129
47,T47,T47,David Lingmerth,68,-.129
48,T49,T49,Dustin Johnson,71,-.128
49,T49,T49,John Senden,79,-.128
50,51,51,Patrick Reed,83,-.122
51,52,52,Lucas Glover,65,-.121
52,T53,T53,Chris Stroud,88,-.120
53,T53,T53,Michael Thompson,66,-.120
54,T55,T55,Stephen Ames,49,-.114
55,T55,T55,Luke Donald,60,-.114
56,T57,T57,Ángel Cabrera,73,-.103
57,T57,T57,Andrew Svoboda,46,-.103
58,59,59,Mark Wilson,56,-.100
59,60,60,Stewart Cink,71,-.097
60,61,61,Chez Reavie,72,-.094
61,62,62,Pat Perez,69,-.081
62,63,63,Jim Herman,59,-.077
63,64,64,Troy Matteson,68,-.074
64,65,65,Derek Ernst,58,-.071
65,66,66,George McNeill,68,-.068
66,T67,T67,Martin Flores,83,-.067
67,T67,T67,Steve LeBrun,66,-.067
68,T67,T67,John Merrick,79,-.067
69,T70,T70,Scott Piercy,78,-.059
70,T70,T70,Charlie Wi,75,-.059
71,72,72,Brendon de Jonge,110,-.055
72,73,73,Tommy Gainey,84,-.051
