,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Will Claxton,67,157.9,3699919.0,651
1,2,2,Carl Pettersson,82,158.0,4101203.0,721
2,3,3,Alistair Presnell,59,158.1,2981760.0,524
3,4,4,Scott Gardiner,61,158.3,3281726.0,576
4,5,5,Steve LeBrun,66,158.7,3405863.0,596
5,6,6,Tag Ridings,69,158.9,3855761.0,674
6,7,7,Rory Sabbatini,86,159.2,4425830.0,772
7,8,8,Troy Matteson,68,159.3,4009757.0,699
8,T9,T9,Tom Gillis,69,159.4,4029322.0,702
9,T9,T9,Scott Stallings,79,159.4,4195054.0,731
10,11,11,Morgan Hoffmann,64,159.6,3320433.0,578
11,T12,T12,Brian Harman,89,159.7,4990058.0,868
12,T12,T12,William McGirt,75,159.7,4698476.0,817
13,T12,T12,Rod Pampling,46,159.7,2247515.0,391
14,15,15,Patrick Reed,83,159.8,4768015.0,829
15,T16,T16,Martin Flores,83,160.0,5027500.0,873
16,T16,T16,Scott Langley,79,160.0,4378590.0,760
17,T18,T18,Tommy Gainey,84,160.1,4652565.0,807
18,T18,T18,Jeff Maggert,63,160.1,3815666.0,662
19,20,20,D.J. Trahan,48,160.3,2510910.0,435
20,21,21,Fabián Gómez,65,160.4,3677503.0,637
21,T22,T22,Nicolas Colsaerts,50,160.5,2362824.0,409
22,T22,T22,Mark Wilson,56,160.5,3530250.0,611
23,24,24,Lee Williams,62,160.6,3531810.0,611
24,T25,T25,James Hahn,78,160.7,4258193.0,736
25,T25,T25,Greg Owen,73,160.7,4216176.0,729
26,T25,T25,Darron Stiles,51,160.7,2846249.0,492
27,T28,T28,Steven Bowditch,67,160.8,3768217.0,651
28,T28,T28,Dustin Johnson,71,160.8,3201581.0,553
29,T28,T28,Luke List,65,160.8,3189804.0,551
30,T28,T28,Vaughn Taylor,50,160.8,2506791.0,433
31,T32,T32,Brian Gay,79,160.9,4742804.0,819
32,T32,T32,J.J. Henry,83,160.9,5126617.0,885
