,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,David Toms,49,159.0,3273355.0,572
1,2,2,Darron Stiles,51,159.9,4334645.0,753
2,3,3,Brian Gay,79,160.2,7334039.0,1272
3,T4,T4,Will Claxton,67,160.3,5801414.0,1005
4,T4,T4,Lee Williams,62,160.3,5292284.0,917
5,T6,T6,Scott Langley,79,160.5,6628828.0,1147
6,T6,T6,Steve LeBrun,66,160.5,5482149.0,949
7,T6,T6,Alistair Presnell,59,160.5,4765683.0,825
8,T9,T9,Justin Bolli,59,160.6,4762643.0,824
9,T9,T9,Morgan Hoffmann,64,160.6,5487422.0,949
10,11,11,Carl Pettersson,82,160.7,6600692.0,1141
11,12,12,Tom Gillis,69,161.1,6250875.0,1078
12,13,13,Stuart Appleby,88,161.3,8209887.0,1414
13,14,14,Jason Dufner,78,161.4,6356250.0,1094
14,T15,T15,Scott Stallings,79,161.5,6837600.0,1176
15,T15,T15,Aaron Watkins,46,161.5,3644862.0,627
16,T17,T17,Jason Bohn,70,161.6,6870989.0,1181
17,T17,T17,Michael Bradley,56,161.6,4491569.0,772
18,T17,T17,Tim Herron,45,161.6,4572784.0,786
19,T17,T17,Jeff Maggert,63,161.6,5934699.0,1020
20,T21,T21,Nicolas Colsaerts,50,161.7,3760893.0,646
21,T21,T21,Tommy Gainey,84,161.7,7835160.0,1346
22,23,23,Brian Harman,89,161.8,7908455.0,1358
23,T24,T24,Ian Poulter,59,161.9,4068747.0,698
24,T24,T24,Patrick Reed,83,161.9,7733212.0,1327
25,T26,T26,"Ted Potter, Jr.",65,162.0,5750358.0,986
26,T26,T26,Mark Wilson,56,162.0,5238433.0,898
27,T28,T28,Ben Curtis,59,162.1,4820193.0,826
28,T28,T28,David Lingmerth,68,162.1,5947269.0,1019
29,T28,T28,Tag Ridings,69,162.1,6059065.0,1038
30,31,31,Scott Gardiner,61,162.2,5442747.0,932
31,32,32,Brian Davis,91,162.3,8699502.0,1489
32,T33,T33,Vaughn Taylor,50,162.4,4181236.0,715
33,T33,T33,D.J. Trahan,48,162.4,3970815.0,679
34,T35,T35,Bobby Gates,49,162.5,3982679.0,681
35,T35,T35,David Lynn,70,162.5,5886675.0,1006
36,T35,T35,Troy Matteson,68,162.5,6176284.0,1056
37,T35,T35,Rory Sabbatini,86,162.5,7534660.0,1288
38,39,39,David Hearn,88,162.6,7661292.0,1309
39,40,40,Ben Crane,62,162.7,5793017.0,989
40,41,41,Ryo Ishikawa,72,162.8,5771664.0,985
41,T42,T42,Freddie Jacobson,63,162.9,4838619.0,825
42,T42,T42,Justin Leonard,86,162.9,7900293.0,1347
43,T42,T42,Shawn Stefani,63,162.9,5243411.0,894
44,45,45,William McGirt,75,163.1,7432773.0,1266
45,T46,T46,Sangmoon Bae,83,163.2,7557130.0,1286
46,T46,T46,Ben Kohles,75,163.2,6514074.0,1109
47,T46,T46,Greg Owen,73,163.2,6960966.0,1185
48,T46,T46,Chez Reavie,72,163.2,7037207.0,1198
49,T46,T46,Brandt Snedeker,79,163.2,6051800.0,1030
50,T46,T46,Robert Streb,75,163.2,6525716.0,1111
51,T52,T52,James Driscoll,76,163.3,6630002.0,1128
52,T52,T52,Peter Hanson,45,163.3,3468380.0,590
53,T52,T52,Luke List,65,163.3,5468880.0,930
54,T52,T52,Brian Stuard,78,163.3,6656313.0,1132
55,T56,T56,Tim Clark,64,163.4,4534065.0,771
56,T56,T56,Vijay Singh,61,163.4,5066033.0,861
57,T56,T56,Nicholas Thompson,99,163.4,9075572.0,1543
58,T59,T59,Ken Duke,87,163.5,7906838.0,1343
59,T59,T59,Chris Kirk,89,163.5,8538775.0,1451
60,T59,T59,Colt Knost,69,163.5,6092482.0,1035
61,T59,T59,Richard Lee,81,163.5,7585228.0,1289
62,T59,T59,David Mathis,71,163.5,6533782.0,1110
63,T64,T64,Erik Compton,74,163.6,6836526.0,1161
64,T64,T64,Robert Karlsson,56,163.6,3886158.0,660
65,T64,T64,John Merrick,79,163.6,7177474.0,1219
66,T67,T67,James Hahn,78,163.7,7049293.0,1196
67,T67,T67,Casey Wittenberg,72,163.7,6439623.0,1093
68,T69,T69,Martin Flores,83,163.8,8008374.0,1358
69,T69,T69,Jim Furyk,80,163.8,6782774.0,1150
70,T69,T69,Fabián Gómez,65,163.8,5908106.0,1002
71,T69,T69,Eric Meierdierks,48,163.8,3914749.0,664
72,T73,T73,Robert Allenby,58,163.9,5498732.0,932
73,T73,T73,K.J. Choi,85,163.9,6666017.0,1130
74,T73,T73,Russell Henley,80,163.9,6969940.0,1181
75,T73,T73,Billy Horschel,96,163.9,8779150.0,1488
76,T73,T73,Zach Johnson,84,163.9,7068434.0,1198
77,T73,T73,Sean O'Hair,56,163.9,5388506.0,913
78,T73,T73,Charlie Wi,75,163.9,6969709.0,1181
79,T80,T80,J.J. Henry,83,164.0,7827154.0,1326
80,T80,T80,Matt Kuchar,93,164.0,7307564.0,1238
81,T80,T80,Rod Pampling,46,164.0,3689989.0,625
82,T80,T80,Y.E. Yang,56,164.0,4326500.0,733
83,T84,T84,Kevin Chappell,80,164.1,7081277.0,1199
84,T84,T84,Brad Fritsch,81,164.1,7182620.0,1216
85,T84,T84,Justin Hicks,79,164.1,6989085.0,1183
86,T84,T84,Graeme McDowell,53,164.1,3905109.0,661
87,T84,T84,Bryce Molder,82,164.1,7510695.0,1271
88,T84,T84,Dicky Pride,71,164.1,6250108.0,1058
89,T90,T90,Stephen Ames,49,164.2,4653032.0,787
90,T90,T90,Bud Cauley,67,164.2,5917855.0,1001
91,T90,T90,Camilo Villegas,79,164.2,6764096.0,1144
92,T93,T93,Bob Estes,66,164.3,6583039.0,1113
93,T93,T93,Ryan Palmer,79,164.3,7335958.0,1240
94,T95,T95,Charlie Beljan,62,164.4,5834426.0,986
95,T95,T95,Ernie Els,63,164.4,5096817.0,861
96,T95,T95,Cameron Tringale,80,164.4,7936975.0,1341
97,T98,T98,Jason Day,86,164.5,6465530.0,1092
98,T98,T98,Charley Hoffman,84,164.5,7741159.0,1307
99,T98,T98,Trevor Immelman,73,164.5,6563548.0,1108
100,T101,T101,Derek Ernst,58,164.6,5208096.0,879
101,T101,T101,Luke Guthrie,82,164.6,6903793.0,1165
102,T101,T101,George McNeill,68,164.6,6800995.0,1148
103,T101,T101,Cameron Percy,68,164.6,6026555.0,1017
104,T101,T101,Steve Stricker,51,164.6,3710494.0,626
105,T106,T106,Geoff Ogilvy,57,164.8,4462517.0,752
106,T106,T106,Andrew Svoboda,46,164.8,3719631.0,627
107,108,108,Jin Park,52,164.9,4575933.0,771
108,T109,T109,Dustin Johnson,71,165.0,5405984.0,910
109,T109,T109,Jerry Kelly,75,165.0,6809063.0,1146
110,T109,T109,Doug LaBelle II,72,165.0,6284109.0,1058
111,T112,T112,Aaron Baddeley,68,165.1,6276884.0,1056
112,T112,T112,Jonas Blixt,76,165.1,7086456.0,1192
113,T112,T112,Seung-Yul Noh,71,165.1,6569036.0,1105
114,T112,T112,Daniel Summerhays,83,165.1,8310390.0,1398
115,T116,T116,Bill Haas,85,165.2,7346179.0,1235
116,T116,T116,Jimmy Walker,84,165.2,7985576.0,1343
117,T118,T118,Roberto Castro,97,165.3,8950960.0,1504
118,T118,T118,John Rollins,77,165.3,7216564.0,1213
119,T118,T118,Jordan Spieth,82,165.3,7107137.0,1194
120,T118,T118,Bubba Watson,76,165.3,6297076.0,1058
121,T122,T122,Greg Chalmers,77,165.5,7460122.0,1252
122,T122,T122,Brendan Steele,86,165.5,8209302.0,1378
123,T122,T122,Nick Watney,88,165.5,7792941.0,1308
124,T122,T122,Mike Weir,60,165.5,5034491.0,845
125,T126,T126,Brandt Jobe,62,165.6,5653257.0,948
126,T126,T126,Justin Rose,62,165.6,4905578.0,823
127,T126,T126,Josh Teater,86,165.6,6528455.0,1095
128,T126,T126,Bo Van Pelt,72,165.6,5760122.0,966
129,T130,T130,Ricky Barnes,74,165.7,6947802.0,1165
130,T130,T130,Steven Bowditch,67,165.7,6184671.0,1037
131,T130,T130,Matt Every,89,165.7,8505224.0,1426
132,133,133,Scott Brown,65,165.8,5887002.0,986
133,T134,T134,Ryan Moore,72,165.9,6109717.0,1023
134,T134,T134,Henrik Norlander,70,165.9,6307451.0,1056
135,T134,T134,Kevin Stadler,83,165.9,7349827.0,1231
136,T137,T137,Chad Campbell,78,166.0,7718937.0,1292
137,T137,T137,Jim Herman,59,166.0,4709297.0,788
138,T137,T137,Charles Howell III,87,166.0,8544736.0,1430
139,T137,T137,Martin Kaymer,61,166.0,4487137.0,751
140,T137,T137,Michael Thompson,66,166.0,5670531.0,949
141,T137,T137,Boo Weekley,100,166.0,8864315.0,1483
142,143,143,Brendon de Jonge,110,166.1,10400465.0,1739
143,T144,T144,Luke Donald,60,166.2,4946695.0,827
144,T144,T144,Webb Simpson,92,166.2,7484569.0,1251
145,T144,T144,Kevin Streelman,86,166.2,7300337.0,1220
146,T147,T147,Martin Laird,68,166.3,5662464.0,946
147,T147,T147,Jeff Overton,78,166.3,7944990.0,1327
148,T149,T149,Jason Kokrak,78,166.5,7731184.0,1290
149,T149,T149,Rory McIlroy,56,166.5,4356442.0,727
150,T151,T151,Andres Romero,63,166.6,5596302.0,933
151,T151,T151,Gary Woodland,94,166.6,8918853.0,1487
152,T153,T153,Matt Jones,83,166.7,7530099.0,1255
153,T153,T153,Pat Perez,69,166.7,6877612.0,1146
154,T153,T153,Scott Piercy,78,166.7,6673652.0,1112
155,T153,T153,Kyle Stanley,71,166.7,6445439.0,1074
156,T157,T157,Rickie Fowler,75,166.8,6315977.0,1052
157,T157,T157,Padraig Harrington,52,166.8,3759442.0,626
158,T157,T157,Johnson Wagner,64,166.8,5591503.0,931
159,T160,T160,Graham DeLaet,94,166.9,8741742.0,1455
160,T160,T160,Harris English,95,166.9,8820398.0,1468
161,162,162,Hunter Mahan,91,167.0,7321467.0,1218
162,163,163,Stewart Cink,71,167.1,6050750.0,1006
163,164,164,D.H. Lee,65,167.4,6254196.0,1038
164,T165,T165,Marc Leishman,77,167.6,6932985.0,1149
165,T165,T165,Chris Stroud,88,167.6,8440357.0,1399
166,167,167,John Huh,88,168.2,8130127.0,1343
167,168,168,Lucas Glover,65,168.3,5646002.0,932
168,T169,T169,D.A. Points,87,168.4,7369817.0,1216
169,T169,T169,John Senden,79,168.4,6614844.0,1091
170,171,171,Phil Mickelson,78,168.6,6207774.0,1023
171,172,172,Charl Schwartzel,69,168.7,5884812.0,969
172,173,173,Ángel Cabrera,73,168.9,6200829.0,1020
173,174,174,Lee Westwood,70,169.1,5539969.0,910
174,T175,T175,Keegan Bradley,88,169.3,7872330.0,1292
175,T175,T175,Adam Scott,61,169.3,4814435.0,790
176,177,177,Robert Garrigus,69,171.2,5393927.0,875
177,178,178,Sergio Garcia,65,171.3,5167420.0,838
178,179,179,Henrik Stenson,65,173.7,4934121.0,789
179,180,180,Tiger Woods,61,174.2,4836436.0,771
