,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Justin Rose,62,62.18,74,119,-0.01
1,2,2,Henrik Stenson,65,59.84,73,122,-0.15
2,3,3,Steve LeBrun,66,57.14,56,98,-0.04
3,4,4,Andrew Svoboda,46,56.0,42,75,-0.05
4,5,5,Charl Schwartzel,69,55.83,67,120,-0.04
5,6,6,Charlie Beljan,62,55.75,63,113,-0.10
6,7,7,Graham DeLaet,94,55.67,108,194,-0.13
7,8,8,Zach Johnson,84,55.62,99,178,-0.12
8,9,9,Bill Haas,85,54.86,96,175,-0.06
9,10,10,Kyle Stanley,71,54.62,65,119,-0.06
10,11,11,Richard Lee,81,53.97,102,189,-0.09
11,12,12,Steve Stricker,51,53.85,49,91,-0.16
12,13,13,Kevin Streelman,86,53.76,93,173,-0.08
13,14,14,Nick Watney,88,53.51,99,185,-0.05
14,15,15,Charley Hoffman,84,53.47,77,144,-0.14
15,16,16,Ángel Cabrera,73,53.15,76,143,-0.05
16,17,17,J.J. Henry,83,53.14,93,175,-0.04
17,18,18,Sergio Garcia,65,52.76,67,127,-0.07
18,19,19,Ricky Barnes,74,52.63,80,152,-0.10
19,20,20,Brandt Jobe,62,52.59,61,116,-0.10
20,21,21,D.J. Trahan,48,52.56,41,78,-0.17
21,22,22,Jordan Spieth,82,51.32,78,152,-0.17
22,23,23,Billy Horschel,96,51.09,94,184,-0.04
23,24,24,Brad Fritsch,81,51.03,74,145,-0.01
24,25,25,Robert Garrigus,69,51.0,51,100,-0.02
25,26,26,Greg Owen,73,50.68,74,146,-0.03
26,27,27,Tiger Woods,61,50.39,64,127,-0.16
27,28,28,Kevin Stadler,83,50.35,72,143,-0.14
28,29,29,Marc Leishman,77,50.0,73,146,-0.11
29,T30,T30,Keegan Bradley,88,49.67,75,151,-0.08
30,T30,T30,Ben Kohles,75,49.67,75,151,-0.19
31,32,32,Scott Stallings,79,49.59,61,123,+0.02
32,T33,T33,Ernie Els,63,49.53,53,107,-0.06
33,T33,T33,Adam Scott,61,49.53,53,107,-0.04
34,35,35,Dustin Johnson,71,49.52,52,105,-0.15
35,36,36,Vijay Singh,61,49.5,50,101,+0.02
36,37,37,Lucas Glover,65,49.21,62,126,-0.02
37,T38,T38,Brian Stuard,78,49.18,90,183,-0.12
38,T38,T38,Gary Woodland,94,49.18,90,183,-0.12
39,40,40,Martin Flores,83,49.08,80,163,-0.13
40,41,41,Ryan Palmer,79,48.87,65,133,-0.02
41,42,42,Brendon de Jonge,110,48.71,113,232,+0.02
42,43,43,Chad Campbell,78,48.65,90,185,-0.04
43,44,44,Michael Thompson,66,48.51,65,134,-0.09
44,45,45,Nicholas Thompson,99,48.39,90,186,-0.09
45,46,46,Pat Perez,69,48.25,69,143,-0.14
