,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Carl Pettersson,82,"35' 7""",95,3376.75,+11.00
1,2,2,Luke List,65,"35' 9""",105,3749.833,-5.00
2,3,3,Justin Rose,62,"36' 6""",84,3067.167,+4.00
3,4,4,Jordan Spieth,82,"36' 11""",115,4245.5,-2.00
4,5,5,Phil Mickelson,78,"37' 1""",105,3895.583,+4.00
5,6,6,Rory Sabbatini,86,"38' 1""",150,5711.0,+16.00
6,7,7,Jason Kokrak,78,"38' 4""",140,5367.5830000000005,+13.00
7,8,8,Nicholas Thompson,99,"38' 6""",127,4887.333,+8.00
8,T9,T9,Nicolas Colsaerts,50,"38' 8""",89,3440.167,+13.00
9,T9,T9,Rickie Fowler,75,"38' 8""",104,4020.417,+6.00
10,T11,T11,Luke Guthrie,82,"39' 0""",115,4488.833,+3.00
11,T11,T11,Scott Piercy,78,"39' 0""",156,6088.9169999999995,+10.00
12,13,13,D.J. Trahan,48,"39' 1""",67,2620.417,+8.00
13,14,14,Charles Howell III,87,"39' 2""",202,7905.9169999999995,+3.00
14,15,15,Jason Day,86,"39' 3""",123,4826.25,-1.00
15,16,16,Tim Clark,64,"39' 6""",63,2488.083,+3.00
16,17,17,Kevin Streelman,86,"39' 8""",108,4287.333,+6.00
17,T18,T18,Freddie Jacobson,63,"39' 9""",108,4296.833,+3.00
18,T18,T18,Patrick Reed,83,"39' 9""",160,6357.9169999999995,+11.00
19,T18,T18,Johnson Wagner,64,"39' 9""",86,3420.833,+6.00
20,T21,T21,Graeme McDowell,53,"39' 10""",46,1832.0,+5.00
21,T21,T21,Jimmy Walker,84,"39' 10""",160,6366.8330000000005,+2.00
22,23,23,Jason Dufner,78,"40' 0""",113,4516.75,+14.00
23,24,24,Matt Every,89,"40' 1""",154,6175.5,+16.00
24,T25,T25,Ernie Els,63,"40' 3""",89,3579.333,+4.00
25,T25,T25,Robert Garrigus,69,"40' 3""",103,4150.0,+10.00
26,T25,T25,David Lingmerth,68,"40' 3""",113,4552.167,+9.00
27,T25,T25,Kyle Stanley,71,"40' 3""",114,4589.083,+6.00
