,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,T1,"Ted Potter, Jr.",65,100.0,37,37
1,T1,T1,Tiger Woods,61,100.0,22,22
2,3,3,Luke Donald,60,97.73,43,44
3,T4,T4,Ben Curtis,59,96.88,31,32
4,T4,T4,Ian Poulter,59,96.88,31,32
5,T6,T6,Bob Estes,66,96.55,56,58
6,T6,T6,Ryan Palmer,79,96.55,56,58
7,8,8,Troy Matteson,68,96.23,51,53
8,9,9,Robert Streb,75,96.15,50,52
9,10,10,Jason Day,86,95.83,46,48
10,11,11,Kevin Streelman,86,95.56,43,45
11,T12,T12,Brandt Jobe,62,95.45,42,44
12,T12,T12,Matt Kuchar,93,95.45,63,66
13,14,14,Jimmy Walker,84,94.83,55,58
14,T15,T15,Aaron Baddeley,68,94.59,35,37
15,T15,T15,Brian Gay,79,94.59,70,74
16,17,17,Zach Johnson,84,94.23,49,52
17,18,18,Jerry Kelly,75,94.2,65,69
18,19,19,Ernie Els,63,94.12,48,51
19,20,20,James Hahn,78,94.03,63,67
20,T21,T21,Jim Furyk,80,93.94,62,66
21,T21,T21,Vaughn Taylor,50,93.94,31,33
22,T21,T21,Johnson Wagner,64,93.94,31,33
23,T21,T21,Aaron Watkins,46,93.94,31,33
24,T25,T25,Stewart Cink,71,93.75,30,32
25,T25,T25,David Toms,49,93.75,30,32
26,27,27,Bill Haas,85,93.65,59,63
27,T28,T28,Alistair Presnell,59,93.62,44,47
28,T28,T28,Lee Westwood,70,93.62,44,47
29,30,30,Tim Clark,64,93.48,43,46
30,31,31,Keegan Bradley,88,93.44,57,61
31,T32,T32,Jason Kokrak,78,93.1,54,58
32,T32,T32,Rod Pampling,46,93.1,27,29
33,34,34,Scott Brown,65,93.02,40,43
34,35,35,Nicolas Colsaerts,50,92.86,26,28
35,36,36,Tim Herron,45,92.68,38,41
36,37,37,Graham DeLaet,94,92.65,63,68
37,38,38,Charles Howell III,87,92.54,62,67
38,39,39,Robert Karlsson,56,92.5,37,40
39,T40,T40,Jason Dufner,78,92.31,48,52
40,T40,T40,Brian Harman,89,92.31,72,78
41,T40,T40,Padraig Harrington,52,92.31,24,26
42,T40,T40,Chris Kirk,89,92.31,72,78
43,T40,T40,Pat Perez,69,92.31,36,39
44,45,45,Darron Stiles,51,92.11,35,38
45,T46,T46,Greg Chalmers,77,91.89,68,74
46,T46,T46,Sergio Garcia,65,91.89,34,37
47,T46,T46,Doug LaBelle II,72,91.89,34,37
48,49,49,Bud Cauley,67,91.84,45,49
49,T50,T50,Matt Jones,83,91.67,66,72
50,T50,T50,David Lynn,70,91.67,33,36
51,T52,T52,Russell Henley,80,91.49,43,47
52,T52,T52,Brandt Snedeker,79,91.49,43,47
53,54,54,Graeme McDowell,53,91.43,32,35
54,55,55,Martin Laird,68,91.3,42,46
55,56,56,Jeff Overton,78,91.25,73,80
56,T57,T57,Steven Bowditch,67,91.23,52,57
57,T57,T57,George McNeill,68,91.23,52,57
58,59,59,Ángel Cabrera,73,91.18,31,34
59,T60,T60,Ken Duke,87,90.91,70,77
60,T60,T60,Mark Wilson,56,90.91,40,44
61,T62,T62,Morgan Hoffmann,64,90.7,39,43
62,T62,T62,Scott Piercy,78,90.7,39,43
63,T62,T62,Kyle Stanley,71,90.7,39,43
64,T65,T65,Martin Flores,83,90.48,57,63
65,T65,T65,David Lingmerth,68,90.48,38,42
66,T65,T65,Carl Pettersson,82,90.48,57,63
67,T65,T65,Justin Rose,62,90.48,38,42
68,T65,T65,D.J. Trahan,48,90.48,38,42
69,T70,T70,Stephen Ames,49,90.0,36,40
70,T70,T70,Cameron Percy,68,90.0,54,60
71,T70,T70,Y.E. Yang,56,90.0,36,40
72,73,73,Brendon de Jonge,110,89.87,71,79
73,74,74,Jordan Spieth,82,89.83,53,59
74,75,75,Hunter Mahan,91,89.8,44,49
75,T76,T76,Scott Gardiner,61,89.47,34,38
76,T76,T76,Scott Langley,79,89.47,51,57
77,T76,T76,Casey Wittenberg,72,89.47,51,57
78,T79,T79,Tom Gillis,69,89.36,42,47
79,T79,T79,Ryan Moore,72,89.36,42,47
80,T81,T81,Jonas Blixt,76,89.29,50,56
81,T81,T81,Chad Campbell,78,89.29,50,56
82,T81,T81,Martin Kaymer,61,89.29,25,28
83,T84,T84,Billy Horschel,96,89.19,66,74
84,T84,T84,Nicholas Thompson,99,89.19,66,74
85,86,86,Marc Leishman,77,89.13,41,46
86,T87,T87,Sangmoon Bae,83,88.89,48,54
87,T87,T87,Justin Leonard,86,88.89,48,54
88,T87,T87,Andrew Svoboda,46,88.89,24,27
89,90,90,Gary Woodland,94,88.71,55,62
90,91,91,Sean O'Hair,56,88.57,31,35
