,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Nicolas Colsaerts,50,302.1,7552.2,25,335.3,266.0
1,2,2,Dustin Johnson,71,299.0,8670.9,29,338.0,258.4
2,3,3,Jason Day,86,297.3,10998.7,37,332.0,248.3
3,4,4,Luke List,65,296.9,10392.7,35,334.0,269.1
4,5,5,Rory McIlroy,56,296.2,9181.3,31,327.6,254.8
5,T6,T6,Graham DeLaet,94,295.5,17436.5,59,332.7,233.0
6,T6,T6,Henrik Stenson,65,295.5,6500.4,22,333.6,257.8
7,8,8,Bubba Watson,76,295.3,11220.5,38,342.6,229.9
8,T9,T9,Charlie Beljan,62,294.0,9406.4,32,315.3,266.3
9,T9,T9,Scott Stallings,79,294.0,14993.3,51,318.9,259.7
10,11,11,Justin Rose,62,293.4,10563.8,36,323.8,265.1
11,12,12,Gary Woodland,94,293.2,12022.8,41,324.6,254.4
12,13,13,Robert Garrigus,69,292.9,10250.8,35,327.2,242.1
13,14,14,Keegan Bradley,88,292.5,15211.3,52,323.7,259.6
14,15,15,Kyle Stanley,71,292.2,14316.9,49,317.3,241.6
15,16,16,Sean O'Hair,56,291.8,10797.7,37,313.5,260.7
16,17,17,Jason Kokrak,78,290.4,15389.6,53,329.5,257.2
17,18,18,Tiger Woods,61,289.8,5796.6,20,334.5,263.8
18,19,19,Seung-Yul Noh,71,289.7,12457.3,43,319.1,235.1
19,20,20,Eric Meierdierks,48,288.6,7791.6,27,308.9,252.4
20,21,21,Martin Laird,68,287.9,11516.8,40,312.2,256.9
21,22,22,Ángel Cabrera,73,287.8,12664.8,44,315.3,222.2
22,T23,T23,Steven Bowditch,67,287.6,13227.5,46,314.2,237.7
23,T23,T23,Charl Schwartzel,69,287.6,9778.4,34,314.3,256.7
24,25,25,Ryan Palmer,79,287.2,14935.7,52,320.2,253.7
25,26,26,Harris English,95,286.1,16308.3,57,331.7,249.7
26,27,27,Adam Scott,61,286.0,8580.6,30,309.5,266.4
27,28,28,Scott Piercy,78,285.1,11688.2,41,321.1,230.8
28,T29,T29,Sergio Garcia,65,285.0,8834.6,31,318.9,255.9
29,T29,T29,Tag Ridings,69,285.0,10829.0,38,317.0,224.5
30,31,31,Shawn Stefani,63,284.9,9685.3,34,300.2,248.3
31,32,32,Nick Watney,88,284.6,16506.3,58,306.1,243.5
32,33,33,Jimmy Walker,84,284.2,17334.3,61,333.9,236.4
33,34,34,Patrick Reed,83,284.1,15627.9,55,319.9,257.2
34,35,35,Andres Romero,63,284.0,11359.1,40,319.5,229.2
35,36,36,Martin Kaymer,61,283.8,10501.9,37,316.9,248.9
36,37,37,Martin Flores,83,283.7,18441.4,65,310.5,236.7
37,38,38,Derek Ernst,58,283.5,11907.1,42,307.3,248.1
38,39,39,Charles Howell III,87,283.3,20111.2,71,311.2,260.5
39,40,40,Kevin Chappell,80,283.2,14159.9,50,307.8,255.6
40,T41,T41,Peter Hanson,45,283.1,8208.7,29,303.5,257.1
41,T41,T41,Charley Hoffman,84,283.1,18399.6,65,314.6,249.5
42,43,43,Aaron Baddeley,68,282.6,9325.2,33,313.8,259.9
43,44,44,Billy Horschel,96,282.5,20904.9,74,303.9,239.8
44,45,45,Josh Teater,86,282.4,14402.7,51,321.1,256.7
45,T46,T46,Lucas Glover,65,282.2,10440.4,37,312.6,245.8
46,T46,T46,Kevin Stadler,83,282.2,17499.2,62,306.1,247.8
47,48,48,Phil Mickelson,78,282.1,5359.6,19,306.2,254.6
48,T49,T49,Matt Jones,83,282.0,15511.2,55,308.9,239.9
49,T49,T49,Marc Leishman,77,282.0,14383.8,51,307.9,227.3
50,51,51,Lee Westwood,70,281.9,13248.2,47,311.4,233.6
51,52,52,Rickie Fowler,75,281.7,14648.4,52,305.8,250.1
52,53,53,Hunter Mahan,91,281.6,16330.9,58,303.4,256.5
53,T54,T54,Russell Henley,80,281.3,13785.7,49,308.3,246.7
54,T54,T54,Nicholas Thompson,99,281.3,22219.3,79,319.7,234.5
55,56,56,Ernie Els,63,280.8,10672.0,38,299.9,255.4
56,57,57,James Hahn,78,280.6,14872.3,53,316.1,240.5
57,T58,T58,Henrik Norlander,70,280.3,11212.8,40,310.7,236.5
58,T58,T58,John Rollins,77,280.3,16260.1,58,301.6,256.7
59,60,60,Troy Matteson,68,280.1,12044.4,43,308.6,254.9
60,T61,T61,Bobby Gates,49,279.9,9237.9,33,299.8,253.6
61,T61,T61,Brendan Steele,86,279.9,18190.6,65,299.0,254.4
