,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Rory McIlroy,56,-.208
1,2,2,Charles Howell III,87,-.122
2,3,3,Tiger Woods,61,-.103
3,4,4,Justin Rose,62,-.091
4,5,5,Brandt Jobe,62,-.071
5,6,6,Patrick Reed,83,-.067
6,7,7,Aaron Baddeley,68,-.064
7,8,8,Chris Kirk,89,-.063
8,9,9,Bubba Watson,76,-.056
9,10,10,"Ted Potter, Jr.",65,-.054
10,11,11,Brandt Snedeker,79,-.053
11,12,12,Jimmy Walker,84,-.050
12,13,13,Jason Dufner,78,-.045
13,14,14,Stuart Appleby,88,-.038
14,15,15,Mark Wilson,56,-.030
15,16,16,Ben Crane,62,-.028
16,17,17,Robert Garrigus,69,-.026
17,18,18,Freddie Jacobson,63,-.024
18,T19,T19,Ernie Els,63,-.023
19,T19,T19,Jim Herman,59,-.023
20,T21,T21,Charley Hoffman,84,-.022
21,T21,T21,Phil Mickelson,78,-.022
22,23,23,Graham DeLaet,94,-.021
23,24,24,Charl Schwartzel,69,-.019
24,25,25,Sergio Garcia,65,-.018
25,T26,T26,Henrik Stenson,65,-.014
26,T26,T26,Chris Stroud,88,-.014
27,28,28,Kevin Stadler,83,-.013
28,T29,T29,K.J. Choi,85,-.011
29,T29,T29,Adam Scott,61,-.011
30,31,31,Pat Perez,69,-.009
31,32,32,Roberto Castro,97,-.008
32,T33,T33,Luke Donald,60,E
33,T33,T33,Matt Kuchar,93,E
34,T33,T33,Martin Laird,68,E
35,T33,T33,Steve Stricker,51,E
36,T33,T33,D.J. Trahan,48,E
37,38,38,Jason Kokrak,78,+.006
38,39,39,Billy Horschel,96,+.007
39,40,40,Dustin Johnson,71,+.008
40,T41,T41,Ángel Cabrera,73,+.009
41,T41,T41,Greg Chalmers,77,+.009
42,T41,T41,Jason Day,86,+.009
43,T44,T44,Martin Kaymer,61,+.012
44,T44,T44,Bo Van Pelt,72,+.012
45,T44,T44,Gary Woodland,94,+.012
46,T47,T47,Bill Haas,85,+.014
47,T47,T47,Rory Sabbatini,86,+.014
48,49,49,Webb Simpson,92,+.016
49,50,50,Luke List,65,+.025
50,51,51,John Rollins,77,+.026
51,52,52,Ian Poulter,59,+.027
52,T53,T53,D.H. Lee,65,+.029
53,T53,T53,Scott Piercy,78,+.029
54,55,55,Kevin Chappell,80,+.031
55,56,56,Jordan Spieth,82,+.032
56,T57,T57,Scott Stallings,79,+.034
57,T57,T57,Lee Westwood,70,+.034
