,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Justin Rose,62,5,1,4
1,2,2,Peter Hanson,45,6,4,2
2,3,3,Vaughn Taylor,50,10,5,5
3,4,4,Billy Horschel,96,12,5,7
4,T5,T5,Ernie Els,63,17,2,15
5,T5,T5,Mark Wilson,56,17,9,8
6,7,7,Hunter Mahan,91,22,3,19
7,8,8,Nicholas Thompson,99,24,10,14
8,9,9,Nicolas Colsaerts,50,28,8,20
9,10,10,Sean O'Hair,56,36,5,31
10,T11,T11,Ben Crane,62,37,15,22
11,T11,T11,Brian Harman,89,37,13,24
12,T13,T13,David Hearn,88,38,11,27
13,T13,T13,Steve Stricker,51,38,35,3
14,15,15,Chez Reavie,72,40,29,11
15,16,16,Doug LaBelle II,72,41,26,15
16,T17,T17,Jeff Maggert,63,44,39,5
17,T17,T17,David Toms,49,44,16,28
18,19,19,Brian Davis,91,47,39,8
19,T20,T20,Bud Cauley,67,50,18,32
20,T20,T20,Chris Kirk,89,50,12,38
21,22,22,Zach Johnson,84,51,29,22
22,23,23,Andres Romero,63,56,13,43
23,T24,T24,Ryan Palmer,79,60,18,42
24,T24,T24,Bo Van Pelt,72,60,23,37
25,26,26,Keegan Bradley,88,65,18,47
26,27,27,Morgan Hoffmann,64,66,51,15
27,28,28,Scott Piercy,78,70,37,33
28,T29,T29,Dustin Johnson,71,73,33,40
29,T29,T29,Darron Stiles,51,73,65,8
30,31,31,Brian Gay,79,74,56,18
31,T32,T32,Tim Clark,64,75,74,1
32,T32,T32,David Lynn,70,75,62,13
33,T32,T32,Michael Thompson,66,75,41,34
34,35,35,Kevin Stadler,83,83,32,51
35,36,36,Jin Park,52,84,41,43
36,T37,T37,Matt Every,89,86,43,43
37,T37,T37,Brandt Snedeker,79,86,37,49
38,39,39,Carl Pettersson,82,88,48,40
39,40,40,Henrik Stenson,65,93,35,58
40,41,41,Steven Bowditch,67,99,31,68
