,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Brian Gay,50.69,146,288
1,2,2,Y.E. Yang,50.0,81,162
2,3,3,Mike Weir,49.21,62,126
3,4,4,Aaron Baddeley,47.78,86,180
4,5,5,Bryce Molder,47.39,145,306
5,6,6,Justin Bolli,47.22,34,72
6,7,7,Matt Jones,46.41,142,306
7,8,8,Jason Bohn,46.3,100,216
8,9,9,Jonas Blixt,46.15,108,234
9,10,10,Steven Bowditch,45.96,91,198
10,11,11,Rickie Fowler,45.56,123,270
11,12,12,David Lingmerth,45.45,90,198
12,13,13,Vaughn Taylor,45.14,65,144
13,14,14,"Ted Potter, Jr.",45.06,73,162
14,T15,T15,Jordan Spieth,44.44,144,324
15,T15,T15,Cameron Tringale,44.44,128,288
16,17,17,Martin Flores,44.1,127,288
17,18,18,Doug LaBelle II,44.02,103,234
18,T19,T19,Billy Horschel,43.94,174,396
19,T19,T19,Robert Streb,43.94,87,198
20,21,21,Charles Howell III,43.83,142,324
21,22,22,Jeff Overton,43.75,126,288
22,23,23,D.A. Points,43.7,118,270
23,24,24,Jason Day,43.61,157,360
24,T25,T25,David Hearn,43.46,133,306
25,T25,T25,Ryan Palmer,43.46,133,306
26,27,27,Greg Chalmers,43.16,101,234
27,T28,T28,Peter Hanson,43.06,62,144
28,T28,T28,Lee Williams,43.06,62,144
29,30,30,Keegan Bradley,42.98,147,342
30,31,31,Camilo Villegas,42.96,116,270
31,32,32,Patrick Reed,42.86,108,252
32,33,33,Martin Kaymer,42.74,100,234
33,T34,T34,Bob Estes,42.59,115,270
34,T34,T34,Matt Kuchar,42.59,161,378
35,36,36,Darron Stiles,42.22,38,90
36,37,37,Tommy Gainey,42.13,91,216
37,38,38,Andres Romero,41.98,68,162
38,T39,T39,Scott Brown,41.92,83,198
39,T39,T39,Morgan Hoffmann,41.92,83,198
40,T39,T39,D.H. Lee,41.92,83,198
