,Putts_Made_Per_Event_Over_10_RANK THIS WEEK,Putts_Made_Per_Event_Over_10_RANK LAST WEEK,Putts_Made_Per_Event_Over_10_PLAYER NAME,Putts_Made_Per_Event_Over_10_ROUNDS,Putts_Made_Per_Event_Over_10_PUTTS MADE
0,1,1,Charl Schwartzel,69,7.5
1,T2,T2,Sergio Garcia,65,7.0
2,T2,T2,Steve Stricker,51,7.0
3,4,4,Billy Horschel,96,6.8
4,T5,T5,Jim Furyk,80,6.7
5,T5,T5,Chris Kirk,89,6.7
6,T7,T7,Rickie Fowler,75,6.6
7,T7,T7,Zach Johnson,84,6.6
8,T9,T9,Harris English,95,6.5
9,T9,T9,Adam Scott,61,6.5
10,T9,T9,Jordan Spieth,82,6.5
11,T12,T12,Russell Henley,80,6.4
12,T12,T12,Nick Watney,88,6.4
13,T14,T14,Sangmoon Bae,83,6.3
14,T14,T14,Phil Mickelson,78,6.3
15,T16,T16,Matt Kuchar,93,6.2
16,T16,T16,Ryan Palmer,79,6.2
17,T16,T16,Tiger Woods,61,6.2
18,T19,T19,Luke Donald,60,6.1
19,T19,T19,Martin Kaymer,61,6.1
20,T19,T19,Graeme McDowell,53,6.1
21,T22,T22,Jason Day,86,6.0
22,T22,T22,Peter Hanson,45,6.0
23,T22,T22,Brandt Snedeker,79,6.0
24,T22,T22,Henrik Stenson,65,6.0
25,26,26,Bob Estes,66,5.9
26,T27,T27,Graham DeLaet,94,5.8
27,T27,T27,Charles Howell III,87,5.8
28,T27,T27,Webb Simpson,92,5.8
29,T30,T30,Bill Haas,85,5.7
30,T30,T30,Richard Lee,81,5.7
31,T30,T30,Lee Westwood,70,5.7
32,T33,T33,Ángel Cabrera,73,5.6
33,T33,T33,James Driscoll,76,5.6
34,T33,T33,David Hearn,88,5.6
35,T33,T33,Charley Hoffman,84,5.6
36,T33,T33,Marc Leishman,77,5.6
37,T38,T38,Rory McIlroy,56,5.5
38,T38,T38,Bryce Molder,82,5.5
39,T38,T38,Jimmy Walker,84,5.5
40,T41,T41,Keegan Bradley,88,5.4
41,T41,T41,Brendon de Jonge,110,5.4
42,T41,T41,Justin Rose,62,5.4
43,T41,T41,Kevin Streelman,86,5.4
44,T41,T41,Gary Woodland,94,5.4
45,T46,T46,Stuart Appleby,88,5.3
46,T46,T46,Greg Chalmers,77,5.3
47,T46,T46,David Lynn,70,5.3
48,T46,T46,"Ted Potter, Jr.",65,5.3
49,T50,T50,Erik Compton,74,5.2
50,T50,T50,Jason Dufner,78,5.2
51,T50,T50,Freddie Jacobson,63,5.2
52,T50,T50,Justin Leonard,86,5.2
53,T50,T50,John Merrick,79,5.2
54,T50,T50,Bubba Watson,76,5.2
55,T56,T56,K.J. Choi,85,5.1
56,T56,T56,Carl Pettersson,82,5.1
57,T58,T58,Jason Bohn,70,5.0
58,T58,T58,Brian Davis,91,5.0
59,T58,T58,Matt Every,89,5.0
60,T58,T58,Morgan Hoffmann,64,5.0
61,T58,T58,Dustin Johnson,71,5.0
62,T58,T58,Jerry Kelly,75,5.0
63,T58,T58,Doug LaBelle II,72,5.0
64,T58,T58,Hunter Mahan,91,5.0
65,T58,T58,Kevin Stadler,83,5.0
66,T58,T58,Chris Stroud,88,5.0
67,T58,T58,Boo Weekley,100,5.0
68,T58,T58,Charlie Wi,75,5.0
69,T70,T70,Stewart Cink,71,4.9
70,T70,T70,Martin Flores,83,4.9
71,T70,T70,Brandt Jobe,62,4.9
72,T70,T70,Ben Kohles,75,4.9
73,T70,T70,Scott Langley,79,4.9
74,T70,T70,Jeff Overton,78,4.9
75,T70,T70,Scott Piercy,78,4.9
76,T70,T70,Rory Sabbatini,86,4.9
77,T78,T78,Stephen Ames,49,4.8
78,T78,T78,Padraig Harrington,52,4.8
79,T78,T78,D.A. Points,87,4.8
80,T78,T78,Chez Reavie,72,4.8
81,T78,T78,Patrick Reed,83,4.8
82,T78,T78,D.J. Trahan,48,4.8
83,T84,T84,Aaron Baddeley,68,4.7
84,T84,T84,Brad Fritsch,81,4.7
85,T84,T84,Brian Gay,79,4.7
86,T84,T84,Ryo Ishikawa,72,4.7
87,T84,T84,Matt Jones,83,4.7
88,T84,T84,Pat Perez,69,4.7
89,T84,T84,Ian Poulter,59,4.7
90,T84,T84,Daniel Summerhays,83,4.7
91,T84,T84,Nicholas Thompson,99,4.7
92,T84,T84,Michael Thompson,66,4.7
93,T84,T84,Camilo Villegas,79,4.7
94,T95,T95,Kevin Chappell,80,4.6
95,T95,T95,Tim Clark,64,4.6
96,T95,T95,Ken Duke,87,4.6
97,T95,T95,Justin Hicks,79,4.6
98,T95,T95,Martin Laird,68,4.6
99,T95,T95,William McGirt,75,4.6
100,T95,T95,Henrik Norlander,70,4.6
101,T102,T102,Jonas Blixt,76,4.5
102,T102,T102,Ben Curtis,59,4.5
103,T102,T102,Fabián Gómez,65,4.5
104,T102,T102,Luke Guthrie,82,4.5
105,T102,T102,J.J. Henry,83,4.5
106,T102,T102,Jeff Maggert,63,4.5
107,T102,T102,George McNeill,68,4.5
108,T102,T102,Ryan Moore,72,4.5
109,T102,T102,John Rollins,77,4.5
110,T102,T102,Brendan Steele,86,4.5
111,T102,T102,Robert Streb,75,4.5
112,T102,T102,Brian Stuard,78,4.5
113,T102,T102,Josh Teater,86,4.5
114,T102,T102,Cameron Tringale,80,4.5
115,T116,T116,Chad Campbell,78,4.4
116,T116,T116,Tommy Gainey,84,4.4
117,T116,T116,Jason Kokrak,78,4.4
118,T116,T116,John Senden,79,4.4
119,T116,T116,Shawn Stefani,63,4.4
120,T116,T116,Vaughn Taylor,50,4.4
121,T122,T122,Roberto Castro,97,4.3
122,T122,T122,Ernie Els,63,4.3
123,T122,T122,Tim Herron,45,4.3
124,T122,T122,John Huh,88,4.3
