,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Roberto Castro,97,337,579,58.2
1,2,2,Brendon de Jonge,110,335,656,51.1
2,T3,T3,Brian Davis,91,334,634,52.7
3,T3,T3,Brian Gay,79,334,589,56.7
4,T5,T5,Charles Howell III,87,329,596,55.2
5,T5,T5,Chris Stroud,88,329,596,55.2
6,7,7,Justin Leonard,86,326,571,57.1
7,8,8,Chris Kirk,89,318,643,49.5
8,9,9,Nicholas Thompson,99,304,589,51.6
9,10,10,Stuart Appleby,88,303,576,52.6
10,11,11,Brian Harman,89,302,552,54.7
11,12,12,Matt Every,89,299,593,50.4
12,13,13,Martin Flores,83,298,554,53.8
13,14,14,Patrick Reed,83,297,558,53.2
14,15,15,Harris English,95,293,603,48.6
15,16,16,Jonas Blixt,76,292,513,56.9
16,17,17,Daniel Summerhays,83,289,554,52.2
17,T18,T18,Jason Kokrak,78,286,517,55.3
18,T18,T18,Bryce Molder,82,286,540,53.0
19,20,20,Gary Woodland,94,285,574,49.7
20,21,21,Matt Jones,83,284,519,54.7
21,22,22,Boo Weekley,100,282,531,53.1
22,T23,T23,Matt Kuchar,93,281,520,54.0
23,T23,T23,Brendan Steele,86,281,520,54.0
24,T25,T25,Ken Duke,87,275,538,51.1
25,T25,T25,Cameron Tringale,80,275,525,52.4
26,T27,T27,Aaron Baddeley,68,274,477,57.4
27,T27,T27,Jeff Overton,78,274,543,50.5
28,29,29,Graham DeLaet,94,273,539,50.6
29,30,30,Billy Horschel,96,272,595,45.7
30,31,31,David Hearn,88,271,554,48.9
31,32,32,Greg Chalmers,77,270,547,49.4
32,T33,T33,William McGirt,75,268,507,52.9
33,T33,T33,Jimmy Walker,84,268,552,48.6
34,35,35,Tommy Gainey,84,267,535,49.9
35,36,36,Webb Simpson,92,265,512,51.8
36,T37,T37,Bob Estes,66,263,461,57.0
37,T37,T37,Ryan Palmer,79,263,518,50.8
38,39,39,Keegan Bradley,88,260,505,51.5
39,40,40,Rory Sabbatini,86,259,508,51.0
40,T41,T41,Jordan Spieth,82,258,515,50.1
41,T41,T41,Charlie Wi,75,258,500,51.6
42,43,43,Steven Bowditch,67,255,443,57.6
43,T44,T44,Jason Day,86,254,464,54.7
44,T44,T44,John Huh,88,254,506,50.2
45,46,46,Luke Guthrie,82,252,482,52.3
46,47,47,Scott Langley,79,251,455,55.2
47,48,48,James Hahn,78,250,469,53.3
48,49,49,Camilo Villegas,79,248,472,52.5
49,50,50,Jim Furyk,80,247,448,55.1
50,T51,T51,Kevin Chappell,80,245,464,52.8
51,T51,T51,Richard Lee,81,245,508,48.2
52,T51,T51,D.A. Points,87,245,488,50.2
53,54,54,Sangmoon Bae,83,244,533,45.8
54,55,55,Charley Hoffman,84,243,518,46.9
55,56,56,Jerry Kelly,75,242,462,52.4
56,57,57,Marc Leishman,77,241,458,52.6
57,58,58,Scott Stallings,79,240,491,48.9
58,T59,T59,Chad Campbell,78,239,470,50.9
59,T59,T59,John Merrick,79,239,458,52.2
60,T59,T59,Phil Mickelson,78,239,461,51.8
61,T59,T59,Kevin Streelman,86,239,476,50.2
62,T63,T63,Erik Compton,74,237,469,50.5
63,T63,T63,Kevin Stadler,83,237,470,50.4
64,65,65,Brad Fritsch,81,236,475,49.7
65,T66,T66,Hunter Mahan,91,233,457,51.0
66,T66,T66,Josh Teater,86,233,440,53.0
67,T68,T68,Tom Gillis,69,232,433,53.6
68,T68,T68,Nick Watney,88,232,479,48.4
69,T70,T70,Zach Johnson,84,231,464,49.8
70,T70,T70,John Rollins,77,231,452,51.1
71,72,72,Brandt Snedeker,79,230,463,49.7
72,T73,T73,James Driscoll,76,229,469,48.8
73,T73,T73,Scott Piercy,78,229,434,52.8
74,75,75,Chez Reavie,72,228,460,49.6
75,76,76,Casey Wittenberg,72,226,439,51.5
76,T77,T77,Jason Bohn,70,225,479,47.0
77,T77,T77,Seung-Yul Noh,71,225,411,54.7
78,79,79,Brian Stuard,78,224,431,52.0
79,T80,T80,Bill Haas,85,222,467,47.5
80,T80,T80,David Lingmerth,68,222,426,52.1
81,T82,T82,Rickie Fowler,75,221,439,50.3
82,T82,T82,Pat Perez,69,221,427,51.8
83,T82,T82,Carl Pettersson,82,221,447,49.4
84,T85,T85,Jason Dufner,78,218,429,50.8
85,T85,T85,J.J. Henry,83,218,451,48.3
86,87,87,Greg Owen,73,217,418,51.9
87,T88,T88,K.J. Choi,85,216,445,48.5
88,T88,T88,David Lynn,70,216,408,52.9
89,T90,T90,Scott Brown,65,215,378,56.9
90,T90,T90,Ryan Moore,72,215,411,52.3
91,T90,T90,Tag Ridings,69,215,392,54.8
92,T93,T93,Ricky Barnes,74,214,406,52.7
93,T93,T93,Robert Streb,75,214,425,50.4
94,T95,T95,Russell Henley,80,213,476,44.7
95,T95,T95,Troy Matteson,68,213,401,53.1
96,T97,T97,Dicky Pride,71,212,404,52.5
97,T97,T97,Andres Romero,63,212,387,54.8
98,T99,T99,Colt Knost,69,211,412,51.2
99,T99,T99,George McNeill,68,211,432,48.8
100,T101,T101,Ben Crane,62,208,405,51.4
101,T101,T101,Trevor Immelman,73,208,390,53.3
102,T103,T103,Jeff Maggert,63,206,396,52.0
103,T103,T103,Mike Weir,60,206,373,55.2
104,105,105,Bud Cauley,67,205,373,55.0
105,T106,T106,D.H. Lee,65,204,397,51.4
106,T106,T106,Lee Williams,62,204,360,56.7
107,T108,T108,Henrik Norlander,70,203,392,51.8
108,T108,T108,John Senden,79,203,392,51.8
109,110,110,Cameron Percy,68,202,395,51.1
110,T111,T111,Justin Hicks,79,199,437,45.5
111,T111,T111,Luke List,65,199,369,53.9
112,T111,T111,Michael Thompson,66,199,364,54.7
113,114,114,David Mathis,71,197,403,48.9
114,115,115,"Ted Potter, Jr.",65,194,400,48.5
115,T116,T116,Ben Kohles,75,193,412,46.8
116,T116,T116,Doug LaBelle II,72,193,423,45.6
117,T118,T118,Ángel Cabrera,73,192,376,51.1
118,T118,T118,Will Claxton,67,192,346,55.5
119,T120,T120,Morgan Hoffmann,64,191,392,48.7
120,T120,T120,Bo Van Pelt,72,191,369,51.8
121,T122,T122,Sergio Garcia,65,190,348,54.6
122,T122,T122,Fabián Gómez,65,190,393,48.3
123,T124,T124,Lucas Glover,65,189,332,56.9
124,T124,T124,Dustin Johnson,71,189,355,53.2
125,T124,T124,Lee Westwood,70,189,349,54.2
126,127,127,Shawn Stefani,63,187,365,51.2
127,T128,T128,Kyle Stanley,71,186,392,47.4
128,T128,T128,Bubba Watson,76,186,394,47.2
129,T130,T130,Charlie Beljan,62,185,365,50.7
130,T130,T130,Freddie Jacobson,63,185,360,51.4
131,132,132,Tim Clark,64,184,336,54.8
132,133,133,Luke Donald,60,181,356,50.8
133,134,134,Justin Bolli,59,180,327,55.0
134,T135,T135,Stewart Cink,71,179,361,49.6
135,T135,T135,Ernie Els,63,179,338,53.0
136,T135,T135,Brandt Jobe,62,179,352,50.9
137,138,138,Ryo Ishikawa,72,178,343,51.9
138,139,139,Robert Garrigus,69,177,314,56.4
139,140,140,Robert Allenby,58,176,343,51.3
140,T141,T141,Scott Gardiner,61,175,346,50.6
141,T141,T141,Alistair Presnell,59,175,331,52.9
142,143,143,Ben Curtis,59,173,317,54.6
143,T144,T144,Martin Laird,68,172,345,49.9
144,T144,T144,Steve LeBrun,66,172,351,49.0
145,T144,T144,Jin Park,52,172,305,56.4
146,T144,T144,Tiger Woods,61,172,330,52.1
147,T148,T148,Rory McIlroy,56,169,313,54.0
148,T148,T148,Ian Poulter,59,169,296,57.1
149,T148,T148,Johnson Wagner,64,169,347,48.7
150,T148,T148,Mark Wilson,56,169,323,52.3
151,152,152,Stephen Ames,49,168,335,50.1
152,T153,T153,Derek Ernst,58,167,320,52.2
153,T153,T153,Tim Herron,45,167,318,52.5
154,T153,T153,Sean O'Hair,56,167,330,50.6
155,T153,T153,Geoff Ogilvy,57,167,302,55.3
156,157,157,Darron Stiles,51,166,302,55.0
157,T158,T158,Justin Rose,62,163,320,50.9
158,T158,T158,Vaughn Taylor,50,163,307,53.1
159,160,160,Charl Schwartzel,69,162,385,42.1
160,161,161,Y.E. Yang,56,159,298,53.4
161,T162,T162,Adam Scott,61,148,294,50.3
162,T162,T162,Henrik Stenson,65,148,298,49.7
163,164,164,Vijay Singh,61,147,279,52.7
164,165,165,Robert Karlsson,56,146,262,55.7
165,T166,T166,Rod Pampling,46,143,236,60.6
166,T166,T166,Steve Stricker,51,143,274,52.2
167,T168,T168,Padraig Harrington,52,141,263,53.6
168,T168,T168,Graeme McDowell,53,141,275,51.3
169,170,170,Aaron Watkins,46,140,251,55.8
170,171,171,Michael Bradley,56,137,269,50.9
171,172,172,D.J. Trahan,48,136,253,53.8
172,173,173,Jim Herman,59,134,275,48.7
173,174,174,Martin Kaymer,61,132,273,48.4
174,T175,T175,Bobby Gates,49,129,252,51.2
175,T175,T175,Peter Hanson,45,129,261,49.4
176,177,177,Andrew Svoboda,46,122,233,52.4
177,178,178,David Toms,49,113,219,51.6
178,179,179,Eric Meierdierks,48,112,222,50.5
179,180,180,Nicolas Colsaerts,50,103,218,47.2
