,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Brendon de Jonge,30
1,2,2,Keegan Bradley,25
2,3,3,Roberto Castro,29
3,4,4,Chris Kirk,24
4,5,5,Billy Horschel,26
5,6,6,Graham DeLaet,26
6,7,7,Chris Stroud,26
7,T8,T8,Jordan Spieth,23
8,T8,T8,Jimmy Walker,24
9,T10,T10,Harris English,26
10,T10,T10,Zach Johnson,24
11,T10,T10,Matt Kuchar,23
12,T10,T10,Nicholas Thompson,29
13,T14,T14,Charley Hoffman,23
14,T14,T14,Hunter Mahan,25
15,T14,T14,Nick Watney,26
16,T14,T14,Boo Weekley,27
17,T18,T18,Stuart Appleby,25
18,T18,T18,Brian Davis,28
19,T18,T18,Matt Every,28
20,T18,T18,Bill Haas,25
21,T18,T18,David Hearn,26
22,T18,T18,Rory Sabbatini,27
23,T24,T24,Charles Howell III,26
24,T24,T24,Matt Jones,24
25,T24,T24,Webb Simpson,25
26,T27,T27,Jim Furyk,22
27,T27,T27,Kevin Stadler,25
28,T27,T27,Kevin Streelman,25
29,T27,T27,Daniel Summerhays,26
30,T31,T31,Brandt Snedeker,23
31,T31,T31,Gary Woodland,26
32,33,33,Bryce Molder,24
33,T34,T34,Jason Day,21
34,T34,T34,Justin Leonard,24
35,T34,T34,Jeff Overton,24
36,T34,T34,John Rollins,24
37,T38,T38,K.J. Choi,24
38,T38,T38,Henrik Stenson,18
39,T40,T40,James Driscoll,23
40,T40,T40,Ken Duke,28
41,T40,T40,Bob Estes,18
42,T40,T40,Brian Harman,29
43,T40,T40,Russell Henley,24
44,T40,T40,Jason Kokrak,25
45,T40,T40,John Merrick,23
46,T40,T40,Ryan Palmer,22
47,T40,T40,Chez Reavie,22
48,T40,T40,Brendan Steele,26
49,T40,T40,Cameron Tringale,24
50,T51,T51,Jerry Kelly,22
51,T51,T51,William McGirt,24
52,T51,T51,Phil Mickelson,21
53,T51,T51,Patrick Reed,26
54,T51,T51,Justin Rose,17
55,T51,T51,Camilo Villegas,23
