,Approaches_175-200_yards-Rgh_RTP_RANK THIS WEEK,Approaches_175-200_yards-Rgh_RTP_RANK LAST WEEK,Approaches_175-200_yards-Rgh_RTP_PLAYER NAME,Approaches_175-200_yards-Rgh_RTP_ROUNDS,Approaches_175-200_yards-Rgh_RTP_AVG RTP
0,1,1,Sergio Garcia,61,-.095
1,2,2,Rory McIlroy,66,-.056
2,T3,T3,James Hahn,82,E
3,T3,T3,Charley Hoffman,93,E
4,T3,T3,Andrew Loupe,65,E
5,6,6,Luke Guthrie,85,+.021
6,7,7,"Ted Potter, Jr.",68,+.040
7,8,8,Patrick Reed,92,+.052
8,9,9,Jamie Lovemark,64,+.053
9,10,10,Chesson Hadley,84,+.061
10,11,11,Josh Teater,90,+.068
11,12,12,Jerry Kelly,80,+.079
12,13,13,Charlie Wi,72,+.087
13,T14,T14,Brooks Koepka,56,+.091
14,T14,T14,Ryan Palmer,85,+.091
15,16,16,Jhonattan Vegas,77,+.096
16,17,17,Martin Flores,85,+.102
17,18,18,Ian Poulter,57,+.105
18,19,19,George McNeill,79,+.109
19,20,20,Freddie Jacobson,91,+.111
20,21,21,Pat Perez,84,+.118
21,22,22,Zach Johnson,97,+.119
22,23,23,Jason Kokrak,65,+.122
23,24,24,Robert Garrigus,80,+.130
24,T25,T25,Ben Martin,80,+.135
25,T25,T25,Ryan Moore,86,+.135
26,T27,T27,Derek Ernst,80,+.143
27,T27,T27,Lucas Glover,68,+.143
28,T27,T27,Dustin Johnson,58,+.143
29,T27,T27,Bo Van Pelt,83,+.143
30,31,31,Ernie Els,85,+.145
31,32,32,Brendon de Jonge,109,+.148
32,33,33,Kevin Na,94,+.151
33,T34,T34,Kevin Tway,64,+.152
34,T34,T34,Mike Weir,69,+.152
35,36,36,Nick Watney,80,+.154
36,37,37,K.J. Choi,80,+.156
37,38,38,Gonzalo Fernandez-Castaño,83,+.157
38,T39,T39,Charl Schwartzel,64,+.159
39,T39,T39,Brendan Steele,89,+.159
40,T39,T39,Tim Wilkinson,86,+.159
41,42,42,Scott Langley,95,+.161
42,43,43,Seung-Yul Noh,92,+.162
43,44,44,Kevin Stadler,90,+.163
44,45,45,Chris Kirk,105,+.164
45,T46,T46,Hudson Swafford,75,+.167
46,T46,T46,Bubba Watson,76,+.167
47,48,48,John Senden,99,+.170
48,49,49,Billy Hurley III,86,+.175
49,50,50,Charles Howell III,106,+.177
50,51,51,Jeff Overton,80,+.180
51,T52,T52,Scott Brown,100,+.182
52,T52,T52,Shawn Stefani,60,+.182
53,T54,T54,Keegan Bradley,89,+.184
54,T54,T54,Webb Simpson,87,+.184
55,56,56,Brian Stuard,91,+.186
56,57,57,Spencer Levin,59,+.188
57,58,58,Brian Gay,81,+.190
58,59,59,Brice Garnett,92,+.191
59,60,60,Chad Campbell,57,+.192
60,61,61,Steven Bowditch,93,+.194
61,62,62,Stewart Cink,91,+.195
62,63,63,Jim Herman,62,+.200
63,64,64,Brandt Snedeker,89,+.205
64,65,65,Michael Thompson,74,+.206
65,T66,T66,Jonas Blixt,64,+.208
66,T66,T66,Matt Kuchar,91,+.208
67,T68,T68,Aaron Baddeley,74,+.209
68,T68,T68,Robert Streb,75,+.209
69,70,70,Sean O'Hair,77,+.211
70,71,71,Robert Allenby,83,+.212
71,72,72,Morgan Hoffmann,103,+.215
72,73,73,Bryce Molder,77,+.216
73,74,74,Davis Love III,74,+.217
74,75,75,Tyrone Van Aswegen,79,+.218
75,76,76,Adam Scott,68,+.219
76,77,77,Ben Curtis,77,+.220
77,T78,T78,Briny Baird,50,+.222
78,T78,T78,Jason Bohn,81,+.222
79,T78,T78,Ángel Cabrera,69,+.222
80,81,81,D.A. Points,75,+.225
81,82,82,David Hearn,97,+.226
82,T83,T83,Matt Jones,83,+.231
83,T83,T83,Louis Oosthuizen,50,+.231
84,85,85,Trevor Immelman,84,+.232
85,86,86,John Rollins,84,+.233
86,T87,T87,Richard Lee,80,+.235
87,T87,T87,Cameron Tringale,111,+.235
88,89,89,Jimmy Walker,98,+.238
89,T90,T90,Graham DeLaet,80,+.241
90,T90,T90,Scott Stallings,77,+.241
91,T92,T92,Tim Clark,75,+.242
92,T92,T92,Brendon Todd,108,+.242
93,94,94,Nicholas Thompson,85,+.244
94,T95,T95,Matt Every,85,+.245
95,T95,T95,Bill Haas,107,+.245
96,97,97,Greg Chalmers,85,+.246
97,T98,T98,Jason Dufner,57,+.250
98,T98,T98,Harris English,95,+.250
99,T98,T98,Brian Harman,111,+.250
100,T98,T98,Henrik Stenson,56,+.250
101,T102,T102,J.B. Holmes,86,+.255
102,T102,T102,Danny Lee,84,+.255
103,T102,T102,Jordan Spieth,102,+.255
104,105,105,Kyle Stanley,87,+.263
105,T106,T106,Brian Davis,93,+.267
106,T106,T106,Retief Goosen,94,+.267
107,T106,T106,Troy Merritt,62,+.267
108,T106,T106,John Peterson,62,+.267
109,110,110,Ricky Barnes,92,+.268
110,111,111,Kevin Streelman,79,+.273
111,112,112,Carl Pettersson,91,+.274
112,113,113,Daniel Summerhays,98,+.279
113,114,114,Michael Putnam,106,+.284
114,T115,T115,Jonathan Byrd,76,+.286
115,T115,T115,Chad Collins,78,+.286
116,T115,T115,Brad Fritsch,50,+.286
117,T115,T115,Kevin Kisner,85,+.286
118,T119,T119,Roberto Castro,76,+.290
119,T119,T119,Troy Matteson,62,+.290
120,121,121,Camilo Villegas,95,+.291
121,T122,T122,Ben Crane,81,+.293
122,T122,T122,Marc Leishman,81,+.293
123,124,124,J.J. Henry,91,+.295
124,125,125,Rickie Fowler,91,+.302
125,T126,T126,Paul Casey,56,+.304
126,T126,T126,Kevin Chappell,100,+.304
127,T126,T126,Boo Weekley,73,+.304
128,129,129,Stuart Appleby,92,+.306
129,T130,T130,Billy Horschel,92,+.308
130,T130,T130,Heath Slocum,71,+.308
131,T130,T130,Y.E. Yang,79,+.308
132,133,133,Erik Compton,88,+.310
133,T134,T134,Russell Henley,92,+.311
134,T134,T134,Justin Rose,70,+.311
135,136,136,Jim Furyk,84,+.316
136,137,137,Phil Mickelson,71,+.317
137,138,138,William McGirt,96,+.320
138,139,139,Andrew Svoboda,77,+.324
139,T140,T140,Jason Day,54,+.333
140,T140,T140,Martin Laird,66,+.333
141,T140,T140,Gary Woodland,93,+.333
142,T143,T143,Ken Duke,80,+.342
143,T143,T143,Justin Hicks,103,+.342
144,145,145,Tommy Gainey,73,+.344
145,146,146,Hideki Matsuyama,82,+.347
146,147,147,Graeme McDowell,66,+.348
147,T148,T148,Bronson La'Cassie,51,+.350
148,T148,T148,Andres Romero,81,+.350
149,150,150,Luke Donald,57,+.353
150,151,151,Hunter Mahan,88,+.359
151,152,152,Justin Leonard,75,+.362
152,153,153,Russell Knox,92,+.364
153,154,154,James Driscoll,71,+.368
154,155,155,John Merrick,87,+.375
155,156,156,Johnson Wagner,69,+.381
156,157,157,David Toms,64,+.385
157,T158,T158,Sangmoon Bae,76,+.389
158,T158,T158,Chris Stroud,88,+.389
159,160,160,Jeff Maggert,54,+.391
160,161,161,Jim Renner,61,+.395
161,T162,T162,Bud Cauley,56,+.400
162,T162,T162,David Lingmerth,80,+.400
163,T162,T162,Geoff Ogilvy,84,+.400
164,T162,T162,Vijay Singh,83,+.400
165,166,166,Will MacKenzie,82,+.404
166,167,167,Willy Wilcox,51,+.409
167,168,168,Woody Austin,63,+.415
168,169,169,Wes Roach,67,+.421
169,170,170,Lee Westwood,57,+.423
170,171,171,Rory Sabbatini,82,+.435
171,T172,T172,Charlie Beljan,76,+.438
172,T172,T172,Mark Wilson,69,+.438
