,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
0,1,1,Dustin Johnson,58,"53' 0""",477.25,9,-5
1,2,2,Jonas Blixt,64,"57' 7""",403.0,7,-5
2,3,3,Patrick Reed,92,"59' 1""",532.0,9,-3
3,4,4,Rory McIlroy,66,"59' 6""",654.6669999999999,11,-6
4,5,5,Wes Roach,67,"59' 10""",718.0,12,-7
5,6,6,Heath Slocum,71,"63' 8""",191.083,3,-3
6,7,7,Brooks Koepka,56,"64' 8""",452.75,7,-4
7,8,8,Martin Laird,66,"65' 1""",650.8330000000001,10,-8
8,9,9,Brice Garnett,92,"66' 1""",1123.917,17,-13
9,10,10,Ben Martin,80,"66' 3""",397.333,6,-3
10,11,11,Jason Kokrak,65,"66' 4""",464.25,7,-5
11,12,12,Hideki Matsuyama,82,"67' 11""",883.1669999999999,13,-10
12,13,13,Erik Compton,88,"69' 0""",966.5,14,-8
13,14,14,Aaron Baddeley,74,"69' 4""",762.5,11,-6
14,15,15,Scott Langley,95,"69' 11""",489.667,7,-4
15,16,16,Charlie Beljan,76,"70' 10""",708.0,10,-6
16,17,17,Bo Van Pelt,83,"70' 11""",637.9169999999999,9,-2
17,18,18,Jamie Lovemark,64,"71' 4""",570.5,8,-4
18,19,19,James Hahn,82,"71' 5""",999.8330000000001,14,-9
19,20,20,Jim Furyk,84,"72' 2""",649.4169999999999,9,-4
20,21,21,Russell Henley,92,"72' 8""",1379.9170000000001,19,-13
21,22,22,Kevin Chappell,100,"73' 1""",1753.5829999999999,24,-12
22,23,23,Kevin Tway,64,"73' 2""",658.3330000000001,9,-2
23,T24,T24,Matt Every,85,"73' 10""",590.5,8,-3
24,T24,T24,Robert Garrigus,80,"73' 10""",443.167,6,-5
25,T24,T24,Morgan Hoffmann,103,"73' 10""",1181.75,16,-7
26,T27,T27,Troy Matteson,62,"74' 3""",965.25,13,-4
27,T27,T27,Bubba Watson,76,"74' 3""",1114.167,15,-8
28,29,29,Spencer Levin,59,"74' 5""",223.25,3,-1
29,30,30,Andrew Loupe,65,"75' 1""",300.33299999999997,4,-3
30,31,31,Ryo Ishikawa,75,"75' 3""",752.0830000000001,10,-4
31,32,32,Kyle Stanley,87,"75' 4""",1280.583,17,-8
32,33,33,Paul Casey,56,"75' 11""",607.25,8,-4
33,34,34,Kevin Na,94,"76' 5""",1375.3329999999999,18,-8
34,35,35,Seung-Yul Noh,92,"76' 6""",688.5,9,-1
35,36,36,Ricky Barnes,92,"76' 7""",1377.8329999999999,18,-11
36,37,37,Robert Allenby,83,"76' 8""",536.4169999999999,7,-2
37,38,38,Brendan Steele,89,"76' 9""",613.8330000000001,8,-4
38,39,39,Martin Flores,85,"76' 11""",1077.333,14,-9
39,40,40,Martin Kaymer,65,"77' 4""",1005.6669999999999,13,-7
40,T41,T41,Henrik Stenson,56,"77' 5""",1392.8329999999999,18,-7
41,T41,T41,Jimmy Walker,98,"77' 5""",1238.5,16,-10
42,43,43,Adam Scott,68,"77' 7""",1241.417,16,-7
43,44,44,Charley Hoffman,93,"78' 1""",1248.667,16,-7
44,45,45,Charl Schwartzel,64,"78' 5""",1646.0,21,-10
45,46,46,Bud Cauley,56,"78' 10""",945.8330000000001,12,-5
46,47,47,Kevin Streelman,79,"78' 11""",947.0830000000001,12,-5
47,48,48,Jim Renner,61,"79' 2""",949.8330000000001,12,-7
48,49,49,Tommy Gainey,73,"79' 3""",792.75,10,-2
49,50,50,Ryan Palmer,85,"79' 7""",1273.833,16,-4
50,T51,T51,Jeff Maggert,54,"79' 8""",398.333,5,-4
