,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Bubba Watson,76,155.9,4316448.0,769
1,2,2,Dustin Johnson,58,156.8,3160557.0,560
2,3,3,Jamie Lovemark,64,159.5,3663220.0,638
3,4,4,Andrew Loupe,65,159.9,3944355.0,685
4,5,5,Rory McIlroy,66,162.4,3881394.0,664
5,6,6,Brooks Koepka,56,165.1,3423512.0,576
6,7,7,Charlie Beljan,76,165.3,5475242.0,920
7,8,8,Charles Howell III,106,165.5,7808836.0,1311
8,9,9,Ryan Palmer,85,165.6,5519584.0,926
9,10,10,J.B. Holmes,86,166.5,6337512.0,1057
10,11,11,Ángel Cabrera,69,167.1,5076679.0,844
11,T12,T12,Robert Garrigus,80,167.2,5972212.0,992
12,T12,T12,Jimmy Walker,98,167.2,6103976.0,1014
13,T14,T14,Steven Bowditch,93,167.4,6386839.0,1060
14,T14,T14,Adam Scott,68,167.4,4712166.0,782
15,16,16,Harris English,95,167.9,6152185.0,1018
16,T17,T17,Sean O'Hair,77,168.0,5504828.0,910
17,T17,T17,Jhonattan Vegas,77,168.0,5335621.0,882
18,19,19,Jason Day,54,168.3,2787153.0,460
19,20,20,Willy Wilcox,51,168.7,3346576.0,551
20,21,21,Charley Hoffman,93,168.8,6326306.0,1041
21,22,22,Jason Kokrak,65,168.9,5051991.0,831
22,23,23,Kyle Stanley,87,169.1,5996402.0,985
23,T24,T24,Morgan Hoffmann,103,169.2,7500071.0,1231
24,T24,T24,Robert Streb,75,169.2,5408897.0,888
25,T24,T24,Gary Woodland,93,169.2,6134482.0,1007
26,T27,T27,Graham DeLaet,80,169.4,5343736.0,876
27,T27,T27,Troy Matteson,62,169.4,4080463.0,669
28,T29,T29,Bud Cauley,56,169.6,3833457.0,628
29,T29,T29,Kevin Stadler,90,169.6,5453020.0,893
30,31,31,Carl Pettersson,91,169.7,7123689.0,1166
31,32,32,Tommy Gainey,73,170.0,5006996.0,818
32,33,33,Matt Jones,83,170.2,5049253.0,824
33,34,34,Lucas Glover,68,170.5,3921433.0,639
34,T35,T35,Derek Ernst,80,170.8,5343336.0,869
35,T35,T35,Louis Oosthuizen,50,170.8,2526940.0,411
36,37,37,Boo Weekley,73,171.3,4798444.0,778
37,T38,T38,Patrick Reed,92,171.5,6351998.0,1029
38,T38,T38,Kevin Tway,64,171.5,3977061.0,644
39,40,40,Charl Schwartzel,64,171.7,4617893.0,747
40,41,41,Martin Kaymer,65,171.9,4072047.0,658
41,T42,T42,Keegan Bradley,89,172.0,5695811.0,920
42,T42,T42,Hudson Swafford,75,172.0,4927993.0,796
43,44,44,Wes Roach,67,172.1,4220307.0,681
44,T45,T45,Jim Herman,62,172.2,4129283.0,666
45,T45,T45,John Peterson,62,172.2,4691522.0,757
46,T47,T47,Andres Romero,81,172.3,6121172.0,987
47,T47,T47,Josh Teater,90,172.3,6375640.0,1028
48,T49,T49,Rickie Fowler,91,172.4,5270270.0,849
49,T49,T49,Martin Laird,66,172.4,4746866.0,765
50,51,51,Russell Henley,92,172.5,6416573.0,1033
51,52,52,Vijay Singh,83,172.8,6520840.0,1048
52,T53,T53,Sergio Garcia,61,172.9,3442435.0,553
53,T53,T53,Brendan Steele,89,172.9,6043380.0,971
54,T55,T55,Brad Fritsch,50,173.1,3334019.0,535
55,T55,T55,Shawn Stefani,60,173.1,4892653.0,785
56,57,57,Hunter Mahan,88,173.3,6265099.0,1004
57,58,58,Scott Stallings,77,173.5,5415380.0,867
58,59,59,Seung-Yul Noh,92,173.6,6398666.0,1024
59,T60,T60,Brian Harman,111,173.8,8632554.0,1380
60,T60,T60,Jeff Overton,80,173.8,5700660.0,911
61,62,62,Marc Leishman,81,173.9,5960526.0,952
62,63,63,Rory Sabbatini,82,174.0,5548745.0,886
63,64,64,Billy Horschel,92,174.1,6004319.0,958
64,T65,T65,Brice Garnett,92,174.2,6753812.0,1077
65,T65,T65,Troy Merritt,62,174.2,4698353.0,749
66,T67,T67,Ernie Els,85,174.3,5440490.0,867
67,T67,T67,Chris Kirk,105,174.3,7478414.0,1192
68,T69,T69,Kevin Chappell,100,174.5,7543888.0,1201
69,T69,T69,Camilo Villegas,95,174.5,7243844.0,1153
70,T71,T71,Chad Campbell,57,174.7,3967850.0,631
71,T71,T71,Nick Watney,80,174.7,4881464.0,776
72,T73,T73,Davis Love III,74,174.8,5448941.0,866
73,T73,T73,Kevin Streelman,79,174.8,5222657.0,830
74,T75,T75,James Hahn,82,175.0,6330072.0,1005
75,T75,T75,Ryo Ishikawa,75,175.0,5336142.0,847
76,77,77,John Senden,99,175.3,7055354.0,1118
77,78,78,Geoff Ogilvy,84,175.4,6340709.0,1004
78,T79,T79,Scott Brown,100,175.5,7292316.0,1154
79,T79,T79,Hideki Matsuyama,82,175.5,5610556.0,888
80,81,81,Jordan Spieth,102,175.6,6915749.0,1094
81,82,82,Phil Mickelson,71,175.7,4376176.0,692
82,83,83,John Rollins,84,175.8,5779301.0,913
83,84,84,Ricky Barnes,92,175.9,6807750.0,1075
84,85,85,J.J. Henry,91,176.0,6836482.0,1079
85,T86,T86,Michael Putnam,106,176.1,7924357.0,1250
86,T86,T86,Henrik Stenson,56,176.1,3327713.0,525
87,T88,T88,Chesson Hadley,84,176.2,6173407.0,973
88,T88,T88,Webb Simpson,87,176.2,6469123.0,1020
89,T88,T88,Tyrone Van Aswegen,79,176.2,5608320.0,884
90,T91,T91,Sangmoon Bae,76,176.3,5744935.0,905
91,T91,T91,David Lingmerth,80,176.3,5844002.0,921
92,T93,T93,Matt Every,85,176.4,5638785.0,888
93,T93,T93,Bill Haas,107,176.4,7206208.0,1135
94,T95,T95,Aaron Baddeley,74,176.5,5083058.0,800
95,T95,T95,Luke Guthrie,85,176.5,6632580.0,1044
96,T97,T97,Martin Flores,85,176.7,5947206.0,935
97,T97,T97,Bo Van Pelt,83,176.7,5878322.0,924
98,99,99,Retief Goosen,94,176.8,6727946.0,1057
99,T100,T100,Trevor Immelman,84,177.0,5893622.0,925
100,T100,T100,Danny Lee,84,177.0,6080046.0,954
101,102,102,Bronson La'Cassie,51,177.1,3162533.0,496
102,103,103,Chris Stroud,88,177.2,6332935.0,993
103,T104,T104,Kevin Kisner,85,177.3,6152339.0,964
104,T104,T104,Andrew Svoboda,77,177.3,5853230.0,917
105,T106,T106,Matt Kuchar,91,177.4,6761957.0,1059
106,T106,T106,Ben Martin,80,177.4,5550747.0,869
107,T108,T108,Jim Renner,61,177.5,4542030.0,711
108,T108,T108,Justin Rose,70,177.5,4580413.0,717
109,T110,T110,Jason Dufner,57,177.7,3741469.0,585
110,T110,T110,Will MacKenzie,82,177.7,6421464.0,1004
111,112,112,Johnson Wagner,69,177.9,5079037.0,793
112,113,113,Paul Casey,56,178.1,3884760.0,606
113,114,114,Jonathan Byrd,76,178.2,5768594.0,899
114,115,115,William McGirt,96,178.3,7492284.0,1167
115,116,116,Stewart Cink,91,178.4,6340615.0,987
116,117,117,Russell Knox,92,178.7,7368014.0,1145
117,T118,T118,Brendon de Jonge,109,178.8,8215025.0,1276
118,T118,T118,Justin Hicks,103,178.8,8006127.0,1244
119,T120,T120,Gonzalo Fernandez-Castaño,83,178.9,6130934.0,952
120,T120,T120,Ryan Moore,86,178.9,5588901.0,868
121,T122,T122,Erik Compton,88,179.3,6679152.0,1035
122,T122,T122,Brandt Snedeker,89,179.3,5867132.0,909
123,T122,T122,Michael Thompson,74,179.3,5298817.0,821
124,125,125,Heath Slocum,71,179.4,5559211.0,861
125,126,126,Robert Allenby,83,179.6,6232626.0,964
126,127,127,Richard Lee,80,179.7,5459268.0,844
127,T128,T128,Jeff Maggert,54,179.8,3947769.0,610
128,T128,T128,Tim Wilkinson,86,179.8,6393608.0,988
129,T130,T130,Jonas Blixt,64,180.0,3823749.0,590
130,T130,T130,Lee Westwood,57,180.0,3848194.0,594
131,T132,T132,Freddie Jacobson,91,180.1,7210776.0,1112
132,T132,T132,George McNeill,79,180.1,6271178.0,967
133,134,134,Zach Johnson,97,180.2,7584102.0,1169
134,135,135,Mark Wilson,69,180.3,5121946.0,789
135,T136,T136,Briny Baird,50,180.5,4034430.0,621
136,T136,T136,Ken Duke,80,180.5,5933373.0,913
137,T136,T136,Spencer Levin,59,180.5,4478156.0,689
138,T136,T136,Nicholas Thompson,85,180.5,6237716.0,960
139,140,140,John Merrick,87,180.6,6455994.0,993
140,141,141,Brian Stuard,91,180.7,6668360.0,1025
141,142,142,Pat Perez,84,180.8,6705171.0,1030
142,T143,T143,Greg Chalmers,85,180.9,6530672.0,1003
143,T143,T143,James Driscoll,71,180.9,5138143.0,789
144,T145,T145,Scott Langley,95,181.1,7101263.0,1089
145,T145,T145,Daniel Summerhays,98,181.1,7928675.0,1216
146,T147,T147,D.A. Points,75,181.2,4930626.0,756
147,T147,T147,Y.E. Yang,79,181.2,5447366.0,835
148,149,149,"Ted Potter, Jr.",68,181.6,5425439.0,830
149,150,150,David Toms,64,181.7,4887421.0,747
150,151,151,Charlie Wi,72,181.8,5845090.0,893
151,T152,T152,Brian Davis,93,181.9,7320393.0,1118
152,T152,T152,Jerry Kelly,80,181.9,5967091.0,911
153,154,154,John Huh,87,182.1,6344992.0,968
154,T155,T155,Woody Austin,63,182.4,5173110.0,788
155,T155,T155,Roberto Castro,76,182.4,5346003.0,814
156,157,157,Billy Hurley III,86,182.5,6551659.0,997
157,T158,T158,Stuart Appleby,92,182.7,7625056.0,1159
158,T158,T158,Cameron Tringale,111,182.7,8936042.0,1359
159,160,160,David Hearn,97,183.0,7477295.0,1135
160,161,161,Ian Poulter,57,183.1,3731794.0,566
161,162,162,Tim Clark,75,183.6,5645396.0,854
162,T163,T163,Brian Gay,81,183.7,5748200.0,869
163,T163,T163,Kevin Na,94,183.7,7136892.0,1079
164,165,165,Ben Crane,81,183.8,7118456.0,1076
165,166,166,Brendon Todd,108,184.3,8387846.0,1264
166,167,167,Jason Bohn,81,184.4,6663273.0,1004
167,168,168,Bryce Molder,77,184.6,5813442.0,875
168,169,169,Graeme McDowell,66,184.9,4232877.0,636
169,170,170,K.J. Choi,80,185.9,6142936.0,918
170,171,171,Ben Curtis,77,186.4,5905008.0,880
171,172,172,Chad Collins,78,186.6,5617289.0,836
172,173,173,Jim Furyk,84,188.0,6207521.0,917
173,174,174,D.H. Lee,54,188.3,4169671.0,615
174,175,175,Mike Weir,69,190.0,4925260.0,720
175,176,176,Luke Donald,57,191.9,4171981.0,604
176,177,177,Justin Leonard,75,192.1,5851231.0,846
