,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Rory McIlroy,17,"$8,280,096",3.0
1,2,2,Bubba Watson,21,"$6,336,978",2.0
2,3,3,Jim Furyk,21,"$5,987,395",
3,4,4,Jimmy Walker,27,"$5,787,016",3.0
4,5,5,Sergio Garcia,16,"$4,939,606",
5,6,6,Chris Kirk,28,"$4,854,777",2.0
6,7,7,Billy Horschel,27,"$4,814,787",2.0
7,8,8,Rickie Fowler,26,"$4,806,117",
8,9,9,Matt Kuchar,24,"$4,695,515",1.0
9,10,10,Martin Kaymer,19,"$4,532,537",2.0
10,11,11,Jordan Spieth,27,"$4,342,748",
11,12,12,Dustin Johnson,17,"$4,249,180",1.0
12,13,13,Adam Scott,17,"$4,098,588",1.0
13,14,14,Patrick Reed,28,"$4,026,076",2.0
14,15,15,Justin Rose,19,"$3,926,768",1.0
15,16,16,Jason Day,15,"$3,789,574",1.0
16,17,17,Webb Simpson,25,"$3,539,601",1.0
17,18,18,Brendon Todd,29,"$3,396,747",1.0
18,19,19,Zach Johnson,26,"$3,353,417",1.0
19,20,20,Kevin Na,27,"$3,153,107",
20,21,21,Ryan Moore,24,"$3,098,263",1.0
21,22,22,Hunter Mahan,25,"$3,097,983",1.0
22,23,23,Harris English,28,"$2,947,322",1.0
23,24,24,Ryan Palmer,23,"$2,924,300",
24,25,25,John Senden,27,"$2,856,685",1.0
25,26,26,Bill Haas,28,"$2,841,521",
26,27,27,Hideki Matsuyama,24,"$2,837,477",1.0
27,28,28,Keegan Bradley,26,"$2,828,638",
28,29,29,Gary Woodland,25,"$2,734,153",
29,30,30,Graham DeLaet,24,"$2,616,518",
30,31,31,Russell Henley,29,"$2,590,493",1.0
31,32,32,Marc Leishman,24,"$2,558,657",
32,33,33,Matt Every,26,"$2,540,370",1.0
33,34,34,Brian Harman,32,"$2,414,334",1.0
34,35,35,J.B. Holmes,24,"$2,365,204",1.0
35,36,36,Kevin Stadler,26,"$2,300,307",1.0
36,37,37,Cameron Tringale,31,"$2,169,723",
37,38,38,Phil Mickelson,21,"$2,158,019",
38,39,39,Seung-Yul Noh,27,"$2,115,234",1.0
39,40,40,Kevin Streelman,24,"$2,107,994",1.0
40,41,41,Graeme McDowell,17,"$2,077,387",
41,42,42,Tim Clark,26,"$2,066,344",1.0
42,43,43,George McNeill,24,"$2,014,357",
43,44,44,Charl Schwartzel,18,"$1,997,482",
44,45,45,Charles Howell III,29,"$1,997,044",
45,46,46,Charley Hoffman,25,"$1,977,296",
46,47,47,Matt Jones,25,"$1,928,154",1.0
47,48,48,Freddie Jacobson,27,"$1,901,789",
48,49,49,Henrik Stenson,15,"$1,894,235",
49,50,50,Ángel Cabrera,23,"$1,868,559",1.0
50,51,51,Will MacKenzie,27,"$1,853,822",
51,52,52,Brian Stuard,29,"$1,852,531",
52,53,53,Chris Stroud,25,"$1,826,399",
53,54,54,Geoff Ogilvy,26,"$1,809,632",1.0
54,55,55,Ernie Els,24,"$1,799,569",
55,56,56,Erik Compton,28,"$1,796,143",
56,57,57,Steven Bowditch,30,"$1,734,693",1.0
57,58,58,Chesson Hadley,29,"$1,703,316",1.0
58,59,59,K.J. Choi,23,"$1,677,848",
59,60,60,Brandt Snedeker,25,"$1,652,380",
60,61,61,Jason Dufner,17,"$1,651,491",
61,62,62,Camilo Villegas,29,"$1,642,124",1.0
62,63,63,Ian Poulter,17,"$1,616,693",
63,64,64,Morgan Hoffmann,32,"$1,595,922",
