,Driving_Pct._300_All_Drives_RANK THIS WEEK,Driving_Pct._300_All_Drives_RANK LAST WEEK,Driving_Pct._300_All_Drives_PLAYER NAME,Driving_Pct._300_All_Drives_ROUNDS,Driving_Pct._300_All_Drives_%,Driving_Pct._300_All_Drives_TOTAL DRIVES FOR 300+,Driving_Pct._300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300_All_Drives_RELATIVE TO PAR
0,1,1,Bubba Watson,76,61.86,485,784,-0.18100000000000002
1,2,2,Rory McIlroy,66,53.42,359,672,-0.24
2,3,3,Dustin Johnson,58,50.0,289,578,-0.17300000000000001
3,4,4,Jamie Lovemark,64,48.71,320,657,-0.14400000000000002
4,5,5,J.B. Holmes,86,47.95,515,1074,-0.142
5,6,6,Andrew Loupe,65,47.93,335,699,-0.11900000000000001
6,7,7,Charles Howell III,106,46.3,613,1324,-0.19399999999999998
7,8,8,Gary Woodland,93,44.71,456,1020,-0.11199999999999999
8,9,9,Charlie Beljan,76,43.79,409,934,-0.115
9,10,10,Jason Day,54,43.72,202,462,-0.188
10,11,11,Ángel Cabrera,69,43.31,369,852,-0.122
11,12,12,Ryan Palmer,85,42.74,400,936,-0.193
12,13,13,Adam Scott,68,41.75,329,788,-0.255
13,14,14,Jhonattan Vegas,77,40.83,365,894,-0.17300000000000001
14,15,15,Jimmy Walker,98,40.74,418,1026,-0.175
15,16,16,Robert Garrigus,80,40.31,410,1017,-0.156
16,17,17,Graham DeLaet,80,39.8,355,892,-0.158
17,18,18,Brooks Koepka,56,39.59,232,586,-0.168
18,19,19,Robert Streb,75,39.51,354,896,-0.212
19,20,20,Sean O'Hair,77,39.12,365,933,-0.20800000000000002
20,21,21,Steven Bowditch,93,38.79,422,1088,-0.156
21,22,22,Charley Hoffman,93,38.56,408,1058,-0.203
22,23,23,Louis Oosthuizen,50,38.04,159,418,-0.038
23,24,24,Jason Kokrak,65,37.46,318,849,-0.17300000000000001
24,25,25,Brendan Steele,89,37.39,366,979,-0.21
25,26,26,Justin Rose,70,37.29,270,724,-0.174
26,27,27,Rickie Fowler,91,36.03,312,866,-0.154
27,28,28,Keegan Bradley,89,35.9,336,936,-0.125
28,29,29,Charl Schwartzel,64,35.85,271,756,-0.188
29,30,30,Scott Stallings,77,35.42,311,878,-0.125
