,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,David Toms,64,8.0,60,750,+0.20
1,2,2,Tim Clark,75,8.82,76,862,+0.12
2,3,3,Mark Wilson,69,9.24,73,790,+0.07
3,4,4,David Hearn,97,9.35,106,1134,+0.21
4,5,5,Bryce Molder,77,9.74,86,883,+0.02
5,6,6,Jim Furyk,84,9.8,90,918,+0.07
6,7,7,George McNeill,79,10.02,97,968,+0.16
7,8,8,Troy Merritt,62,10.1,77,762,+0.01
8,9,9,Nick Watney,80,10.22,80,783,+0.14
9,10,10,Ken Duke,80,10.53,97,921,+0.20
10,11,11,Boo Weekley,73,10.57,83,785,-0.06
11,12,12,Justin Hicks,103,10.77,135,1253,+0.11
12,13,13,Greg Chalmers,85,10.97,110,1003,+0.12
13,14,14,Henrik Stenson,56,11.03,58,526,+0.07
14,15,15,Kevin Streelman,79,11.24,94,836,+0.16
15,16,16,Hunter Mahan,88,11.29,113,1001,+0.07
16,17,17,Russell Knox,92,11.43,132,1155,+0.07
17,18,18,Kevin Chappell,100,11.51,138,1199,+0.06
18,19,19,Heath Slocum,71,11.53,100,867,-0.05
19,20,20,Aaron Baddeley,74,11.54,92,797,-0.01
20,21,21,Kevin Kisner,85,11.59,112,966,+0.06
21,22,22,Ryan Moore,86,11.62,101,869,+0.17
22,23,23,Billy Hurley III,86,11.67,117,1003,+0.15
23,24,24,"Ted Potter, Jr.",68,11.75,98,834,+0.10
24,25,25,Nicholas Thompson,85,11.76,114,969,+0.27
25,26,26,Trevor Immelman,84,11.78,109,925,+0.09
26,27,27,Gonzalo Fernandez-Castaño,83,11.8,113,958,+0.12
27,28,28,Kyle Stanley,87,11.81,117,991,+0.15
28,29,29,Scott Langley,95,11.82,129,1091,+0.07
29,30,30,Martin Kaymer,65,11.83,79,668,+0.25
30,31,31,John Huh,87,11.9,116,975,+0.20
31,32,32,Tim Wilkinson,86,12.02,119,990,+0.15
32,33,33,Derek Ernst,80,12.06,106,879,+0.17
33,34,34,James Hahn,82,12.08,122,1010,+0.10
34,35,35,Bill Haas,107,12.13,137,1129,+0.03
35,36,36,Ben Crane,81,12.15,131,1078,+0.14
36,37,37,Marc Leishman,81,12.17,115,945,+0.05
37,38,38,Zach Johnson,97,12.18,143,1174,+0.03
38,39,39,Jason Dufner,57,12.29,72,586,+0.14
39,T40,T40,K.J. Choi,80,12.32,114,925,+0.18
40,T40,T40,Charlie Wi,72,12.32,111,901,+0.03
41,42,42,John Peterson,62,12.43,95,764,+0.18
42,T43,T43,D.H. Lee,54,12.46,78,626,+0.21
43,T43,T43,Ben Martin,80,12.46,109,875,+0.06
44,45,45,Rickie Fowler,91,12.51,106,847,+0.09
45,46,46,Brendon de Jonge,109,12.53,160,1277,+0.04
46,47,47,Ben Curtis,77,12.54,111,885,+0.18
47,T48,T48,Billy Horschel,92,12.56,121,963,+0.07
48,T48,T48,Lee Westwood,57,12.56,75,597,+0.15
49,50,50,Brice Garnett,92,12.59,136,1080,+0.01
50,51,51,Sangmoon Bae,76,12.61,114,904,+0.06
51,52,52,Lucas Glover,68,12.63,82,649,+0.16
52,53,53,Graeme McDowell,66,12.66,81,640,+0.12
53,54,54,Jamie Lovemark,64,12.67,82,647,-0.04
54,T55,T55,Charley Hoffman,93,12.69,133,1048,-0.03
55,T55,T55,Justin Rose,70,12.69,91,717,+0.04
56,57,57,Y.E. Yang,79,12.72,107,841,+0.07
57,58,58,Vijay Singh,83,12.73,134,1053,+0.07
58,59,59,Kevin Stadler,90,12.82,116,905,+0.16
59,60,60,John Senden,99,12.83,144,1122,+0.03
60,T61,T61,Russell Henley,92,12.88,134,1040,+0.09
61,T61,T61,Jerry Kelly,80,12.88,118,916,+0.05
62,63,63,Daniel Summerhays,98,12.89,158,1226,+0.05
63,T64,T64,Wes Roach,67,12.93,90,696,+0.13
64,T64,T64,Jhonattan Vegas,77,12.93,114,882,-0.07
65,66,66,Brian Stuard,91,12.94,133,1028,+0.18
66,67,67,Matt Kuchar,91,12.97,137,1056,+0.04
67,68,68,Hudson Swafford,75,12.98,104,801,-0.02
68,69,69,Chris Stroud,88,12.99,130,1001,+0.10
69,70,70,Josh Teater,90,13.03,135,1036,+0.05
70,71,71,John Rollins,84,13.04,120,920,+0.02
71,72,72,Andrew Svoboda,77,13.07,120,918,+0.13
72,73,73,Kevin Na,94,13.08,141,1078,+0.05
73,74,74,Charl Schwartzel,64,13.1,98,748,-0.09
74,75,75,Scott Brown,100,13.19,153,1160,+0.13
75,76,76,Hideki Matsuyama,82,13.21,118,893,+0.04
76,77,77,Brendon Todd,108,13.22,167,1263,+0.05
