,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Robert Allenby,29,36.2,130,359,+1.92
1,T2,T2,Matt Every,26,41.3,149,361,+1.61
2,T2,T2,Graeme McDowell,17,41.3,81,196,+1.48
3,T2,T2,Tyrone Van Aswegen,25,41.3,164,397,+2.62
4,5,5,Davis Love III,22,41.6,144,346,+1.18
5,6,6,Chesson Hadley,29,41.9,169,403,+2.07
6,7,7,Billy Hurley III,26,42.1,122,290,+1.07
7,8,8,John Merrick,25,42.5,131,308,+2.37
8,T9,T9,Graham DeLaet,24,42.6,141,331,+0.85
9,T9,T9,Danny Lee,28,42.6,138,324,+1.74
10,11,11,Brandt Snedeker,25,43.0,136,316,+1.40
11,12,12,Billy Horschel,27,43.3,133,307,+2.86
12,T13,T13,Spencer Levin,20,43.5,108,248,+1.48
13,T13,T13,Shawn Stefani,17,43.5,121,278,+1.57
14,15,15,Bo Van Pelt,25,43.7,145,332,+2.14
15,T16,T16,Luke Donald,17,43.9,98,223,+1.73
16,T16,T16,Henrik Stenson,15,43.9,65,148,+0.92
17,18,18,Robert Streb,21,44.0,150,341,+0.93
18,19,19,Steven Bowditch,30,44.2,206,466,+2.23
19,20,20,Brian Davis,28,44.3,158,357,+0.89
20,21,21,Phil Mickelson,21,44.6,123,276,E
21,22,22,Kevin Stadler,26,45.0,136,302,+1.25
22,23,23,Louis Oosthuizen,16,45.2,71,157,+2.25
23,24,24,Jim Renner,25,45.3,140,309,+3.50
24,T25,T25,Michael Thompson,22,45.5,142,312,+1.76
25,T25,T25,Johnson Wagner,24,45.5,151,332,+2.72
26,27,27,D.A. Points,27,45.6,130,285,+2.31
27,28,28,Martin Laird,20,45.9,130,283,+2.77
28,29,29,Camilo Villegas,29,46.2,206,446,+2.18
29,30,30,Webb Simpson,25,46.3,171,369,+1.40
30,31,31,Andrew Svoboda,24,46.4,142,306,+1.55
31,32,32,Rory McIlroy,17,46.6,117,251,+1.11
32,T33,T33,J.B. Holmes,24,46.7,203,435,+1.28
33,T33,T33,Matt Kuchar,24,46.7,156,334,+1.09
34,T35,T35,Woody Austin,22,46.8,141,301,+3.19
35,T35,T35,Jason Bohn,25,46.8,162,346,+1.36
36,T37,T37,J.J. Henry,28,46.9,177,377,+2.09
37,T37,T37,Heath Slocum,23,46.9,107,228,+2.06
38,39,39,Brian Harman,32,47.0,254,540,+1.38
39,40,40,Stewart Cink,25,47.1,189,401,+1.06
40,T41,T41,Erik Compton,28,47.2,191,405,+1.41
41,T41,T41,Andres Romero,26,47.2,195,413,+1.69
42,T43,T43,Briny Baird,17,47.3,105,222,+1.81
43,T43,T43,Cameron Tringale,31,47.3,220,465,+1.64
